"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"0.9%","0.0%","0.9%","0%","-",1,5,4,1,"71.4%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",10,"8.9%","0.0%","8.9%","70%","-",7,27,119,4.7,"73.3%","22.0%","-","-","-","-","-","-","-","-","-","-","-"
"Amumu","Jungle",1,"0.9%","0.0%","0.9%","100%","-",2,5,24,5.2,"72.2%","18.5%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",21,"18.8%","8.0%","28.6%","62%","-",31,72,162,2.7,"62.3%","24.1%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Top",2,"1.8%","8.0%","28.6%","50%","-",6,9,20,2.9,"63.4%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",4,"3.6%","0.0%","3.6%","25%","-",8,20,21,1.5,"67.4%","27.0%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",62,"55.4%","7.1%","62.5%","47%","-",267,183,352,3.4,"65.6%","19.1%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Top",29,"25.9%","2.7%","28.6%","48%","-",56,84,168,2.7,"58.0%","17.7%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",4,"3.6%","0.0%","3.6%","25%","-",10,11,16,2.4,"65.0%","18.3%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",16,"14.3%","51.8%","66.1%","69%","-",63,57,117,3.2,"64.7%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",32,"28.6%","13.4%","42.0%","50%","-",95,96,251,3.6,"67.1%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",17,"15.2%","0.0%","15.2%","59%","-",82,42,134,5.1,"67.5%","15.6%","-","-","-","-","-","-","-","-","-","-","-"
