"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Fiddlesticks","Jungle",1,"0.9%","3.6%","5.4%","100%","-",1,2,20,10.5,"60.0%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",1,"0.9%","3.6%","5.4%","100%","-",1,0,10,11,"84.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Top",1,"0.9%","0.0%","0.9%","0%","-",6,6,8,2.3,"82.4%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Middle",20,"17.9%","21.4%","40.2%","55%","-",73,50,118,3.8,"63.7%","18.7%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Top",1,"0.9%","21.4%","40.2%","100%","-",5,3,3,2.7,"44.4%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",1,"0.9%","0.0%","0.9%","100%","-",2,3,7,3,"37.5%","50.0%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",3,"2.7%","0.0%","2.7%","33%","-",8,13,11,1.5,"35.2%","20.3%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",10,"8.9%","9.8%","18.8%","30%","-",22,41,91,2.8,"79.6%","24.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Jungle",1,"0.9%","4.5%","11.6%","0%","-",1,6,1,0.3,"28.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",7,"6.3%","4.5%","11.6%","71%","-",17,18,23,2.2,"35.7%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","ADC",1,"0.9%","0.0%","4.5%","0%","-",1,6,7,1.3,"66.7%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",1,"0.9%","0.0%","4.5%","0%","-",1,5,5,1.2,"50.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",3,"2.7%","0.0%","4.5%","67%","-",18,10,29,4.7,"67.1%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",2,"1.8%","0.0%","1.8%","50%","-",11,5,10,4.2,"60.0%","18.5%","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Middle",1,"0.9%","0.9%","25.0%","0%","-",8,3,5,4.3,"68.4%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Support",26,"23.2%","0.9%","25.0%","27%","-",28,98,208,2.4,"64.8%","19.7%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Jungle",1,"0.9%","0.0%","0.9%","0%","-",4,7,10,2,"82.4%","25.9%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",4,"3.6%","50.0%","53.6%","25%","-",10,16,21,1.9,"77.5%","22.9%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Middle",1,"0.9%","1.8%","6.3%","100%","-",0,0,8,8,"50.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Top",4,"3.6%","1.8%","6.3%","50%","-",17,16,24,2.6,"56.2%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Jungle",31,"27.7%","46.4%","74.1%","58%","-",144,91,148,3.2,"58.6%","20.4%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Middle",21,"18.8%","22.3%","51.8%","33%","-",117,64,114,3.6,"64.0%","16.2%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Support",12,"10.7%","22.3%","51.8%","50%","-",18,39,86,2.7,"63.4%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",49,"43.8%","40.2%","86.6%","45%","-",139,185,317,2.5,"67.5%","24.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Top",3,"2.7%","40.2%","86.6%","67%","-",13,8,17,3.8,"53.6%","18.6%","-","-","-","-","-","-","-","-","-","-","-"
"Leona","Support",41,"36.6%","0.9%","37.5%","39%","-",38,160,309,2.2,"61.9%","24.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",82,"73.2%","10.7%","83.9%","52%","-",387,210,446,4,"66.1%","16.9%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Middle",33,"29.5%","40.2%","72.3%","58%","-",141,71,243,5.4,"73.3%","16.9%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",2,"1.8%","40.2%","72.3%","0%","-",1,7,6,1,"87.5%","18.9%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Top",1,"0.9%","40.2%","72.3%","100%","-",3,9,28,3.4,"86.1%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",1,"0.9%","0.0%","0.9%","0%","-",0,6,2,0.3,"22.2%","26.1%","-","-","-","-","-","-","-","-","-","-","-"
"Miss Fortune","ADC",2,"1.8%","0.0%","1.8%","50%","-",4,10,14,1.8,"60.0%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Support",22,"19.6%","1.8%","21.4%","64%","-",21,65,242,4,"71.5%","22.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",10,"8.9%","0.0%","8.9%","50%","-",7,37,112,3.2,"67.2%","23.6%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Jungle",1,"0.9%","0.0%","0.9%","100%","-",1,1,11,12,"63.2%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",22,"19.6%","4.5%","24.1%","41%","-",57,52,101,3,"59.0%","14.6%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",1,"0.9%","0.0%","0.9%","0%","-",5,6,11,2.7,"72.7%","26.1%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Jungle",6,"5.4%","0.0%","5.4%","67%","-",3,11,69,6.5,"79.1%","15.7%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Jungle",7,"6.3%","0.9%","8.9%","43%","-",5,26,44,1.9,"59.0%","23.2%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Top",2,"1.8%","0.9%","8.9%","0%","-",7,7,3,1.4,"55.6%","17.1%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",31,"27.7%","0.0%","27.7%","32%","-",99,81,172,3.3,"68.8%","16.2%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Jungle",24,"21.4%","29.5%","50.9%","67%","-",101,77,191,3.8,"70.5%","28.5%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",49,"43.8%","28.6%","72.3%","49%","-",123,125,262,3.1,"52.0%","17.7%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",1,"0.9%","0.9%","8.9%","0%","-",3,3,2,1.7,"55.6%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Top",8,"7.1%","0.9%","8.9%","38%","-",16,27,47,2.3,"65.6%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Middle",2,"1.8%","25.0%","32.1%","0%","-",7,11,4,1,"73.3%","22.9%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Top",6,"5.4%","25.0%","32.1%","67%","-",26,13,29,4.2,"55.0%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",1,"0.9%","21.4%","35.7%","100%","-",5,5,6,2.2,"55.0%","38.5%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Top",15,"13.4%","21.4%","35.7%","47%","-",41,42,112,3.6,"58.2%","18.3%","-","-","-","-","-","-","-","-","-","-","-"
"Sejuani","Jungle",1,"0.9%","0.0%","0.9%","0%","-",3,1,7,10,"83.3%","3.7%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",1,"0.9%","0.0%","0.9%","0%","-",1,6,5,1,"100.0%","31.6%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Jungle",2,"1.8%","18.8%","79.5%","50%","-",7,10,18,2.5,"62.5%","31.3%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Top",66,"58.9%","18.8%","79.5%","47%","-",142,177,365,2.9,"51.4%","16.9%","-","-","-","-","-","-","-","-","-","-","-"
"Sion","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",28,"25.0%","1.8%","26.8%","46%","-",130,77,153,3.7,"73.1%","17.2%","-","-","-","-","-","-","-","-","-","-","-"
"Sona","Support",3,"2.7%","0.0%","2.7%","67%","-",1,11,26,2.5,"58.7%","27.5%","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Middle",1,"0.9%","0.0%","1.8%","0%","-",2,8,4,0.8,"50.0%","29.6%","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Support",1,"0.9%","0.0%","1.8%","0%","-",1,5,5,1.2,"85.7%","23.8%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",29,"25.9%","2.7%","30.4%","55%","-",140,102,156,2.9,"59.1%","21.6%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Support",2,"1.8%","2.7%","30.4%","50%","-",0,6,10,1.7,"62.5%","27.3%","-","-","-","-","-","-","-","-","-","-","-"
"Talon","Middle",1,"0.9%","0.0%","0.9%","100%","-",9,1,9,18,"78.3%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Taric","Support",1,"0.9%","0.0%","0.9%","100%","-",1,0,9,10,"83.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",63,"56.3%","38.4%","94.6%","56%","-",62,227,711,3.4,"71.8%","24.2%","-","-","-","-","-","-","-","-","-","-","-"
"Trundle","Top",18,"16.1%","0.9%","17.0%","78%","-",41,41,148,4.6,"56.6%","19.5%","-","-","-","-","-","-","-","-","-","-","-"
"Tryndamere","Top",1,"0.9%","0.0%","0.9%","0%","-",2,2,3,2.5,"55.6%","11.1%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",1,"0.9%","0.0%","0.9%","100%","-",7,0,10,17,"70.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",9,"8.0%","0.0%","8.9%","67%","-",55,34,58,3.3,"71.5%","23.4%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","Jungle",1,"0.9%","0.0%","8.9%","100%","-",6,1,7,13,"54.2%","10.0%","-","-","-","-","-","-","-","-","-","-","-"
"Varus","ADC",2,"1.8%","0.0%","1.8%","50%","-",11,7,23,4.9,"68.0%","21.2%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",14,"12.5%","0.0%","12.5%","43%","-",72,40,65,3.4,"69.5%","19.5%","-","-","-","-","-","-","-","-","-","-","-"
"Vel'Koz","Support",4,"3.6%","0.0%","3.6%","75%","-",11,18,58,3.8,"64.5%","20.9%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",34,"30.4%","9.8%","40.2%","38%","-",92,131,215,2.3,"63.2%","22.7%","-","-","-","-","-","-","-","-","-","-","-"
"Wukong","Jungle",4,"3.6%","0.0%","3.6%","25%","-",11,22,27,1.7,"73.1%","25.6%","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","Middle",2,"1.8%","0.0%","1.8%","100%","-",13,5,20,6.6,"56.9%","18.5%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Middle",8,"7.1%","17.0%","25.9%","50%","-",28,29,54,2.8,"62.1%","21.2%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Top",2,"1.8%","17.0%","25.9%","0%","-",3,16,7,0.6,"55.6%","29.6%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Top",1,"0.9%","0.0%","0.9%","0%","-",1,4,7,2,"61.5%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",4,"3.6%","0.0%","3.6%","100%","-",21,9,29,5.6,"68.5%","31.0%","-","-","-","-","-","-","-","-","-","-","-"
"Ziggs","Middle",40,"35.7%","56.3%","92.0%","63%","-",190,96,286,5,"72.3%","15.4%","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Support",1,"0.9%","0.0%","0.9%","0%","-",0,7,3,0.4,"25.0%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
