"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",1,"0.3%","14.1%","31.7%","0%","100%",2,4,1,0.8,"75.0%","18.2%","0%",-314,711,11,5.1,"14.1%",201,"15.5%","18.8%",0.42,0.58
"Aatrox","Top",53,"17.3%","14.1%","31.7%","42%","62%",120,131,227,2.6,"55.9%","17.9%","6%",-56,24,-0.2,8,"24.1%",438,"23.4%","22.0%",0.37,0.2
"Akali","Middle",4,"1.3%","16.3%","18.0%","25%","75%",11,9,19,3.3,"68.2%","15.8%","0%",-135,-108,-4.3,7.7,"22.3%",395,"25.7%","21.7%",0.33,0.13
"Akali","Top",1,"0.3%","16.3%","18.0%","100%","100%",8,2,4,6,"60.0%","22.2%","0%",403,49,10,7.7,"23.3%",402,"20.3%","22.0%",0.38,0.16
"Alistar","Support",157,"51.3%","27.5%","78.8%","51%","45%",126,492,1349,3,"71.1%","24.6%","28%",5,-14,0.3,1.1,"2.4%",148,"7.8%","8.9%",1.62,0.3
"Aphelios","ADC",55,"18.0%","15.7%","33.7%","47%","65%",197,148,265,3.1,"68.2%","20.6%","31%",179,33,5.4,9.9,"33.2%",532,"28.1%","28.0%",0.39,0.41
"Ashe","ADC",2,"0.7%","0.0%","0.7%","0%","100%",3,9,8,1.2,"47.8%","16.7%","0%",-405,-337,-13,7.8,"32.5%",340,"23.9%","22.9%",0.46,0.42
"Azir","Middle",85,"27.8%","22.5%","50.3%","53%","46%",214,189,455,3.5,"65.0%","17.5%","13%",6,132,4.9,9.1,"27.3%",553,"28.7%","23.8%",0.44,0.25
"Bard","Support",3,"1.0%","0.0%","1.0%","67%","100%",1,8,21,2.8,"51.2%","25.0%","0%",-6,406,-4,1,"2.5%",174,"9.7%","9.2%",1.95,0.39
"Braum","Support",3,"1.0%","0.3%","1.3%","33%","67%",1,6,25,4.3,"83.9%","13.0%","0%",24,286,4.7,1.1,"2.3%",185,"9.5%","8.9%",1.78,0.25
"Caitlyn","ADC",2,"0.7%","0.0%","0.7%","50%","50%",2,6,10,2,"54.5%","28.6%","0%",-324,-618,-12.5,9.8,"34.0%",478,"29.5%","25.5%",0.43,0.31
"Camille","Top",45,"14.7%","40.5%","55.2%","53%","44%",148,121,236,3.2,"61.5%","19.8%","33%",98,-44,-0.9,8.1,"25.5%",438,"23.4%","23.4%",0.36,0.18
"Cassiopeia","Middle",4,"1.3%","2.3%","3.9%","50%","25%",14,10,21,3.5,"56.5%","17.5%","25%",-373,-68,1,8.2,"23.2%",526,"24.7%","22.1%",0.44,0.21
"Cassiopeia","Top",1,"0.3%","2.3%","3.9%","100%","100%",6,1,9,15,"65.2%","14.3%","100%",941,358,20,8.5,"22.9%",701,"24.7%","23.1%",0.54,0.18
"Cho'Gath","Top",6,"2.0%","0.7%","2.6%","50%","83%",12,27,32,1.6,"62.0%","28.7%","17%",-290,-314,-9,7.1,"20.9%",386,"18.4%","20.7%",0.44,0.09
"Corki","Middle",9,"2.9%","0.3%","3.3%","44%","100%",35,17,43,4.6,"75.7%","14.8%","11%",-120,-190,-5.3,9.6,"29.5%",704,"35.7%","25.9%",0.43,0.27
"Dr. Mundo","Jungle",6,"2.0%","0.7%","2.6%","33%","100%",8,19,26,1.8,"72.3%","25.7%","33%",-271,-355,-4.8,6.2,"14.8%",324,"18.3%","18.2%",0.33,0.37
"Draven","ADC",1,"0.3%","0.3%","0.7%","100%","100%",5,2,3,4,"61.5%","28.6%","0%",29,-396,3,9,"29.4%",386,"18.1%","27.8%",0.29,0.33
"Ekko","Middle",2,"0.7%","0.7%","1.3%","0%","100%",8,3,4,4,"80.0%","8.3%","50%",-1,295,-6,8.9,"31.4%",572,"28.4%","28.3%",0.48,0.29
"Elise","Jungle",1,"0.3%","2.0%","2.3%","100%","100%",3,2,8,5.5,"55.0%","22.2%","100%",570,612,1,5.7,"17.1%",424,"20.0%","18.3%",1.62,1.28
"Ezreal","ADC",11,"3.6%","1.0%","4.6%","36%","73%",43,30,65,3.6,"73.0%","17.4%","27%",-65,-52,-3.8,9.3,"30.7%",740,"32.3%","26.2%",0.41,0.37
"Fiora","Top",2,"0.7%","0.3%","1.0%","0%","100%",5,5,2,1.4,"53.8%","16.1%","50%",42,-73,9,8.5,"26.1%",313,"24.2%","24.6%",0.44,0.22
"Galio","Middle",29,"9.5%","14.1%","32.0%","38%","66%",71,84,230,3.6,"77.6%","19.4%","31%",-223,-192,-10.9,7.5,"21.4%",425,"23.2%","20.5%",0.44,0.14
"Galio","Support",26,"8.5%","14.1%","32.0%","46%","81%",23,93,217,2.6,"72.5%","28.7%","35%",-72,43,0,1.3,"3.0%",180,"9.9%","8.9%",1.49,0.3
"Gangplank","Top",26,"8.5%","7.5%","16.0%","62%","100%",75,62,143,3.5,"64.3%","23.0%","19%",214,59,4.7,8.6,"25.3%",618,"29.5%","25.2%",0.4,0.1
"Garen","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gnar","Top",124,"40.5%","43.1%","83.7%","53%","35%",256,327,655,2.8,"54.9%","20.3%","10%",-43,27,0,8.1,"24.5%",467,"24.3%","22.1%",0.41,0.24
"Gragas","Jungle",6,"2.0%","32.4%","66.0%","83%","67%",20,12,50,5.8,"59.8%","21.1%","17%",104,-115,-5.7,5.4,"13.9%",372,"16.3%","16.2%",0.93,0.34
"Gragas","Middle",1,"0.3%","32.4%","66.0%","100%","0%",6,1,5,11,"73.3%","14.3%","0%",1056,281,7,7.7,"16.6%",573,"31.1%","21.6%",0.21,0.11
"Gragas","Support",49,"16.0%","32.4%","66.0%","53%","59%",42,142,349,2.8,"61.0%","22.4%","24%",-31,42,-0.9,1.1,"2.6%",220,"11.3%","8.8%",1.56,0.32
"Gragas","Top",47,"15.4%","32.4%","66.0%","57%","45%",69,117,288,3.1,"56.7%","20.6%","23%",-175,-63,-5.7,6.9,"19.4%",402,"20.7%","18.1%",0.39,0.15
"Graves","Jungle",65,"21.2%","8.2%","29.4%","29%","63%",223,160,292,3.2,"70.9%","16.5%","29%",-55,-118,-1.4,7,"21.3%",338,"18.9%","22.0%",0.33,0.43
"Hecarim","Jungle",70,"22.9%","17.0%","39.9%","53%","41%",224,197,551,3.9,"76.3%","20.8%","39%",-43,-124,-3.8,6,"16.5%",316,"15.1%","19.1%",0.47,0.42
"Irelia","Middle",4,"1.3%","6.2%","9.8%","25%","100%",11,18,16,1.5,"55.1%","25.7%","25%",-282,-269,10.8,8.6,"25.1%",275,"15.2%","24.8%",0.35,0.14
"Irelia","Top",7,"2.3%","6.2%","9.8%","57%","86%",24,21,33,2.7,"55.9%","20.8%","14%",498,350,21.4,8.8,"25.5%",327,"18.5%","22.7%",0.39,0.13
"Janna","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,4,4,1,"50.0%","22.2%","0%",-282,-683,-13,0.5,"3.2%",194,"11.1%","8.2%",1.5,0.43
"Jarvan IV","Jungle",1,"0.3%","0.3%","1.3%","0%","100%",1,3,4,1.7,"71.4%","23.1%","100%",-178,-274,-5,5.6,"14.6%",212,"12.4%","17.1%",0.54,0.51
"Jarvan IV","Support",2,"0.7%","0.3%","1.3%","0%","100%",2,11,13,1.4,"83.3%","36.7%","100%",-84,-464,-15.5,0.4,"1.4%",167,"9.5%","8.1%",1.81,0.35
"Jax","Middle",1,"0.3%","0.0%","1.6%","0%","100%",4,2,3,3.5,"87.5%","20.0%","0%",-313,130,-31,8.5,"27.4%",358,"22.7%","26.0%",0.52,0.18
"Jax","Top",4,"1.3%","0.0%","1.6%","25%","100%",6,13,9,1.2,"29.4%","21.0%","0%",-513,-302,-15,8.2,"28.7%",307,"15.3%","22.9%",0.4,0.13
"Jayce","Middle",4,"1.3%","25.8%","47.4%","50%","50%",14,14,27,2.9,"74.5%","17.3%","25%",-197,6,-1.5,8,"21.3%",656,"30.9%","23.2%",0.39,0.32
"Jayce","Top",62,"20.3%","25.8%","47.4%","60%","68%",187,184,342,2.9,"64.4%","25.1%","18%",217,28,7,8.2,"24.4%",631,"31.0%","22.8%",0.42,0.24
"Jhin","ADC",32,"10.5%","2.3%","12.7%","41%","44%",105,59,130,4,"66.6%","14.0%","22%",-25,46,1.8,9.1,"29.4%",404,"23.2%","25.5%",0.46,0.25
"Jinx","ADC",30,"9.8%","1.3%","11.1%","63%","60%",138,56,181,5.7,"72.3%","15.5%","23%",-64,16,3.1,10.1,"35.1%",634,"31.3%","28.3%",0.4,0.42
"Kai'Sa","ADC",168,"54.9%","40.2%","95.1%","58%","12%",875,367,734,4.4,"68.9%","17.1%","27%",-59,-3,1.9,9.8,"32.1%",483,"24.5%","27.7%",0.52,0.36
"Kalista","ADC",18,"5.9%","5.6%","11.8%","33%","78%",58,49,64,2.5,"60.4%","19.1%","33%",0,62,6,9.7,"31.2%",393,"20.6%","26.2%",0.54,0.39
"Kalista","Top",1,"0.3%","5.6%","11.8%","0%","0%",2,5,1,0.6,"42.9%","29.4%","0%",690,640,27,8.5,"28.0%",348,"21.6%","24.8%",0.2,0.37
"Karma","Middle",2,"0.7%","0.7%","2.9%","50%","50%",3,4,5,2,"61.5%","16.0%","0%",-371,-486,-9.5,7.4,"22.9%",303,"20.1%","20.3%",0.46,0.23
"Karma","Support",3,"1.0%","0.7%","2.9%","67%","100%",0,10,34,3.4,"81.0%","26.3%","33%",72,-194,-11,0.6,"2.2%",325,"14.1%","9.8%",1.5,0.31
"Karma","Top",2,"0.7%","0.7%","2.9%","0%","100%",0,2,2,1,"50.0%","9.1%","50%",111,-19,4.5,8.1,"21.8%",372,"23.8%","20.6%",0.33,0.25
"Karthus","Jungle",8,"2.6%","1.3%","3.9%","63%","63%",35,41,71,2.6,"74.1%","32.8%","25%",-105,182,7.1,7,"21.1%",679,"28.9%","21.0%",0.32,0.21
"Kassadin","Middle",4,"1.3%","0.3%","1.6%","100%","100%",23,0,31,54,"64.3%","0.0%","25%",402,92,5.5,8.9,"26.6%",571,"25.0%","22.9%",0.4,0.22
"Kayn","Jungle",8,"2.6%","1.0%","3.6%","50%","88%",23,22,33,2.5,"60.2%","21.2%","38%",-292,-503,-11.3,6.9,"20.1%",303,"17.4%","21.2%",0.89,0.58
"Kennen","Top",9,"2.9%","1.3%","4.2%","11%","56%",15,43,44,1.4,"52.7%","25.7%","0%",-289,-65,-1.6,7.2,"20.7%",454,"25.3%","20.2%",0.37,0.2
"Kindred","Jungle",5,"1.6%","2.0%","3.6%","20%","100%",12,15,20,2.1,"78.0%","21.1%","0%",-934,-1057,-19.8,5.9,"17.8%",326,"20.3%","19.4%",0.58,0.37
"Kled","Middle",3,"1.0%","1.0%","2.0%","100%","100%",8,6,27,5.8,"62.5%","17.1%","0%",-25,196,3,8.7,"25.2%",396,"17.5%","22.5%",0.42,0.3
"LeBlanc","Middle",11,"3.6%","1.0%","4.6%","27%","82%",29,26,35,2.5,"64.0%","15.7%","18%",-57,-42,-3.2,7.6,"21.0%",451,"26.1%","22.1%",0.34,0.25
"Lee Sin","Jungle",5,"1.6%","0.7%","2.3%","60%","100%",15,9,39,6,"75.0%","18.8%","60%",-315,-451,-14.4,5.6,"15.8%",269,"12.5%","18.3%",0.61,0.39
"Leona","Support",82,"26.8%","15.0%","41.8%","50%","39%",57,277,611,2.4,"62.3%","26.2%","26%",12,-29,0.7,1.3,"2.9%",115,"6.2%","9.0%",1.6,0.45
"Lillia","Jungle",92,"30.1%","26.8%","56.9%","52%","54%",289,236,614,3.8,"70.9%","18.9%","36%",8,33,2.2,6.6,"18.2%",414,"20.7%","19.8%",0.52,0.31
"Lucian","ADC",10,"3.3%","17.0%","28.4%","20%","100%",30,23,34,2.8,"71.9%","16.1%","20%",-49,-53,1.8,9.5,"31.9%",426,"26.7%","27.6%",0.43,0.36
"Lucian","Middle",14,"4.6%","17.0%","28.4%","79%","64%",58,30,82,4.7,"59.8%","23.6%","14%",337,128,5.1,9.4,"27.1%",571,"26.2%","24.9%",0.38,0.32
"Lucian","Top",11,"3.6%","17.0%","28.4%","82%","73%",54,32,71,3.9,"74.0%","28.6%","45%",553,360,18,9,"28.2%",579,"29.3%","26.2%",0.4,0.3
"Lulu","Middle",1,"0.3%","0.0%","0.7%","0%","100%",2,5,4,1.2,"42.9%","27.8%","0%",-276,-131,-12,7.1,"21.4%",455,"24.8%","19.2%",0.48,0.08
"Lulu","Top",1,"0.3%","0.0%","0.7%","100%","100%",1,5,10,2.2,"64.7%","25.0%","100%",32,-88,3,5.1,"11.7%",191,"8.2%","14.5%",0.35,0.19
"Malphite","Top",5,"1.6%","2.6%","4.2%","0%","80%",6,18,16,1.2,"52.4%","18.9%","0%",-587,-443,-20.8,6.3,"20.1%",332,"20.6%","18.5%",0.39,0.16
"Maokai","Support",8,"2.6%","0.7%","3.3%","50%","100%",8,28,54,2.2,"56.9%","22.6%","13%",-143,-173,0.8,1.1,"2.7%",402,"20.3%","8.4%",1.33,0.35
"Miss Fortune","ADC",17,"5.6%","2.3%","7.8%","47%","59%",52,29,81,4.6,"67.2%","14.3%","6%",-39,-126,-3.2,9.9,"32.6%",502,"26.3%","26.7%",0.44,0.39
"Morgana","Support",2,"0.7%","0.3%","1.0%","0%","100%",1,6,16,2.8,"81.0%","17.1%","100%",166,198,-2.5,1.2,"3.7%",225,"10.8%","9.8%",1.77,0.42
