"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nautilus","Support",31,"10.1%","3.3%","13.4%","23%","81%",18,124,184,1.6,"63.9%","25.1%","23%",-43,-24,0.3,1.1,"2.5%",140,"8.3%","8.4%",1.55,0.26
"Neeko","Middle",2,"0.7%","0.0%","0.7%","100%","100%",11,7,22,4.7,"71.7%","33.3%","50%",-158,113,1.5,7.8,"21.3%",662,"22.9%","20.0%",0.44,0.28
"Nidalee","Jungle",40,"13.1%","35.6%","48.7%","60%","65%",133,87,232,4.2,"67.3%","18.3%","33%",234,192,2.9,6.6,"18.6%",427,"21.2%","20.1%",0.72,0.61
"Nocturne","Jungle",2,"0.7%","6.9%","10.8%","0%","100%",0,6,3,0.5,"75.0%","16.7%","0%",-407,-220,-5,6.5,"19.9%",227,"14.2%","19.6%",0.44,0.41
"Nocturne","Middle",7,"2.3%","6.9%","10.8%","71%","43%",19,17,70,5.2,"65.9%","15.5%","43%",32,-44,1.4,8.1,"22.4%",384,"16.2%","20.5%",0.51,0.21
"Nocturne","Top",3,"1.0%","6.9%","10.8%","67%","33%",7,6,24,5.2,"66.0%","18.8%","33%",4,-199,0.7,8.5,"25.5%",440,"19.0%","22.8%",0.43,0.07
"Olaf","Jungle",108,"35.3%","36.9%","72.2%","48%","50%",342,266,531,3.3,"65.1%","19.4%","32%",-80,-74,-0.6,6,"16.0%",349,"18.9%","19.2%",0.34,0.41
"Orianna","Middle",113,"36.9%","31.0%","68.6%","56%","32%",341,218,813,5.3,"74.8%","16.0%","16%",23,125,2.2,8.8,"25.5%",468,"25.0%","23.5%",0.42,0.24
"Orianna","Top",2,"0.7%","31.0%","68.6%","50%","100%",6,4,17,5.8,"76.7%","15.4%","0%",97,243,3,8,"23.1%",692,"32.9%","21.7%",0.45,0.24
"Ornn","Top",34,"11.1%","14.4%","25.5%","32%","65%",27,90,192,2.4,"62.2%","21.2%","18%",-395,-180,-11.5,7.1,"20.7%",349,"19.5%","18.5%",0.42,0.14
"Pantheon","Jungle",32,"10.5%","30.7%","41.5%","72%","22%",129,69,174,4.4,"64.2%","22.5%","47%",94,-99,-4.6,5.9,"16.2%",361,"17.7%","19.1%",0.59,0.37
"Pantheon","Middle",1,"0.3%","30.7%","41.5%","0%","0%",3,3,9,4,"70.6%","21.4%","0%",-445,-762,-25,7.1,"20.8%",260,"15.3%","19.7%",0.57,0.1
"Quinn","Top",3,"1.0%","1.6%","2.6%","100%","100%",28,6,18,7.7,"63.0%","17.1%","0%",561,306,16,9.2,"28.7%",934,"36.2%","26.7%",0.46,0.09
"Rakan","Support",21,"6.9%","6.5%","13.4%","52%","90%",11,52,210,4.3,"80.1%","20.6%","33%",35,-98,-7.8,1,"2.7%",173,"8.5%","9.4%",2.18,0.47
"Rek'Sai","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",4,6,2,1,"54.5%","40.0%","0%",-202,-278,-11,4.4,"11.1%",200,"15.7%","16.1%",0.3,0.51
"Rell","Support",107,"35.0%","23.9%","58.8%","58%","29%",72,365,918,2.7,"65.9%","27.0%","26%",-5,1,-0.7,1.1,"2.5%",148,"7.4%","8.6%",1.56,0.29
"Renekton","Middle",14,"4.6%","55.2%","87.9%","86%","7%",45,36,118,4.5,"63.7%","22.1%","36%",152,-87,-0.5,8.6,"24.1%",424,"19.5%","21.7%",0.37,0.32
"Renekton","Top",86,"28.1%","55.2%","87.9%","50%","9%",183,224,482,3,"59.3%","19.5%","19%",156,72,4.1,8.1,"24.0%",390,"20.9%","22.0%",0.4,0.21
"Rengar","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Middle",9,"2.9%","1.6%","6.2%","33%","89%",24,22,51,3.4,"62.5%","15.8%","33%",-267,-184,-5.8,7.5,"21.0%",548,"27.8%","20.3%",0.49,0.12
"Rumble","Top",5,"1.6%","1.6%","6.2%","60%","80%",13,16,44,3.6,"52.8%","20.0%","0%",260,380,9.4,6.2,"17.2%",561,"25.0%","16.4%",0.35,0.15
"Ryze","Middle",24,"7.8%","5.6%","13.4%","54%","63%",83,60,147,3.8,"64.8%","18.3%","33%",44,21,0.7,9,"27.0%",425,"22.9%","23.9%",0.42,0.17
"Samira","ADC",59,"19.3%","26.1%","45.4%","37%","49%",245,154,227,3.1,"68.5%","18.8%","27%",105,14,-0.1,9.3,"29.9%",402,"21.8%","26.6%",0.38,0.34
"Sejuani","Jungle",7,"2.3%","1.0%","3.3%","71%","100%",12,15,62,4.9,"67.9%","14.9%","14%",-270,-462,-12.7,5.2,"13.5%",262,"14.1%","16.4%",0.36,0.46
"Senna","ADC",11,"3.6%","2.0%","5.6%","18%","91%",19,38,72,2.4,"82.7%","22.0%","36%",-390,-188,-33.9,6.2,"21.9%",442,"24.4%","21.3%",0.65,0.35
"Seraphine","Middle",16,"5.2%","17.0%","24.5%","31%","31%",14,36,80,2.6,"75.2%","15.6%","13%",-334,-167,-6.3,7.6,"20.1%",288,"19.4%","20.3%",0.41,0.18
"Seraphine","Support",7,"2.3%","17.0%","24.5%","71%","86%",6,9,47,5.9,"76.8%","19.6%","29%",214,-58,-14.4,0.7,"2.6%",221,"12.2%","9.6%",1.57,0.33
"Sett","Middle",8,"2.6%","11.4%","24.5%","38%","50%",15,23,56,3.1,"68.9%","20.5%","38%",-457,-249,-7,7.2,"18.9%",335,"18.0%","19.6%",0.4,0.28
"Sett","Support",28,"9.2%","11.4%","24.5%","54%","75%",34,107,223,2.4,"60.2%","27.8%","50%",-22,-25,-1.1,1.4,"3.8%",198,"10.0%","9.2%",1.61,0.52
"Sett","Top",4,"1.3%","11.4%","24.5%","75%","100%",13,7,29,6,"80.8%","20.0%","50%",1305,649,22.5,8.4,"24.8%",383,"23.9%","26.3%",0.34,0.34
"Shen","Support",3,"1.0%","0.0%","1.3%","33%","100%",2,10,15,1.7,"58.6%","25.6%","0%",-158,-78,-2.3,1.5,"3.5%",79,"5.7%","9.2%",2.26,0.61
"Shen","Top",1,"0.3%","0.0%","1.3%","100%","100%",3,1,13,16,"80.0%","12.5%","0%",185,-256,-10,8.1,"25.1%",370,"19.1%","19.8%",0.61,0.11
"Sion","Middle",1,"0.3%","6.9%","21.2%","0%","0%",0,2,4,2,"44.4%","12.5%","0%",-419,-424,-17,7.3,"19.5%",167,"9.0%","17.4%",0.56,0.15
"Sion","Top",43,"14.1%","6.9%","21.2%","42%","42%",63,122,269,2.7,"61.0%","20.8%","14%",-306,-167,-10.3,7,"20.4%",367,"19.7%","18.7%",0.4,0.18
"Sivir","ADC",3,"1.0%","0.0%","1.0%","0%","100%",7,8,15,2.8,"81.5%","13.8%","33%",-829,-382,-11,9.8,"36.6%",486,"30.0%","27.9%",0.44,0.41
"Skarner","Jungle",4,"1.3%","0.7%","2.0%","75%","100%",8,8,29,4.6,"72.5%","21.1%","25%",-472,-279,-11.8,5.7,"15.1%",135,"7.3%","17.7%",0.4,0.46
"Sylas","Middle",12,"3.9%","4.6%","9.8%","75%","83%",48,12,76,10.3,"72.9%","13.0%","0%",-126,58,4.2,8.9,"23.5%",531,"26.2%","23.7%",0.37,0.22
"Sylas","Top",4,"1.3%","4.6%","9.8%","50%","100%",14,12,27,3.4,"61.2%","20.7%","0%",-637,-382,-16.8,6.9,"22.8%",427,"20.9%","19.9%",0.37,0.15
"Syndra","Middle",59,"19.3%","22.2%","41.8%","31%","56%",138,156,242,2.4,"61.9%","17.8%","22%",80,-35,3.6,8.4,"24.1%",501,"28.5%","22.7%",0.4,0.2
"Syndra","Top",1,"0.3%","22.2%","41.8%","0%","0%",1,4,3,1,"57.1%","20.0%","0%",785,1076,37,8.3,"30.9%",538,"27.1%","21.1%",0.45,0.07
"Tahm Kench","Support",7,"2.3%","0.0%","2.3%","29%","57%",3,19,45,2.5,"59.3%","17.3%","0%",357,372,37.4,3.8,"9.8%",153,"8.0%","13.6%",0.9,0.21
"Taliyah","Jungle",22,"7.2%","12.1%","19.3%","73%","45%",77,67,157,3.5,"66.1%","22.4%","27%",36,182,3.4,7.3,"20.0%",454,"21.4%","20.0%",0.54,0.36
"Taric","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,5,6,1.2,"46.2%","22.7%","100%",-296,148,-3,1.2,"2.9%",65,"3.0%","8.4%",1.56,0.32
"Teemo","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",71,"23.2%","39.5%","62.7%","49%","32%",34,227,595,2.8,"71.7%","23.9%","24%",16,54,1.8,1.1,"2.3%",102,"5.6%","8.7%",1.61,0.34
"Tristana","ADC",83,"27.1%","21.9%","51.3%","53%","36%",330,183,359,3.8,"64.3%","17.2%","23%",61,69,-2.1,9.7,"32.8%",479,"24.9%","27.3%",0.54,0.45
"Tristana","Middle",5,"1.6%","21.9%","51.3%","80%","40%",19,10,28,4.7,"61.8%","28.6%","60%",218,278,6.2,9,"26.2%",410,"22.2%","24.2%",0.45,0.26
"Tristana","Top",2,"0.7%","21.9%","51.3%","100%","50%",14,3,9,7.7,"65.7%","33.3%","0%",781,334,19.5,9.6,"29.4%",548,"25.8%","28.3%",0.45,0.3
"Trundle","Jungle",3,"1.0%","0.0%","1.0%","33%","100%",1,11,15,1.5,"59.3%","32.4%","0%",-324,-522,-8,4.7,"12.5%",201,"10.7%","14.5%",0.3,0.28
"Twisted Fate","Middle",40,"13.1%","43.1%","56.2%","55%","40%",84,91,311,4.3,"71.9%","18.4%","33%",259,-140,-5.3,8.1,"22.1%",427,"22.3%","23.6%",0.35,0.2
"Udyr","Jungle",125,"40.8%","22.9%","63.7%","46%","30%",293,271,779,4,"70.9%","16.6%","42%",140,250,5,6.4,"16.9%",220,"11.8%","19.3%",0.38,0.53
"Varus","ADC",10,"3.3%","2.9%","6.2%","70%","90%",40,22,74,5.2,"65.9%","18.0%","20%",271,115,0.1,9.1,"29.5%",676,"30.6%","25.0%",0.48,0.43
"Vayne","ADC",19,"6.2%","3.3%","9.8%","37%","95%",62,63,68,2.1,"60.2%","21.1%","21%",-198,-137,-4.3,8.9,"29.5%",393,"20.1%","25.3%",0.39,0.39
"Vayne","Top",1,"0.3%","3.3%","9.8%","0%","100%",1,5,2,0.6,"20.0%","21.7%","-",324,530,17,"-","25.7%","-","-","20.6%","-","-"
"Veigar","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",51,"16.7%","5.6%","22.2%","51%","75%",145,128,291,3.4,"64.2%","18.9%","12%",-113,-71,-3,8.7,"25.6%",615,"31.2%","22.9%",0.44,0.18
"Volibear","Top",5,"1.6%","1.3%","2.9%","0%","60%",6,13,14,1.5,"60.6%","16.7%","20%",-260,54,-5.8,7.5,"22.4%",324,"18.9%","21.3%",0.39,0.17
"Wukong","Top",11,"3.6%","2.3%","5.9%","36%","91%",24,42,65,2.1,"59.3%","24.4%","27%",-344,-296,-11.7,6.9,"23.0%",382,"19.9%","19.5%",0.37,0.12
"Xayah","ADC",81,"26.5%","11.4%","37.9%","58%","90%",345,170,438,4.6,"65.7%","17.9%","21%",34,-8,-1,10.1,"33.6%",538,"26.7%","27.1%",0.42,0.38
"Yone","Middle",9,"2.9%","5.6%","8.5%","44%","78%",29,23,33,2.7,"50.0%","18.0%","0%",-250,-26,-6.4,8.2,"24.7%",396,"18.7%","21.6%",0.35,0.23
"Zilean","Middle",1,"0.3%","2.0%","2.3%","0%","0%",1,4,1,0.5,"66.7%","22.2%","0%",-396,-343,-12,7.1,"18.2%",378,"21.6%","22.0%",0.34,0.11
"Zoe","Middle",62,"20.3%","56.2%","76.5%","45%","31%",203,118,320,4.4,"66.4%","14.1%","21%",97,-8,0.8,8,"21.0%",556,"28.2%","22.0%",0.36,0.23
