"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",30,"10.3%","35.6%","55.8%","53%","60%",86,65,157,3.7,"63.6%","19.8%","47%",13,-40,-1.1,5.2,"15.0%",266,"15.1%","17.3%",0.44,0.42
"Aatrox","Middle",4,"1.4%","35.6%","55.8%","25%","0%",9,6,5,2.3,"70.0%","16.2%","50%",312,156,2.5,8.5,"23.1%",328,"23.2%","25.0%",0.35,0.23
"Aatrox","Top",25,"8.6%","35.6%","55.8%","44%","24%",69,61,110,2.9,"55.1%","18.1%","16%",177,217,9.6,8.5,"26.5%",436,"24.3%","22.6%",0.45,0.17
"Ahri","Middle",2,"0.7%","0.0%","0.7%","50%","100%",3,1,15,18,"75.0%","7.7%","0%",-103,42,-3.5,8.8,"25.6%",371,"22.5%","21.9%",0.23,0.24
"Akali","Middle",22,"7.5%","32.9%","49.0%","36%","50%",86,48,92,3.7,"62.5%","15.4%","18%",-155,-62,-2.3,8.1,"24.1%",399,"23.1%","22.5%",0.37,0.2
"Akali","Top",25,"8.6%","32.9%","49.0%","56%","48%",79,68,111,2.8,"54.8%","22.5%","28%",-95,-10,-2.4,7.6,"23.3%",385,"21.3%","20.4%",0.41,0.13
"Alistar","Support",122,"41.8%","28.1%","69.9%","54%","39%",92,366,1017,3,"71.1%","24.4%","22%",31,-31,0.1,1.7,"6.1%",119,"6.9%","12.6%",1.48,0.24
"Ashe","ADC",20,"6.8%","5.8%","12.7%","65%","65%",72,44,128,4.5,"69.4%","20.4%","10%",-202,-88,-1.9,9.4,"30.2%",554,"28.5%","24.4%",0.31,0.44
"Aurelion Sol","Middle",2,"0.7%","0.0%","0.7%","50%","100%",6,5,16,4.4,"73.3%","17.9%","50%",-424,-542,-7.5,8,"27.2%",483,"23.7%","22.1%",0.52,0.13
"Azir","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",93,"31.8%","9.2%","41.1%","38%","74%",46,276,773,3,"71.8%","21.3%","24%",-67,-72,1,2.1,"7.8%",137,"7.7%","13.0%",1.47,0.24
"Caitlyn","ADC",10,"3.4%","2.1%","5.5%","40%","50%",26,20,43,3.5,"60.0%","16.1%","20%",285,-28,12.2,9.6,"32.4%",515,"28.5%","26.5%",0.33,0.3
