"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Camille","Jungle",29,"9.9%","26.4%","39.4%","48%","24%",66,79,159,2.8,"63.7%","23.7%","48%",-95,-159,-2,4.7,"13.8%",203,"11.9%","16.7%",0.4,0.45
"Camille","Top",9,"3.1%","26.4%","39.4%","33%","44%",35,30,34,2.3,"62.2%","23.8%","11%",-294,-422,-9.8,7.8,"26.8%",381,"22.0%","23.3%",0.37,0.21
"Cassiopeia","ADC",8,"2.7%","41.1%","48.6%","38%","0%",23,15,32,3.7,"57.9%","19.2%","38%",487,304,11.8,9.6,"29.6%",405,"26.7%","24.6%",0.42,0.31
"Cassiopeia","Middle",13,"4.5%","41.1%","48.6%","69%","62%",38,33,81,3.6,"66.9%","25.0%","23%",248,39,7.2,9.1,"27.1%",441,"27.4%","23.4%",0.49,0.2
"Cassiopeia","Top",1,"0.3%","41.1%","48.6%","0%","0%",1,3,0,0.3,"25.0%","25.0%","0%",-948,-1261,-35,6.7,"24.6%",242,"23.0%","18.9%",0.33,0.08
"Corki","ADC",1,"0.3%","4.8%","14.7%","0%","100%",1,2,4,2.5,"41.7%","9.5%","0%",-224,-29,-12,10.8,"34.7%",470,"24.9%","25.2%",0.39,0.52
"Corki","Middle",28,"9.6%","4.8%","14.7%","43%","79%",116,67,123,3.6,"71.3%","17.5%","18%",-23,-37,-0.2,9.6,"29.7%",632,"34.9%","26.8%",0.4,0.31
"Darius","Top",2,"0.7%","0.0%","0.7%","0%","100%",4,13,3,0.5,"43.8%","23.6%","0%",274,315,17,7.7,"27.5%",438,"26.0%","23.2%",0.4,0.06
"Draven","ADC",2,"0.7%","0.0%","0.7%","50%","100%",8,6,3,1.8,"55.0%","18.2%","50%",72,-242,3.5,8.2,"27.6%",607,"27.7%","27.0%",0.38,0.33
"Ekko","Middle",1,"0.3%","0.0%","0.3%","100%","100%",4,1,4,8,"61.5%","20.0%","0%",106,-299,-14,9.9,"28.8%",340,"23.4%","25.6%",0.48,0.23
"Elise","Jungle",10,"3.4%","0.7%","4.1%","50%","80%",27,38,66,2.4,"67.9%","23.8%","60%",-108,-336,-8.4,4.5,"13.3%",347,"19.1%","16.0%",0.85,0.52
"Evelynn","Jungle",4,"1.4%","1.4%","2.7%","25%","100%",16,10,17,3.3,"71.7%","23.3%","0%",-290,-36,-3,6.5,"12.3%",294,"16.2%","19.3%",0.55,0.14
"Ezreal","ADC",86,"29.5%","16.1%","45.5%","47%","65%",295,190,429,3.8,"69.4%","16.8%","13%",81,-6,-1,9.1,"29.2%",694,"36.1%","25.9%",0.37,0.3
"Fiddlesticks","Support",8,"2.7%","1.4%","4.1%","25%","100%",7,31,59,2.1,"70.2%","27.7%","50%",-454,-127,-7.1,0.6,"2.1%",182,"12.1%","9.1%",1.14,0.22
"Fiora","Top",12,"4.1%","3.1%","7.2%","58%","83%",25,36,35,1.7,"46.9%","24.7%","17%",38,-75,-0.6,8.6,"27.2%",334,"21.4%","22.5%",0.44,0.15
"Galio","Middle",38,"13.0%","25.3%","75.0%","47%","29%",115,74,266,5.1,"75.7%","19.1%","37%",-128,-127,-7.8,8.2,"24.5%",451,"26.1%","21.6%",0.42,0.15
"Galio","Support",107,"36.6%","25.3%","75.0%","50%","34%",101,320,829,2.9,"69.8%","23.2%","27%",71,65,2.5,2.1,"7.2%",178,"10.5%","13.0%",1.43,0.24
"Gangplank","Top",33,"11.3%","8.2%","19.5%","48%","64%",98,84,180,3.3,"67.0%","21.6%","21%",-200,-219,-6.6,8.1,"26.0%",597,"30.9%","25.0%",0.48,0.15
"Gragas","Jungle",35,"12.0%","13.7%","31.2%","49%","51%",79,101,226,3,"65.0%","23.7%","40%",-77,-35,-5.3,4.7,"14.0%",304,"17.2%","15.8%",0.59,0.32
"Gragas","Support",16,"5.5%","13.7%","31.2%","44%","63%",20,46,129,3.2,"65.6%","21.6%","25%",-109,32,-1.6,1.4,"5.2%",218,"11.7%","11.5%",1.23,0.23
"Irelia","Middle",18,"6.2%","36.3%","50.0%","17%","56%",63,69,82,2.1,"66.2%","22.9%","11%",65,-54,4.2,8.5,"26.3%",329,"19.5%","24.3%",0.38,0.17
"Irelia","Top",22,"7.5%","36.3%","50.0%","59%","68%",78,63,104,2.9,"56.9%","26.4%","18%",240,-50,8.3,8.6,"26.9%",378,"21.0%","23.5%",0.45,0.11
"Janna","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,2,4,2,"66.7%","13.3%","0%",-215,-330,-18,0.5,"2.2%",54,"4.6%","9.9%",1.35,0.33
"Jarvan IV","Jungle",116,"39.7%","15.1%","55.5%","50%","34%",174,322,1062,3.8,"82.6%","22.5%","45%",-49,-12,0.4,4.7,"12.0%",180,"10.3%","15.5%",0.85,0.47
"Jarvan IV","Top",2,"0.7%","15.1%","55.5%","50%","50%",0,6,16,2.7,"80.0%","20.7%","0%",-899,-641,-17,6.5,"17.6%",223,"13.4%","17.8%",0.46,0.09
"Jax","Jungle",2,"0.7%","5.8%","11.3%","50%","100%",9,6,4,2.2,"65.0%","33.3%","0%",-216,-513,-5,6.5,"13.7%",196,"9.4%","18.6%",0.86,0.83
"Jax","Top",14,"4.8%","5.8%","11.3%","36%","86%",43,40,30,1.8,"46.5%","20.6%","7%",-436,-407,-13.9,8.1,"26.2%",347,"23.3%","23.5%",0.45,0.16
"Jayce","Middle",27,"9.2%","43.2%","62.0%","48%","59%",87,73,147,3.2,"72.4%","21.0%","15%",-13,-37,3.7,8.5,"26.1%",618,"30.7%","23.4%",0.42,0.41
"Jayce","Top",28,"9.6%","43.2%","62.0%","46%","21%",83,84,108,2.3,"57.0%","23.0%","18%",481,310,13.7,8.4,"25.3%",528,"30.0%","23.2%",0.51,0.28
"Jhin","ADC",1,"0.3%","0.0%","0.3%","100%","0%",8,0,4,12,"80.0%","0.0%","0%",-130,-319,-2,10.4,"34.6%",824,"44.4%","31.8%",0.28,0.47
"Jinx","ADC",8,"2.7%","1.4%","4.1%","38%","100%",45,12,23,5.7,"73.9%","12.5%","25%",-224,-298,-6.3,10.6,"35.6%",712,"36.9%","30.3%",0.34,0.49
"Kai'Sa","ADC",133,"45.5%","14.4%","59.9%","56%","42%",561,229,628,5.2,"69.2%","14.6%","23%",-90,-25,-2.7,9.5,"31.6%",479,"27.6%","26.7%",0.34,0.33
"Kalista","ADC",64,"21.9%","24.7%","46.6%","47%","28%",214,153,352,3.7,"66.4%","19.5%","23%",126,104,5,9.5,"30.1%",398,"22.4%","25.5%",0.38,0.39
"Karma","Middle",3,"1.0%","1.0%","3.8%","0%","67%",2,8,6,1,"72.7%","17.8%","0%",-171,-49,-5,8.4,"27.1%",339,"25.3%","23.2%",0.35,0.17
"Karma","Support",3,"1.0%","1.0%","3.8%","67%","100%",2,7,43,6.4,"81.8%","17.9%","100%",915,457,-10,0.6,"2.8%",291,"12.9%","12.7%",1.11,0.4
"Karma","Top",2,"0.7%","1.0%","3.8%","0%","50%",3,4,3,1.5,"60.0%","12.5%","50%",150,230,15,7.8,"22.7%",336,"26.0%","21.0%",0.43,0.1
"Karthus","Jungle",5,"1.7%","0.3%","2.4%","60%","80%",9,12,30,3.3,"73.6%","20.3%","0%",-9,206,8.2,5.5,"14.9%",386,"18.6%","18.0%",0.49,0.2
"Karthus","Middle",1,"0.3%","0.3%","2.4%","100%","100%",14,3,9,7.7,"95.8%","27.3%","0%",-139,-390,-7,7.5,"23.5%",806,"40.5%","27.2%",0.27,0.08
"Kassadin","Middle",3,"1.0%","0.3%","1.4%","33%","100%",12,5,3,3,"75.0%","20.8%","33%",-270,-402,-12,9.4,"31.3%",412,"33.7%","28.2%",0.28,0.25
"Kayle","Middle",1,"0.3%","1.0%","2.1%","0%","100%",2,4,1,0.8,"60.0%","22.2%","0%",-61,198,-2,8.2,"20.8%",243,"19.5%","25.2%",0.49,0.2
"Kayle","Top",2,"0.7%","1.0%","2.1%","50%","100%",4,6,13,2.8,"60.7%","23.1%","50%",127,124,-2.5,8.6,"26.3%",497,"27.4%","22.8%",0.48,0.2
"Kayn","Jungle",7,"2.4%","1.0%","3.4%","71%","86%",33,21,38,3.4,"63.4%","23.9%","43%",-2,31,8.1,5,"14.2%",368,"16.6%","18.6%",0.36,0.38
"Kennen","Top",41,"14.0%","7.2%","21.2%","46%","44%",81,107,203,2.7,"55.7%","21.6%","12%",422,128,6.1,7.8,"22.7%",445,"24.9%","22.1%",0.42,0.2
"Kha'Zix","Jungle",19,"6.5%","5.8%","12.3%","53%","74%",67,47,89,3.3,"61.4%","19.2%","53%",42,121,2.9,5.1,"15.2%",303,"15.5%","17.9%",0.77,0.43
"Kindred","Jungle",21,"7.2%","5.8%","13.0%","52%","90%",68,67,119,2.8,"72.8%","24.5%","19%",-24,61,5.3,6,"17.5%",359,"18.5%","19.1%",0.48,0.53
"Kled","Middle",1,"0.3%","5.8%","8.9%","100%","100%",2,2,16,9,"85.7%","10.5%","0%",4,268,-9,7.8,"28.3%",492,"18.0%","21.4%",0.51,0.22
"Kled","Top",8,"2.7%","5.8%","8.9%","63%","75%",26,20,40,3.3,"60.0%","20.0%","38%",147,114,6.8,8.4,"23.6%",365,"22.3%","23.1%",0.42,0.19
"Kog'Maw","ADC",8,"2.7%","3.8%","6.5%","88%","50%",53,11,52,9.5,"70.5%","14.7%","25%",161,-12,-0.4,9.4,"30.4%",663,"32.6%","27.3%",0.45,0.42
"LeBlanc","Middle",55,"18.8%","42.8%","61.6%","49%","40%",231,103,304,5.2,"70.6%","14.8%","33%",61,55,1.1,8,"22.9%",531,"27.1%","22.2%",0.33,0.3
"Lee Sin","Jungle",73,"25.0%","16.4%","41.4%","42%","58%",162,225,422,2.6,"73.0%","23.4%","30%",-31,-27,-1.2,5,"13.3%",202,"12.1%","16.8%",0.73,0.35
"Leona","Support",2,"0.7%","0.0%","0.7%","0%","100%",4,8,11,1.9,"62.5%","23.5%","50%",47,-39,3,2,"6.3%",107,"6.8%","16.2%",1.54,0.3
"Lissandra","Middle",120,"41.1%","45.9%","88.4%","60%","24%",331,319,870,3.8,"72.1%","22.2%","26%",66,72,-0.4,8.6,"24.9%",447,"24.9%","22.1%",0.4,0.24
"Lissandra","Support",3,"1.0%","45.9%","88.4%","33%","33%",4,11,23,2.5,"64.3%","23.9%","67%",-224,-246,-11.3,0.6,"2.6%",219,"11.6%","9.8%",1.65,0.41
"Lissandra","Top",1,"0.3%","45.9%","88.4%","0%","0%",0,3,5,1.7,"62.5%","17.6%","0%",-868,-1180,-15,6.3,"20.8%",325,"22.6%","17.6%",0.32,0.1
"Lucian","ADC",73,"25.0%","42.8%","68.5%","36%","23%",204,173,321,3,"65.5%","16.7%","22%",14,37,2.6,9.2,"29.9%",470,"27.4%","25.4%",0.35,0.42
"Lucian","Middle",2,"0.7%","42.8%","68.5%","50%","0%",7,3,8,5,"68.2%","20.0%","0%",23,97,-2,8.8,"26.3%",323,"21.9%","24.1%",0.49,0.29
"Lulu","Middle",3,"1.0%","0.3%","1.4%","67%","67%",7,6,20,4.5,"73.0%","20.7%","0%",70,119,7,7.4,"19.9%",343,"21.3%","19.6%",0.5,0.2
"Malphite","Top",2,"0.7%","0.0%","0.7%","100%","100%",11,1,15,26,"57.8%","3.7%","0%",-465,-37,-9,7.5,"24.5%",372,"19.0%","22.3%",0.24,0.18
"Maokai","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,3,3,1,"75.0%","21.4%","0%",-121,-325,-4,6.7,"20.9%",216,"23.1%","18.0%",0.32,0.09
"Morgana","Middle",3,"1.0%","13.7%","22.9%","100%","100%",3,4,23,6.5,"72.2%","16.7%","0%",144,89,-2.7,7.4,"20.2%",438,"22.2%","19.7%",0.38,0.24
"Morgana","Support",24,"8.2%","13.7%","22.9%","42%","92%",22,68,204,3.3,"79.3%","21.7%","33%",-29,24,-9.3,0.5,"2.0%",207,"10.9%","10.7%",1.31,0.33
"Nami","Support",1,"0.3%","0.0%","0.3%","0%","100%",2,3,3,1.7,"62.5%","17.6%","0%",-173,20,-38,0.3,"1.8%",278,"12.9%","10.0%",1.66,0.22
"Nautilus","Support",3,"1.0%","0.0%","1.0%","33%","100%",3,12,12,1.3,"62.5%","26.1%","0%",34,-102,2.3,2.1,"7.2%",145,"10.6%","14.9%",1.5,0.19
"Neeko","ADC",16,"5.5%","6.5%","13.7%","44%","38%",61,37,79,3.8,"71.1%","18.8%","44%",-8,-54,0.1,9.5,"32.8%",511,"27.3%","26.9%",0.35,0.48
"Neeko","Middle",2,"0.7%","6.5%","13.7%","0%","100%",6,5,6,2.4,"80.0%","15.2%","50%",-14,-177,5.5,9.2,"25.1%",431,"22.7%","25.7%",0.53,0.27
"Neeko","Top",3,"1.0%","6.5%","13.7%","67%","67%",10,6,12,3.7,"50.0%","15.0%","67%",-271,-132,5.7,9.1,"28.4%",553,"28.1%","26.2%",0.38,0.14
"Nidalee","Jungle",5,"1.7%","2.7%","4.5%","40%","60%",19,18,12,1.7,"64.6%","28.1%","40%",402,375,13.8,6,"16.5%",315,"18.6%","20.0%",0.51,0.51
"Nocturne","Jungle",28,"9.6%","15.1%","24.7%","43%","82%",54,69,148,2.9,"63.9%","20.2%","18%",-127,-72,-4.1,5.3,"13.9%",227,"13.6%","16.0%",0.46,0.32
"Olaf","Jungle",60,"20.5%","27.7%","48.3%","52%","37%",151,124,387,4.3,"67.9%","18.1%","33%",289,262,6.1,5.1,"13.7%",269,"14.7%","17.0%",0.83,0.43
"Orianna","Middle",1,"0.3%","0.0%","0.3%","0%","100%",0,3,2,0.7,"40.0%","20.0%","0%",-478,-600,-4,9.9,"30.9%",254,"19.7%","25.3%",0.54,0.09
"Ornn","Support",4,"1.4%","0.0%","2.7%","0%","100%",0,12,13,1.1,"72.2%","17.4%","0%",-355,-193,1.8,2,"7.0%",180,"13.3%","14.2%",1.32,0.17
"Ornn","Top",4,"1.4%","0.0%","2.7%","25%","100%",5,13,28,2.5,"70.2%","22.8%","25%",-491,-243,-14,6.4,"20.2%",269,"12.5%","17.6%",0.39,0.15
"Poppy","Jungle",3,"1.0%","5.1%","14.4%","67%","100%",7,5,23,6,"76.9%","16.1%","0%",234,17,-0.7,4.9,"13.8%",220,"9.8%","15.5%",0.43,0.61
"Poppy","Top",24,"8.2%","5.1%","14.4%","71%","29%",54,43,165,5.1,"59.5%","16.3%","21%",-55,2,-2.2,7.2,"20.3%",361,"18.3%","19.1%",0.48,0.18
"Pyke","ADC",1,"0.3%","0.3%","1.7%","0%","0%",10,6,5,2.5,"75.0%","19.4%","0%",-662,-591,-34,5.5,"19.7%",407,"19.7%","23.9%",0.27,0.35
"Pyke","Support",3,"1.0%","0.3%","1.7%","33%","100%",15,15,24,2.6,"62.9%","39.5%","33%",443,257,1.5,2,"8.3%",237,"11.5%","15.9%",1.42,0.27
"Rakan","Support",31,"10.6%","10.6%","21.2%","71%","29%",22,72,303,4.5,"76.7%","23.8%","29%",-228,-3,-8.1,0.4,"1.7%",155,"8.4%","9.7%",1.31,0.28
"Rek'Sai","Jungle",46,"15.8%","29.5%","45.2%","52%","35%",148,149,244,2.6,"70.0%","24.3%","39%",61,2,1.2,5.1,"14.1%",262,"14.0%","18.0%",0.51,0.47
"Renekton","Middle",1,"0.3%","3.8%","13.0%","100%","100%",5,1,3,8,"42.1%","25.0%","100%",498,80,14,11.3,"38.0%",615,"27.3%","27.5%",0.16,0.32
"Renekton","Top",26,"8.9%","3.8%","13.0%","62%","85%",57,61,114,2.8,"51.5%","22.4%","12%",213,242,5.7,8.4,"25.1%",310,"18.3%","21.8%",0.45,0.17
"Riven","Jungle",4,"1.4%","5.1%","9.9%","25%","25%",15,15,18,2.2,"64.7%","23.1%","0%",-264,-288,-10.3,4.8,"13.9%",262,"14.2%","17.4%",0.47,0.33
"Riven","Middle",2,"0.7%","5.1%","9.9%","50%","100%",4,1,6,10,"55.6%","6.7%","0%",72,52,-2.5,9,"27.3%",292,"19.0%","23.7%",0.52,0.22
"Riven","Top",8,"2.7%","5.1%","9.9%","50%","88%",28,15,35,4.2,"57.8%","17.6%","25%",179,-7,1.6,8.2,"24.6%",328,"19.8%","21.2%",0.45,0.21
"Rumble","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,4,3,0.8,"60.0%","30.8%","0%",-428,-335,-11,7.6,"20.1%",191,"19.9%","17.2%",0.51,0.03
"Ryze","Middle",44,"15.1%","26.7%","48.3%","25%","75%",103,135,162,2,"62.5%","19.2%","5%",-197,-64,-2.8,8.7,"27.0%",437,"25.8%","23.4%",0.46,0.18
"Ryze","Top",19,"6.5%","26.7%","48.3%","47%","68%",42,57,57,1.7,"51.0%","20.7%","32%",-97,-27,3.4,8.6,"27.4%",447,"25.6%","24.0%",0.46,0.17
"Sejuani","Jungle",25,"8.6%","6.5%","16.1%","40%","36%",29,58,197,3.9,"77.4%","16.6%","48%",-82,-142,-2.7,4.6,"13.0%",223,"12.6%","15.4%",0.45,0.39
"Sejuani","Support",2,"0.7%","6.5%","16.1%","50%","0%",3,4,10,3.3,"72.2%","14.3%","0%",-41,-125,4.5,2.2,"7.6%",129,"10.0%","16.4%",1.25,0.29
"Sejuani","Top",1,"0.3%","6.5%","16.1%","0%","0%",0,2,3,1.5,"33.3%","12.5%","-",-462,-614,-26,"-","25.1%","-","-","19.2%","-","-"
"Shen","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,5,3,0.6,"75.0%","27.8%","0%",-514,-231,1,2,"7.3%",93,"7.6%","12.9%",1.41,0.32
"Sion","Middle",8,"2.7%","12.7%","41.1%","50%","75%",19,22,56,3.4,"62.0%","19.1%","38%",-263,-93,-7.6,7,"20.3%",304,"17.7%","18.7%",0.47,0.18
"Sion","Top",75,"25.7%","12.7%","41.1%","41%","57%",90,177,461,3.1,"58.8%","18.5%","9%",-189,-76,-4.4,6.9,"19.6%",292,"16.9%","18.1%",0.46,0.16
"Sivir","ADC",25,"8.6%","3.1%","11.6%","52%","96%",95,50,130,4.5,"69.9%","15.8%","20%",-116,-63,0.3,10.3,"34.8%",599,"31.3%","27.4%",0.36,0.38
"Skarner","Jungle",10,"3.4%","1.7%","5.1%","60%","70%",14,26,90,4,"69.8%","20.3%","30%",-68,-52,-4.8,4.4,"11.7%",128,"6.8%","14.5%",0.81,0.35
"Soraka","Support",4,"1.4%","0.3%","1.7%","50%","100%",2,8,25,3.4,"54.0%","21.1%","25%",-259,103,-11,0.6,"2.2%",190,"10.3%","9.0%",1.23,0.29
"Swain","Middle",1,"0.3%","0.7%","2.1%","0%","100%",2,4,2,1,"80.0%","16.7%","0%",-384,-172,-4,8.4,"24.5%",506,"31.4%","29.5%",0.39,0.16
"Swain","Top",3,"1.0%","0.7%","2.1%","67%","100%",14,2,22,18,"81.8%","7.1%","0%",595,379,0,8.4,"28.7%",541,"30.5%","26.3%",0.47,0.16
"Sylas","Jungle",1,"0.3%","16.1%","22.6%","100%","0%",4,1,6,10,"71.4%","20.0%","100%",1732,1135,10,5.4,"14.2%",411,"23.4%","19.0%",0.44,0.56
"Sylas","Middle",11,"3.8%","16.1%","22.6%","55%","9%",39,23,52,4,"66.4%","23.2%","27%",-30,44,1,8.7,"24.3%",437,"25.1%","23.2%",0.42,0.18
"Sylas","Top",7,"2.4%","16.1%","22.6%","29%","43%",15,17,39,3.2,"66.7%","17.0%","14%",114,117,0.8,7.6,"22.5%",406,"22.9%","20.9%",0.4,0.11
"Syndra","Middle",40,"13.7%","20.2%","33.9%","53%","78%",134,82,231,4.5,"69.8%","17.4%","18%",162,46,8.4,8.7,"25.9%",522,"28.7%","23.2%",0.42,0.21
"Tahm Kench","Support",108,"37.0%","26.7%","63.7%","54%","43%",67,267,745,3,"61.7%","21.6%","18%",42,-8,3,2.2,"7.7%",113,"6.1%","14.2%",1.46,0.21
"Taliyah","ADC",1,"0.3%","0.0%","2.4%","0%","100%",0,5,4,0.8,"80.0%","27.8%","0%",-633,-440,-9,8.3,"26.8%",248,"19.9%","21.5%",0.57,0.24
"Taliyah","Jungle",3,"1.0%","0.0%","2.4%","100%","33%",8,4,28,9,"75.0%","28.6%","100%",471,290,0.3,5.9,"18.4%",457,"24.7%","19.0%",0.68,0.3
"Taliyah","Middle",3,"1.0%","0.0%","2.4%","0%","67%",8,7,9,2.4,"58.6%","13.5%","0%",-75,-46,1,8.5,"26.0%",427,"21.5%","22.8%",0.5,0.33
"Thresh","Support",46,"15.8%","20.9%","36.6%","50%","43%",42,117,367,3.5,"68.7%","21.9%","28%",112,106,0.6,1.4,"4.5%",131,"7.6%","11.4%",1.44,0.29
"Tristana","ADC",6,"2.1%","0.7%","2.7%","33%","100%",20,11,19,3.5,"69.6%","12.8%","17%",303,235,5,9.7,"31.4%",400,"24.7%","27.2%",0.32,0.37
"Trundle","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",0,1,2,2,"66.7%","7.1%","0%",-1016,-1126,-21,4.1,"12.6%",99,"6.4%","12.4%",0.54,0.44
"Twisted Fate","Middle",1,"0.3%","0.0%","0.3%","0%","100%",1,2,0,0.5,"50.0%","16.7%","0%",16,-554,-18,9.8,"26.9%",221,"27.1%","28.9%",0.42,0.09
"Twitch","ADC",1,"0.3%","0.0%","0.3%","0%","100%",4,2,7,5.5,"47.8%","11.8%","0%",-265,250,-11,9.7,"34.4%",612,"26.9%","26.1%",0.35,0.6
"Urgot","Middle",22,"7.5%","15.4%","54.1%","45%","27%",71,59,90,2.7,"63.4%","21.5%","23%",122,48,-1.7,7.7,"22.0%",319,"19.6%","21.3%",0.4,0.35
"Urgot","Top",91,"31.2%","15.4%","54.1%","51%","18%",312,206,412,3.5,"60.8%","19.0%","12%",59,22,0,7.7,"23.1%",391,"21.4%","21.6%",0.46,0.26
"Varus","ADC",26,"8.9%","4.8%","13.7%","62%","69%",92,57,129,3.9,"68.2%","19.6%","31%",62,-23,3.9,9.9,"31.5%",540,"30.0%","25.6%",0.36,0.43
"Vayne","ADC",57,"19.5%","12.7%","33.2%","44%","53%",244,116,205,3.9,"66.3%","16.1%","18%",-40,-23,-1.3,8.9,"29.3%",451,"26.1%","26.1%",0.34,0.34
"Vayne","Middle",3,"1.0%","12.7%","33.2%","67%","100%",18,7,6,3.4,"64.9%","17.1%","0%",296,115,17.3,8.8,"26.7%",754,"38.1%","25.7%",0.37,0.28
"Veigar","Support",1,"0.3%","0.0%","0.3%","0%","100%",1,3,2,1,"50.0%","13.6%","0%",-418,-154,0,0.6,"3.6%",140,"9.5%","10.1%",1.21,0.2
"Vel'Koz","Middle",2,"0.7%","0.0%","0.7%","0%","100%",0,5,4,0.8,"57.1%","17.9%","0%",-288,-298,-8,9.2,"28.3%",248,"25.2%","23.1%",0.47,0.28
"Vi","Jungle",2,"0.7%","0.0%","0.7%","0%","100%",3,5,10,2.6,"81.3%","12.8%","50%",-212,26,-6.5,4.9,"14.4%",144,"8.2%","18.0%",0.28,0.26
"Viktor","ADC",9,"3.1%","3.8%","12.0%","33%","100%",17,20,34,2.6,"61.4%","16.9%","33%",-288,-158,-20,8.6,"29.7%",632,"37.2%","24.7%",0.54,0.31
"Viktor","Middle",8,"2.7%","3.8%","12.0%","25%","88%",13,14,23,2.6,"58.1%","15.9%","13%",-311,-161,-6.6,9,"27.3%",558,"32.1%","23.0%",0.46,0.23
"Viktor","Top",7,"2.4%","3.8%","12.0%","43%","86%",15,27,29,1.6,"55.7%","21.6%","43%",92,-99,6.9,8.2,"26.9%",598,"31.3%","22.1%",0.48,0.15
"Vladimir","ADC",2,"0.7%","32.5%","52.7%","0%","0%",0,9,10,1.1,"34.5%","25.0%","0%",-625,-30,-20,7.6,"26.2%",364,"18.4%","20.4%",0.36,0.19
"Vladimir","Middle",11,"3.8%","32.5%","52.7%","36%","82%",26,26,45,2.7,"68.3%","16.1%","9%",-232,-139,-5.3,8.6,"26.9%",443,"30.8%","24.0%",0.42,0.2
"Vladimir","Top",46,"15.8%","32.5%","52.7%","48%","52%",131,101,200,3.3,"60.0%","17.4%","2%",-225,21,-3.9,8.6,"27.4%",511,"28.9%","23.4%",0.41,0.15
"Xayah","ADC",23,"7.9%","4.1%","12.0%","70%","65%",88,39,139,5.8,"70.1%","15.5%","35%",33,101,1.5,9.8,"33.7%",518,"27.5%","27.0%",0.34,0.36
"Xin Zhao","Jungle",39,"13.4%","11.3%","24.7%","44%","49%",86,116,219,2.6,"62.9%","22.7%","33%",-50,-37,0.2,4.7,"13.5%",244,"13.7%","16.1%",0.65,0.33
"Yasuo","ADC",3,"1.0%","9.9%","14.4%","33%","67%",9,9,10,2.1,"57.6%","17.0%","0%",102,88,-2.7,8.8,"29.1%",261,"15.4%","25.3%",0.34,0.17
"Yasuo","Middle",10,"3.4%","9.9%","14.4%","60%","70%",36,31,53,2.9,"61.4%","22.5%","50%",93,-70,-0.3,8.6,"27.6%",339,"18.9%","23.2%",0.43,0.18
"Yorick","Top",39,"13.4%","16.4%","29.8%","51%","56%",72,80,150,2.8,"54.5%","16.2%","8%",-118,3,-3.4,9,"28.9%",441,"25.5%","24.0%",0.45,0.14
