"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Karma","Support",3,"1.1%","0.0%","1.1%","33%","-",4,11,26,2.7,"71.4%","26.8%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",37,"14.0%","5.3%","19.3%","43%","-",189,101,195,3.8,"71.0%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Support",1,"0.4%","0.0%","1.1%","100%","-",3,6,13,2.7,"61.5%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",2,"0.8%","0.0%","1.1%","50%","-",2,3,9,3.7,"45.8%","13.6%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",24,"9.1%","0.0%","9.5%","46%","-",109,86,137,2.9,"75.0%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","Middle",1,"0.4%","0.0%","9.5%","0%","-",2,4,8,2.5,"76.9%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Middle",21,"8.0%","15.2%","23.1%","48%","-",94,49,70,3.3,"58.6%","18.8%","-","-","-","-","-","-","-","-","22.1%","-","-"
"Lee Sin","Jungle",37,"14.0%","1.5%","15.5%","49%","-",97,125,303,3.2,"73.7%","21.0%","-","-","-","-","-","-","-","-","-","-","-"
"Leona","Support",5,"1.9%","0.0%","1.9%","40%","-",2,25,38,1.6,"58.8%","25.3%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",43,"16.3%","0.4%","16.7%","47%","-",182,121,232,3.4,"71.1%","19.4%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Middle",41,"15.5%","3.8%","22.3%","63%","-",118,92,338,5,"73.2%","17.8%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",2,"0.8%","3.8%","22.3%","50%","-",1,5,8,1.8,"52.9%","18.5%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Top",6,"2.3%","3.8%","22.3%","17%","-",5,18,29,1.9,"70.8%","18.0%","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Top",105,"39.8%","12.9%","52.7%","51%","-",220,279,821,3.7,"71.9%","19.8%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Middle",5,"1.9%","1.9%","15.2%","80%","-",15,12,68,6.9,"84.7%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Support",30,"11.4%","1.9%","15.2%","43%","-",25,92,288,3.4,"76.2%","20.1%","-","-","-","-","-","-","-","-","9.5%","-","-"
"Nami","Support",7,"2.7%","0.0%","2.7%","43%","-",5,19,72,4.1,"81.9%","19.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Middle",2,"0.8%","4.2%","42.4%","100%","-",5,6,30,5.8,"79.5%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Support",76,"28.8%","4.2%","42.4%","45%","-",68,297,661,2.5,"69.0%","24.7%","-","-","-","-","-","-","-","-","8.4%","-","-"
"Nautilus","Top",23,"8.7%","4.2%","42.4%","48%","-",37,65,179,3.3,"72.2%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Jungle",31,"11.7%","7.2%","18.9%","45%","-",101,87,158,3,"68.7%","20.1%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",4,"1.5%","0.0%","1.5%","75%","-",12,16,46,3.6,"71.6%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Jungle",28,"10.6%","4.2%","15.2%","54%","-",39,66,268,4.7,"77.7%","16.9%","-","-","-","-","-","-","-","-","18.4%","-","-"
"Nunu & Willump","Top",1,"0.4%","4.2%","15.2%","100%","-",5,0,11,16,"64.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Jungle",1,"0.4%","0.4%","1.1%","0%","-",6,6,12,3,"90.0%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Top",1,"0.4%","0.4%","1.1%","0%","-",6,3,10,5.3,"76.2%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",45,"17.0%","2.3%","19.3%","42%","-",137,98,262,4.1,"75.3%","16.0%","-","-","-","-","-","-","-","-","21.1%","-","-"
"Pantheon","Jungle",2,"0.8%","0.0%","1.1%","50%","-",10,6,21,5.2,"79.5%","20.7%","-","-","-","-","-","-","-","-","20.0%","-","-"
"Pantheon","Support",1,"0.4%","0.0%","1.1%","0%","-",1,7,4,0.7,"45.5%","25.9%","-","-","-","-","-","-","-","-","-","-","-"
"Poppy","Top",1,"0.4%","0.0%","0.4%","0%","-",2,3,0,0.7,"50.0%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Quinn","ADC",2,"0.8%","0.0%","0.8%","0%","-",2,7,1,0.4,"21.4%","17.5%","-","-","-","-","-","-","-","-","-","-","-"
"Rek'Sai","Jungle",133,"50.4%","18.6%","70.5%","53%","-",297,327,1158,4.4,"75.7%","18.1%","-","-","-","-","-","-","-","-","18.9%","-","-"
"Rek'Sai","Top",4,"1.5%","18.6%","70.5%","50%","-",5,9,16,2.3,"58.3%","16.1%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",1,"0.4%","0.0%","0.4%","0%","-",1,4,14,3.8,"65.2%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",1,"0.4%","0.0%","1.1%","0%","-",3,3,6,3,"69.2%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Top",2,"0.8%","0.0%","1.1%","0%","-",9,4,13,5.5,"75.9%","10.8%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Middle",1,"0.4%","0.4%","1.5%","0%","-",0,1,0,0,"0.0%","10.0%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Top",2,"0.8%","0.4%","1.5%","50%","-",4,3,7,3.7,"55.0%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",40,"15.2%","3.8%","18.9%","35%","-",130,153,252,2.5,"67.0%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",4,"1.5%","64.0%","74.6%","50%","-",10,9,18,3.1,"77.8%","20.9%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Top",24,"9.1%","64.0%","74.6%","58%","-",85,72,153,3.3,"65.2%","22.7%","-","-","-","-","-","-","-","-","22.9%","-","-"
"Sejuani","Jungle",37,"14.0%","1.5%","15.5%","49%","-",53,115,309,3.1,"71.0%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Support",1,"0.4%","12.9%","31.1%","0%","-",1,3,4,1.7,"83.3%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",47,"17.8%","12.9%","31.1%","49%","-",113,108,448,5.2,"79.5%","15.7%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Top",6,"2.3%","0.0%","2.3%","67%","-",16,12,44,5,"72.3%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Jungle",2,"0.8%","5.3%","11.7%","50%","-",5,3,14,6.3,"76.0%","13.6%","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",15,"5.7%","5.3%","11.7%","60%","-",26,51,130,3.1,"64.7%","24.1%","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",140,"53.0%","20.1%","73.1%","56%","-",700,375,985,4.5,"79.7%","20.2%","-","-","-","-","-","-","-","-","27.2%","-","-"
"Soraka","Support",1,"0.4%","0.4%","0.8%","0%","-",0,5,18,3.6,"85.7%","27.8%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",93,"35.2%","14.4%","49.6%","57%","-",90,310,973,3.4,"75.4%","24.2%","-","-","-","-","-","-","-","-","7.7%","-","-"
"Tristana","ADC",26,"9.8%","0.4%","10.2%","35%","-",102,71,103,2.9,"71.7%","18.4%","-","-","-","-","-","-","-","-","20.4%","-","-"
"Trundle","Top",6,"2.3%","0.4%","2.7%","50%","-",7,16,25,2,"58.2%","23.9%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",29,"11.0%","12.5%","23.5%","52%","-",101,109,225,3,"68.5%","23.9%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",10,"3.8%","0.0%","3.8%","50%","-",45,45,77,2.7,"69.3%","24.5%","-","-","-","-","-","-","-","-","-","-","-"
"Urgot","ADC",11,"4.2%","4.5%","8.7%","18%","-",35,42,65,2.4,"66.2%","22.0%","-","-","-","-","-","-","-","-","23.9%","-","-"
"Varus","ADC",2,"0.8%","3.0%","10.6%","50%","-",8,4,10,4.5,"85.7%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Varus","Middle",18,"6.8%","3.0%","10.6%","44%","-",72,54,114,3.4,"69.9%","18.7%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",85,"32.2%","3.0%","35.2%","55%","-",441,236,437,3.7,"69.7%","19.8%","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",88,"33.3%","20.1%","53.4%","48%","-",405,273,517,3.4,"70.4%","19.8%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Middle",7,"2.7%","4.2%","9.8%","86%","-",23,8,40,7.9,"57.8%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Top",8,"3.0%","4.2%","9.8%","38%","-",26,35,45,2,"66.4%","25.7%","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","Middle",3,"1.1%","0.0%","1.1%","67%","-",10,7,19,4.1,"74.4%","15.2%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Middle",10,"3.8%","6.1%","12.9%","40%","-",34,38,66,2.6,"63.7%","21.8%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Top",8,"3.0%","6.1%","12.9%","50%","-",31,25,53,3.4,"68.3%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",3,"1.1%","0.0%","1.1%","33%","-",23,13,9,2.5,"71.1%","23.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ziggs","Middle",2,"0.8%","0.0%","0.8%","0%","-",3,3,5,2.7,"38.1%","11.5%","-","-","-","-","-","-","-","-","-","-","-"
