"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",15,"5.7%","1.5%","7.2%","53%","-",64,38,98,4.3,"69.8%","18.3%","-","-","-","-","-","-","-","-","27.8%","-","-"
"Alistar","Support",78,"29.5%","41.3%","70.8%","42%","-",56,257,824,3.4,"78.7%","21.5%","-","-","-","-","-","-","-","-","9.7%","-","-"
"Annie","Support",43,"16.3%","3.8%","20.1%","53%","-",49,178,434,2.7,"69.7%","26.3%","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",7,"2.7%","0.0%","2.7%","43%","-",31,25,49,3.2,"76.9%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",85,"32.2%","40.9%","73.1%","51%","-",346,209,452,3.8,"68.8%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"Bard","Support",12,"4.5%","1.5%","6.1%","25%","-",16,40,122,3.5,"84.7%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Brand","Middle",1,"0.4%","0.0%","0.4%","0%","-",4,4,2,1.5,"54.5%","14.8%","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",60,"22.7%","2.7%","25.4%","48%","-",41,194,622,3.4,"74.8%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",13,"4.9%","0.4%","5.3%","38%","-",40,40,63,2.6,"64.4%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",36,"13.6%","12.9%","26.9%","50%","-",173,117,216,3.3,"70.5%","20.0%","-","-","-","-","-","-","-","-","20.2%","-","-"
"Cassiopeia","Top",1,"0.4%","12.9%","26.9%","0%","-",3,4,1,1,"36.4%","14.8%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",61,"23.1%","1.1%","24.2%","43%","-",272,188,385,3.5,"71.0%","18.4%","-","-","-","-","-","-","-","-","29.1%","-","-"
"Diana","Middle",7,"2.7%","1.9%","4.5%","57%","-",43,25,43,3.4,"65.6%","25.8%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",10,"3.8%","2.3%","6.1%","60%","-",37,26,60,3.7,"69.8%","22.8%","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Jungle",55,"20.8%","36.7%","62.5%","60%","-",144,148,529,4.5,"74.9%","19.3%","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Middle",12,"4.5%","36.7%","62.5%","67%","-",62,25,76,5.5,"66.3%","15.4%","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Top",1,"0.4%","36.7%","62.5%","0%","-",2,7,1,0.4,"50.0%","36.8%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",6,"2.3%","0.0%","2.3%","50%","-",16,15,33,3.3,"71.0%","18.3%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",35,"13.3%","1.9%","15.2%","37%","-",105,115,250,3.1,"71.9%","19.5%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",12,"4.5%","8.3%","21.2%","58%","-",51,40,91,3.6,"70.3%","20.9%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",22,"8.3%","8.3%","21.2%","41%","-",84,60,102,3.1,"72.1%","16.2%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Jungle",6,"2.3%","18.2%","40.2%","17%","-",6,16,33,2.4,"81.3%","17.6%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",20,"7.6%","18.2%","40.2%","60%","-",100,51,117,4.3,"69.1%","20.5%","-","-","-","-","-","-","-","-","26.1%","-","-"
"Fizz","Top",32,"12.1%","18.2%","40.2%","47%","-",115,119,188,2.5,"63.7%","22.7%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Gnar","Top",87,"33.0%","4.9%","37.9%","53%","-",222,232,595,3.5,"63.7%","18.5%","-","-","-","-","-","-","-","-","22.3%","-","-"
"Gragas","Jungle",148,"56.1%","33.0%","90.2%","49%","-",326,401,1306,4.1,"75.2%","18.4%","-","-","-","-","-","-","-","-","18.5%","-","-"
"Gragas","Support",2,"0.8%","33.0%","90.2%","0%","-",1,6,6,1.2,"77.8%","17.1%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Top",1,"0.4%","33.0%","90.2%","0%","-",2,5,5,1.4,"58.3%","26.3%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",17,"6.4%","0.0%","6.4%","35%","-",54,55,86,2.5,"67.0%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Jungle",1,"0.4%","28.8%","64.0%","0%","-",3,6,4,1.2,"70.0%","24.0%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Top",92,"34.8%","28.8%","64.0%","55%","-",266,259,693,3.7,"67.2%","19.8%","-","-","-","-","-","-","-","-","26.6%","-","-"
"Irelia","Support",1,"0.4%","0.4%","4.2%","100%","-",0,2,7,3.5,"53.8%","40.0%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",9,"3.4%","0.4%","4.2%","56%","-",27,24,54,3.4,"63.3%","17.9%","-","-","-","-","-","-","-","-","26.8%","-","-"
"Janna","Support",112,"42.4%","6.4%","48.9%","60%","-",49,262,1207,4.8,"79.1%","18.5%","-","-","-","-","-","-","-","-","8.9%","-","-"
"Jarvan IV","Jungle",1,"0.4%","0.0%","1.5%","100%","-",2,0,14,16,"94.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Top",3,"1.1%","0.0%","1.5%","67%","-",14,8,34,6,"78.7%","21.1%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",13,"4.9%","1.5%","6.4%","38%","-",64,31,68,4.3,"75.0%","16.1%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",38,"14.4%","1.1%","15.5%","47%","-",177,106,209,3.6,"76.9%","19.7%","-","-","-","-","-","-","-","-","-","-","-"
"Kalista","ADC",27,"10.2%","89.8%","100.0%","70%","-",146,69,187,4.8,"72.7%","21.0%","-","-","-","-","-","-","-","-","-","-","-"
