"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Taric","Support",4,"1.2%","0.6%","1.8%","50%","100%",2,7,41,6.1,"89.6%","17.1%","-","-","-","-",1.3,"-",104,"6.1%","9.8%",1.55,0.36
"Thresh","Support",86,"26.2%","48.8%","75.0%","50%","8%",52,245,781,3.4,"70.9%","21.2%","-","-","-","-",1.1,"-",102,"5.5%","8.8%",1.59,0.32
"Tristana","ADC",8,"2.4%","0.0%","2.4%","25%","63%",19,26,21,1.5,"65.6%","20.0%","-","-","-","-",9.8,"-",457,"24.0%","27.0%",0.51,0.35
"Trundle","Jungle",18,"5.5%","3.7%","13.4%","33%","89%",29,56,92,2.2,"73.3%","21.9%","-","-","-","-",5.2,"-",227,"13.5%","17.3%",0.3,0.4
"Trundle","Support",8,"2.4%","3.7%","13.4%","38%","38%",7,22,57,2.9,"62.1%","18.3%","-","-","-","-",1.4,"-",127,"6.5%","8.9%",2.09,0.45
"Trundle","Top",6,"1.8%","3.7%","13.4%","67%","67%",12,13,49,4.7,"68.5%","15.9%","-","-","-","-",8.5,"-",368,"17.1%","23.6%",0.41,0.2
"Twisted Fate","Middle",30,"9.1%","11.6%","20.7%","60%","60%",50,69,224,4,"71.2%","18.6%","-","-","-","-",7.8,"-",391,"21.3%","23.0%",0.32,0.19
"Twitch","ADC",2,"0.6%","0.0%","0.6%","0%","100%",3,8,2,0.6,"62.5%","21.6%","-","-","-","-",8.5,"-",350,"29.0%","24.2%",0.26,0.29
"Udyr","Jungle",39,"11.9%","8.2%","20.1%","36%","38%",69,87,211,3.2,"70.0%","16.3%","-","-","-","-",6.1,"-",181,"10.1%","18.8%",0.54,0.56
"Varus","ADC",117,"35.7%","40.9%","76.5%","54%","24%",421,298,655,3.6,"63.8%","18.5%","-","-","-","-",9,"-",611,"29.6%","24.8%",0.57,0.32
"Vayne","ADC",2,"0.6%","0.0%","0.6%","100%","100%",14,0,12,26,"68.4%","0.0%","-","-","-","-",9.4,"-",719,"28.5%","26.9%",0.34,0.3
"Viego","Jungle",47,"14.3%","45.1%","84.8%","55%","45%",180,129,292,3.7,"72.8%","21.6%","-","-","-","-",6,"-",339,"16.7%","20.1%",0.33,0.44
"Viego","Middle",37,"11.3%","45.1%","84.8%","68%","27%",183,64,196,5.9,"64.1%","13.7%","-","-","-","-",8.4,"-",462,"20.7%","24.5%",0.31,0.28
"Viego","Top",46,"14.0%","45.1%","84.8%","43%","24%",168,138,193,2.6,"63.8%","21.7%","-","-","-","-",8.1,"-",438,"22.6%","24.2%",0.37,0.17
"Viktor","Middle",10,"3.0%","0.6%","3.7%","60%","80%",25,20,52,3.9,"64.2%","15.6%","-","-","-","-",9,"-",627,"32.6%","24.1%",0.44,0.1
"Vladimir","Middle",3,"0.9%","0.0%","0.9%","67%","100%",4,9,17,2.3,"48.8%","25.0%","-","-","-","-",8.9,"-",484,"22.6%","20.7%",0.32,0.27
"Volibear","Jungle",53,"16.2%","18.3%","41.5%","57%","68%",133,138,390,3.8,"68.3%","20.6%","-","-","-","-",5.3,"-",300,"14.4%","17.4%",0.41,0.37
"Volibear","Top",23,"7.0%","18.3%","41.5%","30%","87%",50,60,117,2.8,"63.3%","17.9%","-","-","-","-",7.4,"-",409,"22.6%","21.4%",0.39,0.17
"Wukong","Top",15,"4.6%","5.2%","9.8%","47%","60%",59,36,65,3.4,"65.3%","19.1%","-","-","-","-",7.4,"-",392,"21.5%","22.9%",0.31,0.17
"Xayah","ADC",1,"0.3%","0.0%","0.3%","0%","100%",3,5,5,1.6,"50.0%","20.8%","-","-","-","-",7.9,"-",397,"18.0%","23.1%",0.23,0.23
"Xerath","Middle",1,"0.3%","0.0%","0.3%","100%","100%",9,2,4,6.5,"92.9%","16.7%","-","-","-","-",7.3,"-",1226,"50.7%","25.7%",0.41,0.11
"Xin Zhao","Jungle",105,"32.0%","49.7%","81.7%","65%","31%",322,272,792,4.1,"70.4%","22.0%","-","-","-","-",6,"-",386,"18.7%","19.2%",0.35,0.4
"Yasuo","Middle",5,"1.5%","0.3%","1.8%","40%","100%",10,16,38,3,"88.9%","18.8%","-","-","-","-",8.5,"-",394,"21.0%","24.2%",0.37,0.21
"Yone","Middle",1,"0.3%","0.0%","0.3%","100%","100%",2,1,7,9,"60.0%","7.7%","-","-","-","-",9.5,"-",360,"24.2%","24.4%",0.14,0.55
"Yuumi","Support",2,"0.6%","0.0%","0.6%","50%","100%",0,4,28,7,"87.5%","14.8%","-","-","-","-",0.4,"-",304,"15.6%","8.7%",1.33,0.21
"Zac","Jungle",8,"2.4%","2.1%","4.6%","63%","75%",12,13,63,5.8,"71.4%","16.5%","-","-","-","-",5.7,"-",254,"15.0%","16.7%",0.33,0.38
"Ziggs","ADC",33,"10.1%","28.4%","38.4%","52%","45%",90,69,204,4.3,"65.9%","15.4%","-","-","-","-",9.2,"-",680,"33.2%","25.2%",0.42,0.23
"Zilean","Support",1,"0.3%","0.0%","0.3%","0%","100%",0,3,4,1.3,"80.0%","20.0%","-","-","-","-",1.7,"-",128,"7.8%","9.0%",1.38,0.46
"Zoe","Middle",25,"7.6%","7.6%","15.2%","40%","72%",62,51,111,3.4,"60.7%","15.8%","-","-","-","-",7.9,"-",518,"27.4%","21.4%",0.4,0.21
