"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",8,"7.1%","4.5%","11.6%","38%","-",42,33,69,3.4,"63.8%","19.6%","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",7,"6.3%","9.8%","17.9%","43%","-",6,31,64,2.3,"72.2%","20.7%","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Top",2,"1.8%","9.8%","17.9%","100%","-",10,3,24,11.3,"66.7%","10.7%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Middle",2,"1.8%","7.1%","10.7%","0%","-",10,10,15,2.5,"75.8%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",2,"1.8%","7.1%","10.7%","0%","-",3,13,15,1.4,"58.1%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",1,"0.9%","0.0%","0.9%","100%","-",0,2,13,6.5,"59.1%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Brand","Support",1,"0.9%","0.0%","0.9%","100%","-",4,5,10,2.8,"53.8%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Jungle",1,"0.9%","47.3%","92.0%","100%","-",1,4,18,4.8,"90.5%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",49,"43.8%","47.3%","92.0%","57%","-",48,190,558,3.2,"72.4%","22.1%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",4,"3.6%","0.0%","3.6%","75%","-",20,12,29,4.1,"65.3%","17.6%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",27,"24.1%","0.0%","24.1%","41%","-",161,78,149,4,"70.5%","17.1%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Middle",2,"1.8%","0.0%","1.8%","50%","-",12,10,13,2.5,"69.4%","23.8%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Top",10,"8.9%","0.0%","8.9%","20%","-",15,38,43,1.5,"43.9%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",1,"0.9%","0.0%","0.9%","0%","-",8,3,8,5.3,"72.7%","13.0%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",26,"23.2%","1.8%","25.0%","35%","-",75,105,186,2.5,"68.3%","20.3%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",10,"8.9%","1.8%","10.7%","50%","-",27,29,102,4.4,"75.0%","19.7%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",4,"3.6%","0.0%","3.6%","0%","-",16,13,9,1.9,"86.2%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Jungle",1,"0.9%","0.0%","0.9%","0%","-",1,7,11,1.7,"60.0%","26.9%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",5,"4.5%","3.6%","8.9%","80%","-",35,14,25,4.3,"64.5%","20.3%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Top",1,"0.9%","3.6%","8.9%","0%","-",2,4,5,1.8,"63.6%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Top",56,"50.0%","11.6%","61.6%","52%","-",124,187,345,2.5,"46.4%","19.5%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",2,"1.8%","0.0%","1.8%","50%","-",7,7,13,2.9,"71.4%","24.1%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",14,"12.5%","1.8%","14.3%","21%","-",48,55,93,2.6,"63.5%","20.1%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",3,"2.7%","0.0%","2.7%","100%","-",5,5,48,10.6,"86.9%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
