"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jarvan IV","Jungle",57,"50.9%","8.9%","60.7%","49%","-",166,217,565,3.4,"77.4%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Top",1,"0.9%","8.9%","60.7%","0%","-",2,8,23,3.1,"75.8%","27.6%","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",42,"37.5%","27.7%","65.2%","50%","-",136,149,220,2.4,"50.2%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",3,"2.7%","2.7%","6.3%","67%","-",19,6,22,6.8,"73.2%","15.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",1,"0.9%","2.7%","6.3%","0%","-",3,6,3,1,"54.5%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",5,"4.5%","0.0%","4.5%","80%","-",37,10,33,7,"68.6%","14.9%","-","-","-","-","-","-","-","-","-","-","-"
"Karma","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Middle",1,"0.9%","0.0%","0.9%","100%","-",6,0,9,15,"62.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",12,"10.7%","83.9%","99.1%","50%","-",62,32,102,5.1,"72.6%","16.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Top",5,"4.5%","83.9%","99.1%","40%","-",13,10,14,2.7,"57.4%","12.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Middle",1,"0.9%","49.1%","70.5%","0%","-",12,6,12,4,"72.7%","20.7%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Top",23,"20.5%","49.1%","70.5%","65%","-",81,67,190,4,"64.7%","21.1%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Jungle",21,"18.8%","6.3%","25.9%","33%","-",72,66,118,2.9,"60.7%","19.6%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Top",1,"0.9%","6.3%","25.9%","0%","-",3,6,15,3,"64.3%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",41,"36.6%","8.0%","47.3%","54%","-",213,119,260,4,"70.0%","17.7%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","Middle",3,"2.7%","8.0%","47.3%","0%","-",5,8,11,2,"50.0%","12.5%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Middle",8,"7.1%","17.9%","29.5%","25%","-",44,41,43,2.1,"66.9%","21.5%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Support",5,"4.5%","17.9%","29.5%","60%","-",11,15,53,4.3,"64.6%","23.8%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",51,"45.5%","31.3%","76.8%","57%","-",130,201,443,2.9,"63.2%","24.4%","-","-","-","-","-","-","-","-","-","-","-"
"Leona","Support",39,"34.8%","4.5%","39.3%","49%","-",49,153,348,2.6,"58.6%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",76,"67.9%","4.5%","74.1%","51%","-",431,240,463,3.7,"68.3%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","Middle",2,"1.8%","4.5%","74.1%","100%","-",6,6,17,3.8,"71.9%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Middle",25,"22.3%","51.8%","89.3%","44%","-",105,67,200,4.6,"73.8%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Top",17,"15.2%","51.8%","89.3%","29%","-",34,68,133,2.5,"67.9%","19.4%","-","-","-","-","-","-","-","-","-","-","-"
"Lux","Middle",3,"2.7%","0.0%","2.7%","33%","-",5,3,22,9,"71.1%","8.8%","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Top",7,"6.3%","17.9%","24.1%","86%","-",16,16,69,5.3,"65.9%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Support",14,"12.5%","0.0%","12.5%","43%","-",13,47,124,2.9,"65.6%","22.4%","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",38,"33.9%","0.9%","34.8%","45%","-",34,108,451,4.5,"73.6%","16.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Support",1,"0.9%","0.0%","0.9%","100%","-",1,2,20,10.5,"65.6%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",2,"1.8%","0.0%","1.8%","0%","-",4,6,9,2.2,"59.1%","12.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",2,"1.8%","0.0%","1.8%","0%","-",7,14,9,1.1,"59.3%","27.5%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Jungle",1,"0.9%","0.0%","0.9%","0%","-",0,7,5,0.7,"45.5%","21.2%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",29,"25.9%","3.6%","29.5%","55%","-",127,73,213,4.7,"69.7%","17.0%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Jungle",2,"1.8%","1.8%","3.6%","50%","-",4,16,16,1.3,"60.6%","36.4%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Middle",1,"0.9%","0.0%","7.1%","100%","-",6,3,9,5,"60.0%","17.6%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",7,"6.3%","0.0%","7.1%","71%","-",18,27,61,2.9,"49.4%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",34,"30.4%","29.5%","59.8%","59%","-",90,128,300,3,"64.3%","23.2%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Middle",2,"1.8%","0.9%","4.5%","50%","-",14,7,5,2.7,"86.4%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Top",2,"1.8%","0.9%","4.5%","50%","-",4,7,5,1.3,"36.0%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",6,"5.4%","0.0%","8.9%","50%","-",15,14,41,4,"69.1%","16.9%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Top",4,"3.6%","0.0%","8.9%","75%","-",14,9,23,4.1,"57.8%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Shaco","Jungle",1,"0.9%","0.0%","0.9%","100%","-",6,4,9,3.8,"37.5%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Top",26,"23.2%","0.0%","23.2%","54%","-",54,71,154,2.9,"50.5%","17.1%","-","-","-","-","-","-","-","-","-","-","-"
"Singed","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sion","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",3,"2.7%","0.0%","2.7%","0%","-",18,12,18,3,"69.2%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Skarner","Jungle",17,"15.2%","2.7%","17.9%","65%","-",43,49,157,4.1,"58.8%","16.4%","-","-","-","-","-","-","-","-","-","-","-"
"Sona","Support",7,"6.3%","0.0%","6.3%","43%","-",5,27,48,2,"70.7%","23.7%","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Middle",3,"2.7%","2.7%","7.1%","100%","-",11,3,41,17.3,"80.0%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Top",2,"1.8%","2.7%","7.1%","100%","-",5,10,30,3.5,"70.0%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",7,"6.3%","5.4%","11.6%","43%","-",26,20,37,3.2,"60.0%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",51,"45.5%","49.1%","94.6%","49%","-",58,221,557,2.8,"68.2%","24.7%","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","ADC",23,"20.5%","0.0%","21.4%","57%","-",146,53,128,5.2,"71.0%","14.8%","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","Middle",1,"0.9%","0.0%","21.4%","100%","-",5,2,6,5.5,"84.6%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Trundle","Top",1,"0.9%","0.0%","0.9%","0%","-",2,6,6,1.3,"66.7%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",12,"10.7%","11.6%","22.3%","33%","-",70,49,81,3.1,"72.6%","22.1%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",29,"25.9%","0.0%","25.9%","52%","-",163,88,197,4.1,"71.0%","19.3%","-","-","-","-","-","-","-","-","-","-","-"
"Urgot","ADC",1,"0.9%","0.0%","0.9%","100%","-",6,2,10,8,"50.0%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",8,"7.1%","0.0%","7.1%","38%","-",58,36,58,3.2,"73.4%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Veigar","Middle",1,"0.9%","0.0%","0.9%","100%","-",13,4,8,5.3,"72.4%","21.1%","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","Middle",7,"6.3%","0.0%","6.3%","43%","-",32,24,38,2.9,"63.1%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Middle",25,"22.3%","50.0%","74.1%","52%","-",132,118,134,2.3,"64.3%","26.7%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Top",2,"1.8%","50.0%","74.1%","100%","-",13,7,14,3.9,"60.0%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",17,"15.2%","8.0%","23.2%","53%","-",90,77,74,2.1,"53.9%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Ziggs","Middle",34,"30.4%","19.6%","50.0%","62%","-",145,77,271,5.4,"73.4%","13.3%","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Middle",2,"1.8%","2.7%","8.0%","0%","-",11,9,19,3.3,"71.4%","24.3%","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Support",4,"3.6%","2.7%","8.0%","50%","-",8,10,31,3.9,"58.2%","16.9%","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Support",2,"1.8%","0.0%","1.8%","0%","-",4,7,11,2.1,"71.4%","15.2%","-","-","-","-","-","-","-","-","-","-","-"
