"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Evelynn","Jungle",8,"9.5%","0.0%","10.7%","25%","-",28,37,73,2.7,"70.6%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Middle",1,"1.2%","0.0%","10.7%","0%","-",1,2,3,2,"57.1%","11.1%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",23,"27.4%","0.0%","29.8%","61%","-",139,50,172,6.2,"77.2%","14.4%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",2,"2.4%","0.0%","29.8%","0%","-",15,7,14,4.1,"78.4%","13.7%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",3,"3.6%","0.0%","3.6%","33%","-",7,14,35,3,"59.2%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",6,"7.1%","0.0%","7.1%","50%","-",33,18,43,4.2,"66.1%","17.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Middle",15,"17.9%","0.0%","21.4%","53%","-",63,34,95,4.6,"60.3%","14.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Top",3,"3.6%","0.0%","21.4%","67%","-",6,8,21,3.4,"54.0%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",2,"2.4%","0.0%","2.4%","50%","-",7,7,20,3.9,"60.0%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Jungle",1,"1.2%","0.0%","1.2%","0%","-",1,6,8,1.5,"60.0%","26.1%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",31,"36.9%","0.0%","45.2%","48%","-",54,144,359,2.9,"78.4%","24.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Top",7,"8.3%","0.0%","45.2%","57%","-",34,19,63,5.1,"70.3%","18.1%","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",5,"6.0%","0.0%","6.0%","40%","-",20,27,24,1.6,"50.0%","25.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",4,"4.8%","0.0%","4.8%","100%","-",28,8,32,7.5,"75.9%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Middle",9,"10.7%","0.0%","10.7%","44%","-",46,39,69,2.9,"74.7%","25.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",7,"8.3%","0.0%","8.3%","57%","-",41,15,41,5.5,"66.1%","13.2%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",24,"28.6%","0.0%","28.6%","67%","-",96,80,179,3.4,"61.2%","22.7%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Middle",2,"2.4%","0.0%","2.4%","0%","-",10,16,14,1.5,"63.2%","27.1%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",1,"1.2%","0.0%","1.2%","100%","-",17,7,12,4.1,"82.9%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",41,"48.8%","0.0%","48.8%","46%","-",103,142,339,3.1,"65.7%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Middle",12,"14.3%","0.0%","21.4%","58%","-",50,57,124,3.1,"64.0%","24.5%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Top",6,"7.1%","0.0%","21.4%","33%","-",14,26,46,2.3,"61.9%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",11,"13.1%","0.0%","13.1%","18%","-",12,52,118,2.5,"70.3%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",5,"6.0%","0.0%","6.0%","20%","-",13,22,32,2,"55.6%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",42,"50.0%","0.0%","50.0%","45%","-",36,125,445,3.8,"74.1%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Jungle",4,"4.8%","0.0%","8.3%","75%","-",7,6,40,7.8,"72.3%","11.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Top",3,"3.6%","0.0%","8.3%","67%","-",4,10,26,3,"62.5%","23.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Jungle",7,"8.3%","0.0%","8.3%","57%","-",11,22,69,3.6,"70.2%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",3,"3.6%","0.0%","3.6%","67%","-",11,16,15,1.6,"48.1%","19.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",4,"4.8%","0.0%","4.8%","75%","-",13,16,35,3,"50.5%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Jungle",10,"11.9%","0.0%","13.1%","50%","-",6,23,106,4.9,"71.8%","17.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Top",1,"1.2%","0.0%","13.1%","0%","-",1,5,3,0.8,"80.0%","29.4%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Top",1,"1.2%","0.0%","1.2%","100%","-",4,1,15,19,"70.4%","11.1%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",23,"27.4%","0.0%","27.4%","52%","-",81,67,145,3.4,"69.5%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Middle",1,"1.2%","0.0%","2.4%","100%","-",13,5,8,4.2,"61.8%","50.0%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Support",1,"1.2%","0.0%","2.4%","0%","-",2,2,4,3,"85.7%","10.5%","-","-","-","-","-","-","-","-","-","-","-"
"Quinn","Top",1,"1.2%","0.0%","1.2%","0%","-",6,5,2,1.6,"72.7%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",19,"22.6%","0.0%","22.6%","63%","-",66,49,121,3.8,"58.3%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",4,"4.8%","0.0%","7.1%","50%","-",16,15,18,2.3,"49.3%","24.6%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Top",2,"2.4%","0.0%","7.1%","50%","-",13,3,6,6.3,"54.3%","12.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",1,"1.2%","0.0%","1.2%","100%","-",5,3,8,4.3,"56.5%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",11,"13.1%","0.0%","33.3%","82%","-",63,22,90,7,"71.5%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Top",17,"20.2%","0.0%","33.3%","41%","-",56,70,90,2.1,"52.3%","21.9%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Jungle",1,"1.2%","0.0%","29.8%","0%","-",0,5,1,0.2,"100.0%","27.8%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",24,"28.6%","0.0%","29.8%","46%","-",69,82,235,3.7,"70.2%","18.6%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Jungle",13,"15.5%","0.0%","17.9%","62%","-",34,32,104,4.3,"67.0%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Top",2,"2.4%","0.0%","17.9%","50%","-",11,6,18,4.8,"52.7%","11.3%","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Middle",2,"2.4%","0.0%","2.4%","50%","-",2,5,22,4.8,"68.6%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Sona","Support",31,"36.9%","0.0%","36.9%","61%","-",39,103,373,4,"74.6%","21.1%","-","-","-","-","-","-","-","-","-","-","-"
"Swain","Middle",1,"1.2%","0.0%","1.2%","100%","-",1,3,3,1.3,"26.7%","60.0%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",3,"3.6%","0.0%","4.8%","67%","-",19,11,18,3.4,"56.1%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Support",1,"1.2%","0.0%","4.8%","100%","-",2,0,15,17,"77.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",42,"50.0%","0.0%","50.0%","50%","-",47,181,434,2.7,"66.1%","24.2%","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","ADC",7,"8.3%","0.0%","8.3%","29%","-",49,22,36,3.9,"65.4%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",7,"8.3%","0.0%","9.5%","57%","-",27,37,64,2.5,"61.9%","27.8%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Support",1,"1.2%","0.0%","9.5%","100%","-",2,6,13,2.5,"60.0%","35.3%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",47,"56.0%","0.0%","56.0%","55%","-",284,143,285,4,"69.5%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"Udyr","Jungle",3,"3.6%","0.0%","3.6%","33%","-",7,16,23,1.9,"46.2%","22.5%","-","-","-","-","-","-","-","-","-","-","-"
"Varus","ADC",4,"4.8%","0.0%","4.8%","0%","-",16,16,13,1.8,"64.4%","18.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",46,"54.8%","0.0%","54.8%","50%","-",277,135,258,4,"66.3%","18.1%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",4,"4.8%","0.0%","6.0%","25%","-",6,18,26,1.8,"50.8%","28.1%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Top",1,"1.2%","0.0%","6.0%","0%","-",4,3,2,2,"75.0%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Middle",1,"1.2%","0.0%","7.1%","100%","-",7,3,10,5.7,"68.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Top",5,"6.0%","0.0%","7.1%","40%","-",16,24,18,1.4,"58.6%","26.4%","-","-","-","-","-","-","-","-","-","-","-"
"Volibear","Jungle",1,"1.2%","0.0%","1.2%","100%","-",6,0,11,17,"70.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Xin Zhao","Jungle",6,"7.1%","0.0%","7.1%","50%","-",16,28,34,1.8,"51.5%","26.2%","-","-","-","-","-","-","-","-","-","-","-"
"Yorick","Jungle",8,"9.5%","0.0%","10.7%","75%","-",17,23,61,3.4,"57.4%","23.2%","-","-","-","-","-","-","-","-","-","-","-"
"Yorick","Top",1,"1.2%","0.0%","10.7%","100%","-",11,6,17,4.7,"77.8%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Jungle",6,"7.1%","0.0%","34.5%","33%","-",24,17,82,6.2,"70.7%","11.4%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Middle",1,"1.2%","0.0%","34.5%","0%","-",0,5,4,0.8,"36.4%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Top",22,"26.2%","0.0%","34.5%","36%","-",47,53,158,3.9,"62.7%","14.0%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Jungle",3,"3.6%","0.0%","42.9%","33%","-",6,17,15,1.2,"46.7%","19.3%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",33,"39.3%","0.0%","42.9%","39%","-",147,126,151,2.4,"60.3%","21.5%","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Middle",3,"3.6%","0.0%","19.0%","33%","-",4,13,17,1.6,"61.8%","23.2%","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Support",13,"15.5%","0.0%","19.0%","54%","-",14,47,111,2.7,"56.1%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
