"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"2.4%","0.0%","2.4%","0%","-",5,11,18,2.1,"47.9%","18.6%","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","ADC",1,"1.2%","0.0%","26.2%","0%","-",8,5,11,3.8,"67.9%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",21,"25.0%","0.0%","26.2%","43%","-",96,68,125,3.3,"61.6%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",1,"1.2%","0.0%","1.2%","100%","-",0,4,22,5.5,"75.9%","26.7%","-","-","-","-","-","-","-","-","-","-","-"
"Anivia","Middle",1,"1.2%","0.0%","1.2%","100%","-",1,1,13,14,"66.7%","5.3%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",6,"7.1%","0.0%","7.1%","67%","-",6,26,59,2.5,"59.1%","36.1%","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",2,"2.4%","0.0%","2.4%","0%","-",4,13,5,0.7,"64.3%","31.7%","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",14,"16.7%","0.0%","16.7%","57%","-",11,64,140,2.4,"55.9%","24.6%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",26,"31.0%","0.0%","31.0%","50%","-",160,84,175,4,"72.7%","17.7%","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Support",1,"1.2%","0.0%","1.2%","0%","-",3,9,16,2.1,"65.5%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",3,"3.6%","0.0%","3.6%","33%","-",13,11,7,1.8,"57.1%","18.0%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Middle",2,"2.4%","0.0%","8.3%","50%","-",9,9,14,2.6,"69.7%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Top",5,"6.0%","0.0%","8.3%","60%","-",13,23,45,2.5,"58.6%","27.1%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Top",2,"2.4%","0.0%","2.4%","50%","-",7,11,19,2.4,"68.4%","15.7%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",6,"7.1%","0.0%","8.3%","50%","-",28,16,28,3.5,"68.3%","16.5%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","Middle",1,"1.2%","0.0%","8.3%","0%","-",8,7,12,2.9,"71.4%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",13,"15.5%","0.0%","22.6%","62%","-",48,41,113,3.9,"61.9%","19.1%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Support",1,"1.2%","0.0%","22.6%","0%","-",0,3,2,0.7,"50.0%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Top",5,"6.0%","0.0%","22.6%","40%","-",21,14,20,2.9,"57.7%","18.9%","-","-","-","-","-","-","-","-","-","-","-"
