"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",8,"2.3%","0.3%","2.6%","75%","100%",17,17,44,3.6,"48.4%","23.9%","-","-","-","-",8.2,"-",436,"22.8%","21.1%",0.38,0.2
"Ahri","Middle",52,"15.2%","10.0%","25.2%","48%","33%",173,107,343,4.8,"70.2%","14.8%","-","-","-","-",8,"-",491,"25.5%","22.0%",0.55,0.29
"Akali","Middle",23,"6.7%","29.0%","40.2%","52%","65%",98,44,103,4.6,"62.2%","16.1%","-","-","-","-",8.1,"-",457,"24.4%","22.7%",0.29,0.21
"Akali","Top",15,"4.4%","29.0%","40.2%","40%","80%",83,59,64,2.5,"57.2%","23.6%","-","-","-","-",7.2,"-",480,"22.6%","22.3%",0.3,0.16
"Akshan","Top",3,"0.9%","2.1%","2.9%","67%","100%",8,10,8,1.6,"45.7%","25.6%","-","-","-","-",8.7,"-",519,"25.7%","24.8%",0.41,0.29
"Alistar","Support",36,"10.6%","3.8%","14.4%","47%","78%",18,132,307,2.5,"71.9%","28.7%","-","-","-","-",1,"-",112,"6.4%","8.5%",1.74,0.26
"Amumu","Support",1,"0.3%","0.0%","0.3%","0%","0%",0,5,9,1.8,"100.0%","20.0%","-","-","-","-",1.4,"-",175,"7.3%","9.3%",1.43,0.1
"Annie","Middle",1,"0.3%","0.6%","1.2%","0%","100%",6,5,2,1.6,"80.0%","20.0%","-","-","-","-",6.8,"-",438,"21.6%","22.6%",0.47,0.18
"Annie","Top",1,"0.3%","0.6%","1.2%","100%","100%",4,1,12,16,"55.2%","11.1%","-","-","-","-",6.4,"-",484,"18.8%","16.2%",0.27,0.12
"Aphelios","ADC",204,"59.8%","15.0%","74.8%","47%","59%",782,495,873,3.3,"64.9%","18.7%","-","-","-","-",9.5,"-",493,"26.8%","26.8%",0.45,0.37
"Azir","Middle",7,"2.1%","2.1%","4.1%","57%","100%",24,12,44,5.7,"65.4%","16.7%","-","-","-","-",8.2,"-",584,"27.8%","22.8%",0.41,0.28
"Blitzcrank","Support",3,"0.9%","0.0%","0.9%","0%","100%",3,11,15,1.6,"64.3%","19.3%","-","-","-","-",1.2,"-",160,"7.8%","9.4%",1.83,0.24
"Braum","Support",18,"5.3%","1.8%","7.0%","33%","100%",5,60,139,2.4,"69.6%","23.2%","-","-","-","-",1.1,"-",140,"7.6%","8.4%",1.55,0.32
