"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lillia","Top",3,"0.9%","0.0%","1.2%","67%","100%",9,6,22,5.2,"70.5%","23.1%","-","-","-","-",8.8,"-",697,"29.7%","22.6%",0.37,0.15
"Lissandra","Middle",60,"17.5%","26.5%","44.0%","48%","68%",136,162,452,3.6,"69.1%","20.1%","-","-","-","-",8.3,"-",472,"21.8%","21.6%",0.46,0.3
"Lucian","ADC",51,"14.9%","41.4%","56.3%","57%","35%",235,134,260,3.7,"63.8%","21.1%","-","-","-","-",9.1,"-",634,"27.2%","25.7%",0.42,0.41
"Lulu","Support",45,"13.1%","3.5%","16.6%","49%","78%",29,96,400,4.5,"81.3%","17.9%","-","-","-","-",0.6,"-",133,"6.3%","9.2%",1.55,0.34
"Miss Fortune","ADC",5,"1.5%","0.6%","2.0%","40%","100%",17,12,30,3.9,"71.2%","16.0%","-","-","-","-",8.9,"-",633,"28.7%","25.5%",0.43,0.45
"Mordekaiser","Top",4,"1.2%","0.6%","1.7%","25%","100%",8,15,9,1.1,"60.7%","24.6%","-","-","-","-",8.4,"-",541,"26.9%","23.3%",0.4,0.13
"Nami","Support",50,"14.6%","0.0%","14.6%","58%","44%",53,122,574,5.1,"82.4%","19.8%","-","-","-","-",0.5,"-",202,"8.7%","10.6%",2.03,0.36
"Nasus","Top",2,"0.6%","0.3%","0.9%","100%","100%",11,3,7,6,"45.0%","23.1%","-","-","-","-",8.5,"-",430,"22.0%","21.9%",0.45,0.13
"Nautilus","Support",129,"37.6%","21.0%","58.6%","45%","27%",87,467,1003,2.3,"66.3%","25.6%","-","-","-","-",1.1,"-",135,"6.6%","8.5%",1.59,0.29
"Nidalee","Jungle",8,"2.3%","16.0%","18.4%","38%","75%",35,20,42,3.9,"77.8%","15.9%","-","-","-","-",6.9,"-",515,"22.9%","23.1%",0.58,0.52
"Nilah","ADC",1,"0.3%","0.6%","0.9%","100%","100%",2,4,10,3,"57.1%","26.7%","-","-","-","-",9.7,"-",503,"25.3%","23.5%",0.36,0.11
"Nocturne","Jungle",6,"1.7%","2.6%","4.4%","33%","100%",13,20,32,2.3,"67.2%","22.5%","-","-","-","-",5.4,"-",265,"13.1%","16.3%",0.88,0.44
"Olaf","Top",1,"0.3%","0.3%","0.6%","100%","100%",3,0,2,5,"33.3%","0.0%","-","-","-","-",8.2,"-",482,"19.9%","22.5%",0.46,0.41
"Orianna","Middle",10,"2.9%","1.7%","4.7%","40%","70%",30,18,52,4.6,"74.5%","15.5%","-","-","-","-",9.3,"-",507,"24.4%","24.6%",0.35,0.24
"Ornn","Middle",1,"0.3%","1.7%","9.3%","0%","0%",0,3,6,2,"85.7%","16.7%","-","-","-","-",7.6,"-",326,"15.7%","20.1%",0.3,0.09
"Ornn","Top",25,"7.3%","1.7%","9.3%","44%","64%",34,68,158,2.8,"62.7%","19.7%","-","-","-","-",7.3,"-",389,"18.9%","19.5%",0.44,0.17
"Pantheon","Jungle",7,"2.0%","1.5%","3.5%","57%","57%",18,23,41,2.6,"77.6%","24.5%","-","-","-","-",5.4,"-",316,"16.1%","17.9%",0.32,0.28
"Poppy","Jungle",58,"16.9%","29.2%","46.1%","64%","36%",111,126,429,4.3,"66.6%","20.5%","-","-","-","-",4.9,"-",247,"11.6%","15.4%",0.46,0.39
"Pyke","Support",11,"3.2%","1.2%","4.4%","73%","100%",32,31,51,2.7,"55.7%","28.4%","-","-","-","-",1.9,"-",210,"10.1%","11.3%",2.93,1.1
"Rakan","Support",40,"11.7%","8.7%","20.4%","53%","48%",21,103,331,3.4,"74.1%","22.8%","-","-","-","-",1.3,"-",150,"7.3%","8.9%",2.21,0.51
"Rek'Sai","Jungle",5,"1.5%","1.5%","2.9%","40%","100%",13,12,20,2.8,"57.9%","19.7%","-","-","-","-",5.6,"-",275,"13.5%","18.7%",0.31,0.37
"Rell","Support",4,"1.2%","0.6%","1.7%","25%","100%",2,14,32,2.4,"81.0%","26.9%","-","-","-","-",1.2,"-",138,"8.7%","9.2%",1.76,0.49
"Renata Glasc","Support",93,"27.1%","35.9%","63.0%","54%","29%",71,256,874,3.7,"76.8%","21.2%","-","-","-","-",0.9,"-",173,"8.2%","9.7%",1.68,0.38
"Renekton","Middle",4,"1.2%","2.3%","6.1%","50%","25%",12,16,20,2,"68.1%","30.2%","-","-","-","-",8.3,"-",487,"24.3%","23.1%",0.34,0.26
"Renekton","Top",9,"2.6%","2.3%","6.1%","33%","67%",17,33,51,2.1,"51.5%","21.6%","-","-","-","-",8.1,"-",482,"21.3%","21.6%",0.41,0.22
"Riven","Top",3,"0.9%","0.3%","1.2%","33%","100%",10,8,10,2.5,"60.6%","27.6%","-","-","-","-",8.8,"-",383,"18.1%","24.7%",0.28,0.18
"Rumble","Top",4,"1.2%","1.7%","2.9%","100%","75%",24,5,36,12,"70.6%","14.3%","-","-","-","-",7.8,"-",753,"31.3%","23.3%",0.43,0.11
"Ryze","Middle",19,"5.5%","5.2%","10.8%","26%","84%",51,53,89,2.6,"70.0%","17.5%","-","-","-","-",9.1,"-",512,"26.0%","25.1%",0.35,0.23
"Samira","ADC",6,"1.7%","6.4%","8.2%","83%","100%",39,7,28,9.6,"77.0%","13.2%","-","-","-","-",9,"-",483,"25.1%","27.7%",0.67,0.44
"Sejuani","Jungle",3,"0.9%","13.7%","36.4%","67%","100%",5,7,19,3.4,"72.7%","18.4%","-","-","-","-",5.6,"-",233,"11.2%","15.7%",0.61,0.35
"Sejuani","Top",75,"21.9%","13.7%","36.4%","47%","51%",124,207,449,2.8,"61.8%","21.8%","-","-","-","-",7.5,"-",407,"19.7%","20.1%",0.39,0.21
"Senna","ADC",52,"15.2%","27.7%","43.1%","50%","44%",145,114,365,4.5,"80.1%","18.6%","-","-","-","-",2.2,"-",536,"24.4%","16.4%",1.24,0.88
"Senna","Support",1,"0.3%","27.7%","43.1%","0%","0%",1,6,2,0.5,"100.0%","31.6%","-","-","-","-",2,"-",544,"25.4%","15.3%",1.59,1.21
"Seraphine","ADC",1,"0.3%","0.6%","4.7%","0%","0%",0,1,2,2,"66.7%","5.3%","-","-","-","-",8,"-",278,"13.0%","22.3%",0.37,0.06
"Seraphine","Middle",4,"1.2%","0.6%","4.7%","0%","75%",4,8,16,2.5,"83.3%","12.3%","-","-","-","-",8,"-",373,"21.9%","21.6%",0.36,0.18
"Seraphine","Support",9,"2.6%","0.6%","4.7%","56%","89%",14,26,77,3.5,"74.0%","20.5%","-","-","-","-",5.6,"-",366,"15.8%","16.7%",0.85,0.19
"Sett","Middle",2,"0.6%","2.6%","5.0%","50%","100%",4,9,11,1.7,"48.4%","28.1%","-","-","-","-",6.4,"-",372,"16.8%","18.0%",0.34,0.24
"Sett","Support",4,"1.2%","2.6%","5.0%","75%","100%",4,8,37,5.1,"63.1%","30.8%","-","-","-","-",1.6,"-",241,"11.5%","10.6%",1.34,0.45
"Sett","Top",2,"0.6%","2.6%","5.0%","100%","100%",7,3,8,5,"41.7%","30.0%","-","-","-","-",7.7,"-",412,"17.2%","22.0%",0.31,0.26
"Shen","Top",1,"0.3%","0.3%","0.6%","100%","100%",2,5,11,2.6,"81.3%","26.3%","-","-","-","-",8.9,"-",317,"13.9%","23.7%",0.27,0.12
"Shyvana","Top",7,"2.0%","3.5%","5.5%","57%","86%",18,17,35,3.1,"57.6%","16.8%","-","-","-","-",8.6,"-",530,"25.0%","22.6%",0.25,0.2
"Sion","Middle",2,"0.6%","0.6%","3.5%","50%","50%",3,3,15,6,"85.7%","15.0%","-","-","-","-",8.5,"-",236,"15.6%","21.7%",0.39,0.27
"Sion","Top",8,"2.3%","0.6%","3.5%","63%","63%",12,21,66,3.7,"62.4%","19.8%","-","-","-","-",7.2,"-",448,"19.8%","18.4%",0.38,0.1
"Sivir","ADC",39,"11.4%","10.5%","21.9%","51%","82%",110,88,210,3.6,"69.7%","18.6%","-","-","-","-",10.3,"-",609,"27.5%","27.7%",0.41,0.39
"Skarner","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",2,4,8,2.5,"66.7%","20.0%","-","-","-","-",4.6,"-",171,"9.2%","16.4%",0.45,0.42
"Swain","Middle",52,"15.2%","11.7%","27.4%","46%","58%",109,151,341,3,"76.5%","21.4%","-","-","-","-",7.6,"-",485,"24.5%","20.8%",0.37,0.25
"Swain","Top",2,"0.6%","11.7%","27.4%","0%","100%",3,4,9,3,"66.7%","10.8%","-","-","-","-",8.9,"-",649,"36.1%","25.1%",0.51,0.14
"Sylas","Middle",79,"23.0%","40.2%","64.7%","65%","32%",289,154,451,4.8,"66.5%","17.4%","-","-","-","-",8.5,"-",474,"22.1%","23.0%",0.26,0.24
"Sylas","Top",5,"1.5%","40.2%","64.7%","60%","100%",18,14,26,3.1,"51.8%","22.2%","-","-","-","-",6.9,"-",501,"21.9%","21.3%",0.46,0.19
"Tahm Kench","Support",68,"19.8%","6.1%","25.9%","44%","40%",60,199,439,2.5,"63.2%","22.9%","-","-","-","-",4.4,"-",190,"9.2%","13.8%",0.83,0.19
"Taliyah","Jungle",5,"1.5%","37.3%","63.8%","40%","0%",15,12,40,4.6,"79.7%","15.6%","-","-","-","-",6.6,"-",670,"29.5%","21.4%",0.32,0.42
"Taliyah","Middle",86,"25.1%","37.3%","63.8%","58%","29%",261,187,570,4.4,"70.6%","18.3%","-","-","-","-",8.7,"-",582,"27.7%","23.4%",0.33,0.23
"Talon","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",1,3,2,1,"50.0%","11.5%","-","-","-","-",5,"-",392,"16.5%","19.1%",0.5,0.08
"Taric","Support",1,"0.3%","0.0%","0.3%","0%","100%",1,3,0,0.3,"100.0%","18.8%","-","-","-","-",1.4,"-",59,"7.9%","10.0%",1.46,0.11
"Thresh","Support",8,"2.3%","1.2%","3.5%","25%","50%",3,30,62,2.2,"74.7%","26.1%","-","-","-","-",1.2,"-",116,"6.0%","8.2%",1.53,0.34
"Tristana","ADC",6,"1.7%","0.6%","2.3%","50%","100%",25,21,20,2.1,"59.2%","25.6%","-","-","-","-",9.4,"-",458,"24.9%","27.8%",0.83,0.58
"Trundle","Jungle",50,"14.6%","9.9%","24.8%","44%","90%",103,145,327,3,"74.8%","21.7%","-","-","-","-",4.5,"-",235,"11.6%","15.9%",0.38,0.47
"Trundle","Support",1,"0.3%","9.9%","24.8%","100%","100%",2,2,18,10,"80.0%","20.0%","-","-","-","-",1.4,"-",108,"4.7%","11.6%",2.27,0.54
"Tryndamere","Top",2,"0.6%","0.0%","0.6%","0%","100%",3,2,5,4,"61.5%","5.6%","-","-","-","-",9.4,"-",379,"20.7%","26.4%",0.41,0.27
"Twisted Fate","Middle",19,"5.5%","10.5%","16.0%","42%","58%",38,43,126,3.8,"65.1%","18.7%","-","-","-","-",7.6,"-",418,"19.4%","22.5%",0.29,0.26
"Twitch","ADC",10,"2.9%","0.6%","3.5%","10%","100%",36,46,32,1.5,"69.4%","25.6%","-","-","-","-",8.7,"-",573,"26.8%","25.8%",0.34,0.35
"Varus","ADC",1,"0.3%","0.0%","0.3%","0%","100%",3,5,2,1,"62.5%","22.7%","-","-","-","-",9.9,"-",410,"23.3%","33.8%",0.8,0.27
"Veigar","Middle",1,"0.3%","0.0%","0.3%","0%","0%",2,3,0,0.7,"40.0%","33.3%","-","-","-","-",9,"-",287,"16.1%","22.4%",0.53,0.08
"Vex","Middle",7,"2.0%","1.5%","3.5%","0%","86%",20,35,27,1.3,"72.3%","22.9%","-","-","-","-",7.4,"-",524,"29.0%","22.3%",0.66,0.32
"Vi","Jungle",40,"11.7%","7.9%","19.5%","55%","68%",105,132,305,3.1,"70.7%","25.5%","-","-","-","-",5.1,"-",282,"12.3%","16.8%",0.37,0.38
"Viego","Jungle",189,"55.1%","17.8%","72.9%","47%","39%",609,445,971,3.6,"66.4%","18.9%","-","-","-","-",5.6,"-",286,"13.6%","17.9%",0.37,0.44
"Viktor","Middle",23,"6.7%","0.0%","6.7%","43%","83%",52,56,118,3,"66.7%","18.6%","-","-","-","-",9,"-",715,"34.3%","24.4%",0.39,0.2
"Vladimir","Top",7,"2.0%","5.5%","7.6%","57%","57%",24,13,35,4.5,"72.0%","16.9%","-","-","-","-",8.4,"-",527,"25.7%","23.6%",0.34,0.18
"Volibear","Jungle",8,"2.3%","0.9%","3.2%","50%","100%",18,26,62,3.1,"73.4%","23.4%","-","-","-","-",4.9,"-",302,"14.0%","15.6%",0.38,0.41
"Wukong","Jungle",121,"35.3%","50.4%","85.7%","60%","12%",358,303,804,3.8,"70.9%","20.5%","-","-","-","-",5.2,"-",325,"15.1%","17.6%",0.34,0.45
"Xayah","ADC",15,"4.4%","0.9%","5.2%","53%","53%",47,23,68,5,"64.6%","13.4%","-","-","-","-",10,"-",529,"26.2%","26.1%",0.41,0.37
"Xin Zhao","Jungle",62,"18.1%","6.4%","24.5%","47%","73%",154,201,411,2.8,"70.2%","22.2%","-","-","-","-",5.6,"-",350,"16.1%","17.8%",0.33,0.37
"Yasuo","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yone","Middle",4,"1.2%","2.3%","3.8%","25%","100%",11,13,23,2.6,"65.4%","19.1%","-","-","-","-",8.1,"-",435,"19.4%","22.6%",0.26,0.22
"Yone","Top",1,"0.3%","2.3%","3.8%","100%","100%",9,1,10,19,"90.5%","8.3%","-","-","-","-",8.4,"-",464,"18.5%","29.0%",0.07,0.25
"Yuumi","Support",44,"12.8%","10.8%","23.6%","45%","23%",30,87,420,5.2,"82.1%","14.5%","-","-","-","-",0.2,"-",283,"12.5%","9.2%",1.34,0.12
"Zed","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",0,4,2,0.5,"22.2%","19.0%","-","-","-","-",5.9,"-",218,"10.4%","14.8%",0.19,0.3
"Zeri","ADC",71,"20.7%","58.9%","79.6%","65%","8%",354,119,429,6.6,"75.0%","14.9%","-","-","-","-",10,"-",726,"32.3%","28.5%",0.55,0.56
"Zoe","Middle",12,"3.5%","1.5%","5.0%","58%","75%",34,25,61,3.8,"69.9%","18.4%","-","-","-","-",7.4,"-",576,"26.5%","20.2%",0.5,0.27
