"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",15,"4.4%","0.0%","4.4%","27%","87%",30,51,57,1.7,"51.5%","21.6%","-","-","-","-",8.5,"-",436,"21.1%","22.7%",0.37,0.15
"Ahri","Middle",107,"31.2%","38.2%","69.4%","62%","29%",390,171,726,6.5,"70.5%","13.8%","-","-","-","-",8.6,"-",535,"24.3%","22.8%",0.55,0.34
"Akali","Middle",21,"6.1%","3.8%","10.8%","38%","95%",81,52,93,3.3,"68.2%","16.1%","-","-","-","-",7.7,"-",538,"25.1%","23.0%",0.28,0.21
"Akali","Top",3,"0.9%","3.8%","10.8%","33%","100%",6,10,14,2,"54.1%","24.4%","-","-","-","-",7.8,"-",421,"24.6%","21.1%",0.28,0.12
"Alistar","Support",27,"7.9%","5.5%","13.4%","41%","70%",18,109,192,1.9,"65.6%","27.7%","-","-","-","-",1.1,"-",129,"6.3%","8.5%",1.66,0.32
"Amumu","Support",30,"8.7%","5.2%","14.0%","40%","67%",27,128,256,2.2,"71.3%","27.6%","-","-","-","-",1.1,"-",178,"9.1%","8.9%",1.65,0.24
"Anivia","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,3,3,1,"75.0%","25.0%","-","-","-","-",6.8,"-",585,"39.4%","18.6%",0.45,0
"Aphelios","ADC",162,"47.2%","6.7%","53.9%","48%","38%",641,405,776,3.5,"69.0%","18.7%","-","-","-","-",9.4,"-",568,"27.1%","27.0%",0.43,0.39
"Ashe","ADC",1,"0.3%","0.6%","2.3%","0%","100%",2,3,3,1.7,"71.4%","20.0%","-","-","-","-",8.6,"-",455,"20.8%","24.1%",0.51,0.42
"Ashe","Support",5,"1.5%","0.6%","2.3%","60%","100%",6,12,52,4.8,"73.4%","19.4%","-","-","-","-",0.7,"-",356,"15.7%","10.3%",2.19,0.4
"Azir","Middle",67,"19.5%","26.8%","46.6%","42%","52%",198,165,320,3.1,"68.3%","17.9%","-","-","-","-",9.1,"-",708,"32.3%","25.1%",0.44,0.27
"Azir","Top",1,"0.3%","26.8%","46.6%","0%","100%",1,4,1,0.5,"66.7%","20.0%","-","-","-","-",9.3,"-",798,"35.5%","25.0%",0.46,0.15
"Bard","Support",6,"1.7%","0.9%","2.6%","50%","83%",5,10,55,6,"75.0%","17.2%","-","-","-","-",1.5,"-",213,"9.0%","9.0%",2.33,0.56
"Bel'Veth","Jungle",3,"0.9%","2.6%","3.5%","67%","100%",13,8,16,3.6,"63.0%","19.0%","-","-","-","-",6.8,"-",321,"12.9%","20.0%",0.26,0.49
"Blitzcrank","Support",5,"1.5%","0.6%","2.0%","80%","100%",3,13,54,4.4,"73.1%","23.2%","-","-","-","-",1.2,"-",177,"7.5%","9.3%",1.54,0.38
"Brand","Middle",1,"0.3%","0.0%","0.3%","100%","100%",3,2,7,5,"90.9%","28.6%","-","-","-","-",8.8,"-",812,"31.2%","23.4%",0.43,0.15
"Braum","Support",54,"15.7%","5.8%","21.6%","52%","81%",19,140,488,3.6,"76.0%","22.2%","-","-","-","-",1.1,"-",145,"7.3%","8.7%",1.61,0.29
"Camille","Top",21,"6.1%","1.2%","7.3%","38%","71%",47,65,80,2,"52.0%","22.0%","-","-","-","-",7.9,"-",399,"20.3%","22.4%",0.37,0.2
"Corki","Middle",43,"12.5%","16.3%","28.9%","42%","42%",88,92,219,3.3,"70.1%","16.0%","-","-","-","-",9.6,"-",686,"33.5%","26.9%",0.47,0.25
"Darius","-",0,"0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Jungle",9,"2.6%","4.7%","7.3%","67%","89%",31,20,58,4.5,"73.0%","19.6%","-","-","-","-",6.9,"-",410,"20.1%","20.8%",0.29,0.25
"Draven","ADC",27,"7.9%","18.4%","26.2%","41%","78%",96,67,127,3.3,"70.3%","17.9%","-","-","-","-",9,"-",519,"25.5%","28.7%",0.48,0.36
"Elise","Jungle",1,"0.3%","0.0%","0.3%","100%","100%",2,2,7,4.5,"47.4%","25.0%","-","-","-","-",5.3,"-",257,"11.9%","16.0%",1.18,0.48
"Ezreal","ADC",62,"18.1%","5.0%","23.0%","50%","56%",203,128,265,3.7,"62.7%","16.8%","-","-","-","-",9.5,"-",738,"32.9%","26.6%",0.42,0.31
"Fiora","Top",28,"8.2%","27.7%","35.9%","57%","43%",98,71,99,2.8,"54.4%","19.2%","-","-","-","-",8.3,"-",532,"24.8%","24.6%",0.33,0.2
"Galio","Middle",25,"7.3%","11.7%","19.0%","52%","60%",54,54,197,4.6,"73.8%","16.5%","-","-","-","-",7.4,"-",443,"21.2%","19.9%",0.41,0.24
"Gangplank","Top",71,"20.7%","32.7%","53.4%","54%","44%",211,186,413,3.4,"65.8%","21.3%","-","-","-","-",8.9,"-",667,"29.9%","26.9%",0.4,0.12
"Gnar","Top",133,"38.8%","24.2%","63.0%","52%","25%",326,349,623,2.7,"54.9%","21.1%","-","-","-","-",8.5,"-",545,"25.1%","23.5%",0.39,0.21
"Gragas","Middle",3,"0.9%","2.9%","12.8%","33%","67%",5,7,17,3.1,"57.9%","19.4%","-","-","-","-",7.8,"-",473,"24.4%","21.0%",0.39,0.16
"Gragas","Support",1,"0.3%","2.9%","12.8%","100%","100%",2,0,12,14,"70.0%","0.0%","-","-","-","-",1.4,"-",356,"13.6%","10.5%",1.5,0.35
"Gragas","Top",30,"8.7%","2.9%","12.8%","53%","60%",76,76,191,3.5,"58.3%","19.2%","-","-","-","-",7.7,"-",558,"24.6%","21.4%",0.33,0.16
"Graves","Jungle",12,"3.5%","3.5%","7.3%","42%","83%",34,34,64,2.9,"62.8%","21.5%","-","-","-","-",7.4,"-",404,"19.6%","21.6%",0.86,0.8
"Graves","Top",1,"0.3%","3.5%","7.3%","0%","100%",3,6,3,1,"40.0%","24.0%","-","-","-","-",9.3,"-",677,"34.7%","25.9%",0.26,0.43
"Gwen","Top",96,"28.0%","40.5%","68.5%","48%","24%",252,285,376,2.2,"53.5%","22.5%","-","-","-","-",8.5,"-",505,"25.7%","23.4%",0.33,0.21
"Hecarim","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",1,4,5,1.5,"66.7%","20.0%","-","-","-","-",5.1,"-",200,"11.7%","13.7%",0.37,0.18
"Irelia","Top",5,"1.5%","2.3%","3.8%","60%","100%",18,13,22,3.1,"52.6%","21.7%","-","-","-","-",9.4,"-",480,"21.4%","24.7%",0.32,0.17
"Jarvan IV","Jungle",1,"0.3%","0.0%","0.3%","100%","100%",0,2,16,8,"76.2%","50.0%","-","-","-","-",6.1,"-",217,"9.7%","15.5%",0.32,0.09
"Jax","Top",48,"14.0%","21.3%","35.3%","56%","58%",118,118,216,2.8,"53.7%","19.9%","-","-","-","-",8.5,"-",417,"20.1%","23.2%",0.42,0.16
"Jayce","Top",10,"2.9%","2.0%","5.0%","60%","100%",25,16,40,4.1,"53.7%","17.4%","-","-","-","-",9.2,"-",712,"31.9%","24.9%",0.43,0.18
"Jhin","ADC",1,"0.3%","0.0%","0.3%","100%","100%",4,1,6,10,"58.8%","25.0%","-","-","-","-",9.8,"-",761,"25.7%","23.9%",0.47,0.17
"Jinx","ADC",68,"19.8%","2.6%","22.4%","41%","91%",230,156,320,3.5,"72.9%","17.2%","-","-","-","-",9.9,"-",598,"30.2%","28.0%",0.37,0.45
"Kai'Sa","ADC",12,"3.5%","2.3%","5.8%","58%","100%",55,20,65,6,"67.4%","14.1%","-","-","-","-",10,"-",502,"24.6%","27.4%",0.66,0.52
"Kalista","ADC",89,"25.9%","58.9%","84.8%","48%","30%",416,212,438,4,"71.3%","17.2%","-","-","-","-",9.4,"-",472,"22.4%","27.4%",0.39,0.45
"Karma","Support",12,"3.5%","3.8%","7.3%","50%","67%",9,32,95,3.3,"74.8%","20.8%","-","-","-","-",0.8,"-",232,"10.9%","9.4%",1.51,0.49
"Kayle","Top",37,"10.8%","12.5%","23.3%","46%","73%",114,118,171,2.4,"64.8%","24.1%","-","-","-","-",9.2,"-",544,"26.6%","25.6%",0.42,0.22
"Kennen","Top",25,"7.3%","5.2%","12.5%","48%","72%",71,73,113,2.5,"61.1%","23.8%","-","-","-","-",8.1,"-",651,"30.2%","24.2%",0.36,0.17
"Kha'Zix","Jungle",2,"0.6%","0.0%","0.6%","50%","100%",4,5,18,4.4,"75.9%","17.9%","-","-","-","-",6,"-",431,"15.7%","19.4%",0.65,0.39
"Kindred","Jungle",2,"0.6%","4.7%","5.2%","50%","100%",8,6,10,3,"66.7%","28.6%","-","-","-","-",7,"-",482,"23.8%","22.5%",0.36,0.47
"Kled","Middle",1,"0.3%","0.6%","0.9%","100%","100%",4,2,10,7,"87.5%","15.4%","-","-","-","-",8.1,"-",452,"20.0%","22.2%",0.55,0.16
"Kog'Maw","ADC",6,"1.7%","0.6%","2.3%","67%","100%",18,18,33,2.8,"66.2%","27.7%","-","-","-","-",9.2,"-",724,"34.5%","25.7%",0.53,0.47
"LeBlanc","Middle",33,"9.6%","22.2%","31.8%","42%","61%",95,69,160,3.7,"59.6%","15.5%","-","-","-","-",7.8,"-",557,"25.0%","22.1%",0.56,0.34
"Lee Sin","Jungle",89,"25.9%","15.7%","41.7%","42%","61%",226,242,522,3.1,"72.3%","20.0%","-","-","-","-",5.4,"-",263,"12.7%","17.6%",0.58,0.33
"Leona","Support",38,"11.1%","3.5%","14.6%","66%","74%",35,100,320,3.6,"64.8%","24.2%","-","-","-","-",1.2,"-",111,"5.2%","9.0%",1.66,0.41
"Lillia","Jungle",1,"0.3%","0.0%","1.2%","0%","100%",3,5,2,1,"71.4%","27.8%","-","-","-","-",6.4,"-",701,"33.8%","18.7%",0.24,0.24
