"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jayce","Middle",18,"7.7%","19.3%","27.9%","61%","46%",75,38,97,4.5,"76.4%","17.4%","-","-","-","-","-","-",603,"31.2%","24.6%",0.42,0.26
"Jayce","Top",2,"0.9%","19.3%","27.9%","0%","100%",4,11,14,1.6,"69.2%","22.0%","-","-","-","-","-","-",533,"24.9%","21.7%",0.59,0.17
"Jhin","ADC",24,"10.3%","4.3%","14.6%","38%","95%",76,49,109,3.8,"70.9%","16.1%","-","-","-","-",7.7,"-",519,"25.0%","23.7%",0.38,0.22
"Jinx","ADC",1,"0.4%","0.0%","0.4%","0%","100%",0,0,0,0,"-","0.0%","-","-","-","-","-","-",279,"28.0%","23.8%",0.41,0.2
"Kalista","ADC",85,"36.5%","31.8%","68.2%","49%","22%",363,224,419,3.5,"71.6%","20.2%","-","-","-","-","-","-",492,"25.1%","24.9%",0.37,0.28
"Karma","Middle",15,"6.4%","22.3%","32.2%","40%","50%",18,32,97,3.6,"79.3%","17.0%","-","-","-","-",7.5,"-",445,"24.2%","22.0%",0.37,0.23
"Karma","Support",8,"3.4%","22.3%","32.2%","38%","33%",7,19,62,3.6,"78.4%","18.3%","-","-","-","-",0.9,"-",170,"9.2%","12.2%",1.59,0.52
"Kassadin","Middle",44,"18.9%","38.2%","57.1%","55%","48%",194,85,219,4.9,"73.4%","18.0%","-","-","-","-",8.8,"-",563,"30.4%","23.5%",0.44,0.18
"Kayn","Jungle",11,"4.7%","4.7%","9.4%","45%","70%",32,36,60,2.6,"67.2%","23.8%","-","-","-","-","-","-",288,"13.1%","18.1%",0.99,0.38
"Kennen","ADC",2,"0.9%","15.5%","23.6%","50%","100%",7,8,5,1.5,"60.0%","19.5%","-","-","-","-","-","-",654,"31.7%","25.7%",0.43,0.35
"Kennen","Support",5,"2.1%","15.5%","23.6%","40%","75%",8,14,24,2.3,"72.7%","20.3%","-","-","-","-","-","-",392,"20.6%","12.8%",1.3,0.47
