"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",45,"17.0%","18.2%","35.2%","64%","-",288,115,334,5.4,"71.6%","16.5%","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",2,"0.8%","0.0%","0.8%","0%","-",0,9,10,1.1,"55.6%","18.0%","-","-","-","-","-","-","-","-","-","-","-"
"Anivia","Middle",6,"2.3%","0.0%","2.3%","33%","-",29,19,33,3.3,"71.3%","17.0%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Middle",1,"0.4%","11.4%","33.3%","0%","-",1,6,5,1,"75.0%","35.3%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",55,"20.8%","11.4%","33.3%","55%","-",80,233,507,2.5,"64.2%","25.5%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Top",2,"0.8%","11.4%","33.3%","0%","-",3,7,9,1.7,"66.7%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",1,"0.4%","0.0%","0.4%","100%","-",4,5,7,2.2,"42.3%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",61,"23.1%","31.1%","54.2%","43%","-",205,209,356,2.7,"66.9%","19.6%","-","-","-","-","-","-","-","-","-","-","-"
"Bard","Support",3,"1.1%","0.0%","1.1%","67%","-",5,17,55,3.5,"64.5%","18.1%","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",3,"1.1%","0.4%","1.5%","33%","-",6,17,27,1.9,"50.0%","22.4%","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",18,"6.8%","0.0%","6.8%","6%","-",6,75,127,1.8,"70.7%","21.2%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",12,"4.5%","1.1%","5.7%","50%","-",49,38,71,3.2,"65.6%","19.7%","-","-","-","-","-","-","-","-","-","-","-"
