"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Cassiopeia","Middle",10,"3.8%","0.0%","3.8%","60%","-",33,28,59,3.3,"64.8%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Middle",14,"5.3%","8.3%","13.6%","57%","-",49,40,108,3.9,"62.1%","20.3%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",102,"38.6%","6.8%","46.2%","47%","-",484,271,592,4,"67.9%","16.8%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","Middle",2,"0.8%","6.8%","46.2%","50%","-",4,7,13,2.4,"63.0%","25.9%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Middle",7,"2.7%","3.0%","6.1%","14%","-",34,30,22,1.9,"68.3%","18.5%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Top",1,"0.4%","3.0%","6.1%","100%","-",2,2,9,5.5,"64.7%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Top",10,"3.8%","0.0%","3.8%","40%","-",9,28,77,3.1,"61.9%","17.3%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",11,"4.2%","3.4%","7.6%","55%","-",56,32,57,3.5,"74.8%","20.1%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",4,"1.5%","0.0%","1.5%","50%","-",10,15,40,3.3,"67.6%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",2,"0.8%","0.0%","0.8%","100%","-",12,11,25,3.4,"50.7%","18.3%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",20,"7.6%","0.4%","14.4%","50%","-",102,61,128,3.8,"75.4%","19.4%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",17,"6.4%","0.4%","14.4%","29%","-",81,43,76,3.7,"72.4%","14.8%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Jungle",1,"0.4%","0.0%","1.1%","0%","-",1,4,11,3,"54.5%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",2,"0.8%","0.0%","1.1%","50%","-",2,9,16,2,"58.1%","29.0%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Jungle",2,"0.8%","3.4%","12.1%","100%","-",12,4,17,7.3,"74.4%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",19,"7.2%","3.4%","12.1%","63%","-",103,66,95,3,"59.3%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Top",2,"0.8%","3.4%","12.1%","100%","-",14,5,12,5.2,"65.0%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Top",1,"0.4%","0.0%","0.4%","100%","-",6,8,14,2.5,"76.9%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Garen","Top",1,"0.4%","0.0%","0.4%","0%","-",2,5,1,0.6,"42.9%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gnar","Top",92,"34.8%","31.4%","66.3%","55%","-",264,241,733,4.1,"64.6%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Jungle",14,"5.3%","0.4%","5.7%","64%","-",30,37,141,4.6,"70.7%","16.6%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",57,"21.6%","0.0%","21.6%","49%","-",265,165,362,3.8,"67.4%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Jungle",6,"2.3%","8.7%","31.1%","33%","-",22,22,42,2.9,"69.6%","20.4%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Top",53,"20.1%","8.7%","31.1%","43%","-",190,189,327,2.7,"62.9%","20.1%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Middle",1,"0.4%","7.2%","29.9%","100%","-",5,4,14,4.8,"63.3%","26.7%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Support",3,"1.1%","7.2%","29.9%","33%","-",5,16,34,2.4,"63.9%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",56,"21.2%","7.2%","29.9%","48%","-",214,165,343,3.4,"62.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",127,"48.1%","36.4%","84.5%","57%","-",58,317,1465,4.8,"76.5%","16.9%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",113,"42.8%","14.8%","62.9%","47%","-",233,401,1179,3.5,"77.3%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Top",14,"5.3%","14.8%","62.9%","36%","-",40,53,114,2.9,"74.8%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",3,"1.1%","0.0%","1.1%","0%","-",8,15,10,1.2,"60.0%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",9,"3.4%","0.0%","3.4%","44%","-",39,39,64,2.6,"72.0%","26.2%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",27,"10.2%","0.4%","10.6%","59%","-",136,83,148,3.4,"72.8%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Kalista","ADC",78,"29.5%","13.3%","42.8%","49%","-",431,259,467,3.5,"69.3%","20.2%","-","-","-","-","-","-","-","-","-","-","-"
"Karma","Middle",1,"0.4%","0.4%","0.8%","100%","-",5,1,18,23,"82.1%","7.7%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Middle",5,"1.9%","1.5%","3.8%","100%","-",43,21,51,4.5,"75.8%","25.9%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Top",1,"0.4%","1.5%","3.8%","100%","-",11,10,8,1.9,"38.0%","27.8%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",34,"12.9%","38.3%","58.3%","53%","-",202,94,241,4.7,"71.0%","17.2%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Top",19,"7.2%","38.3%","58.3%","58%","-",90,49,133,4.6,"68.0%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Katarina","Middle",1,"0.4%","0.0%","0.4%","100%","-",3,1,11,14,"53.8%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Jungle",2,"0.8%","0.0%","0.8%","50%","-",1,7,12,1.9,"72.2%","21.2%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Support",6,"2.3%","1.1%","7.2%","17%","-",14,35,66,2.3,"68.4%","23.6%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",10,"3.8%","1.1%","7.2%","40%","-",20,40,65,2.1,"54.8%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Jungle",6,"2.3%","0.0%","2.3%","17%","-",13,26,23,1.4,"65.5%","21.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",24,"9.1%","2.3%","11.7%","54%","-",167,96,140,3.2,"76.4%","23.6%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","Middle",1,"0.4%","2.3%","11.7%","0%","-",7,6,5,2,"66.7%","20.7%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Middle",59,"22.3%","40.2%","62.9%","41%","-",338,193,287,3.2,"66.6%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"LeBlanc","Support",1,"0.4%","40.2%","62.9%","0%","-",0,1,1,1,"33.3%","7.1%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",110,"41.7%","7.6%","49.2%","42%","-",296,384,880,3.1,"69.3%","20.1%","-","-","-","-","-","-","-","-","-","-","-"
"Leona","Support",43,"16.3%","0.4%","16.7%","49%","-",52,170,437,2.9,"64.1%","22.5%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Middle",27,"10.2%","50.0%","66.3%","41%","-",112,91,173,3.1,"64.3%","21.6%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Top",16,"6.1%","50.0%","66.3%","31%","-",53,70,103,2.2,"60.0%","23.7%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",36,"13.6%","0.0%","14.0%","64%","-",190,110,248,4,"66.2%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","Middle",1,"0.4%","0.0%","14.0%","100%","-",2,0,6,8,"61.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Middle",27,"10.2%","14.8%","31.4%","44%","-",84,88,211,3.4,"70.7%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",4,"1.5%","14.8%","31.4%","25%","-",0,15,31,2.1,"67.4%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Top",13,"4.9%","14.8%","31.4%","62%","-",27,30,112,4.6,"67.1%","19.9%","-","-","-","-","-","-","-","-","-","-","-"
"Lux","Middle",3,"1.1%","0.0%","1.1%","67%","-",15,12,25,3.3,"62.5%","32.4%","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Support",3,"1.1%","11.4%","54.9%","100%","-",5,12,43,4,"70.6%","35.3%","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Top",112,"42.4%","11.4%","54.9%","47%","-",261,378,1084,3.6,"71.0%","19.9%","-","-","-","-","-","-","-","-","-","-","-"
"Miss Fortune","ADC",1,"0.4%","0.0%","0.4%","0%","-",0,7,1,0.1,"20.0%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Middle",2,"0.8%","0.8%","26.1%","50%","-",10,10,26,3.6,"70.6%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Support",56,"21.2%","0.8%","26.1%","50%","-",48,210,655,3.3,"73.5%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Morgana","Top",9,"3.4%","0.8%","26.1%","67%","-",27,26,72,3.8,"74.4%","17.4%","-","-","-","-","-","-","-","-","-","-","-"
"Nami","Support",47,"17.8%","0.0%","17.8%","40%","-",27,145,472,3.4,"73.1%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Support",15,"5.7%","4.2%","9.8%","47%","-",19,57,172,3.4,"67.3%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Jungle",33,"12.5%","22.0%","35.6%","55%","-",121,100,209,3.3,"67.5%","20.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",3,"1.1%","22.0%","35.6%","67%","-",24,6,17,6.8,"74.5%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",2,"0.8%","0.0%","0.8%","0%","-",4,10,8,1.2,"70.6%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Jungle",47,"17.8%","5.7%","23.9%","68%","-",76,100,488,5.6,"75.2%","18.1%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Support",1,"0.4%","5.7%","23.9%","0%","-",0,6,12,2,"80.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Olaf","Jungle",1,"0.4%","0.0%","0.4%","100%","-",2,8,5,0.9,"43.8%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",8,"3.0%","0.0%","3.0%","63%","-",33,19,74,5.6,"70.9%","17.3%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Jungle",3,"1.1%","0.0%","1.1%","33%","-",10,17,17,1.6,"56.3%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rek'Sai","Jungle",75,"28.4%","56.4%","85.6%","63%","-",243,217,693,4.3,"69.4%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Rek'Sai","Top",2,"0.8%","56.4%","85.6%","50%","-",2,7,8,1.4,"55.6%","43.8%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",51,"19.3%","10.6%","30.3%","43%","-",123,208,448,2.7,"64.6%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Top",1,"0.4%","10.6%","30.3%","0%","-",2,4,16,4.5,"85.7%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Jungle",3,"1.1%","0.0%","2.7%","0%","-",10,16,10,1.3,"62.5%","24.2%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Middle",2,"0.8%","0.0%","2.7%","50%","-",4,11,10,1.3,"53.8%","22.4%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Top",2,"0.8%","0.0%","2.7%","50%","-",12,7,8,2.9,"66.7%","23.3%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",70,"26.5%","20.8%","47.3%","56%","-",228,241,489,3,"61.9%","22.5%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",3,"1.1%","2.7%","4.2%","33%","-",13,12,11,2,"50.0%","26.1%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Top",1,"0.4%","2.7%","4.2%","0%","-",1,3,0,0.3,"16.7%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Sejuani","Jungle",19,"7.2%","9.1%","16.3%","53%","-",67,47,182,5.3,"80.8%","16.4%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",2,"0.8%","0.0%","0.8%","100%","-",3,4,16,4.8,"61.3%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Top",7,"2.7%","0.0%","2.7%","43%","-",23,22,25,2.2,"50.5%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Singed","Top",3,"1.1%","0.0%","1.1%","67%","-",7,6,34,6.8,"61.2%","13.0%","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",19,"7.2%","3.0%","10.2%","53%","-",45,56,139,3.3,"63.7%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Sivir","ADC",81,"30.7%","6.4%","37.1%","49%","-",398,261,605,3.8,"75.9%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Sona","Support",4,"1.5%","0.0%","1.5%","50%","-",9,6,45,9,"84.4%","15.0%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",15,"5.7%","1.9%","7.6%","33%","-",63,48,80,3,"69.8%","17.6%","-","-","-","-","-","-","-","-","-","-","-"
"Talon","Middle",1,"0.4%","0.0%","0.4%","0%","-",9,12,9,1.5,"50.0%","24.0%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",125,"47.3%","20.8%","68.2%","55%","-",140,449,1312,3.2,"70.0%","23.0%","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","ADC",37,"14.0%","2.3%","16.3%","46%","-",215,111,164,3.4,"65.1%","17.8%","-","-","-","-","-","-","-","-","-","-","-"
"Trundle","Top",4,"1.5%","0.0%","1.5%","75%","-",9,14,35,3.1,"67.7%","22.6%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",14,"5.3%","1.9%","7.2%","71%","-",41,36,106,4.1,"65.3%","24.2%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",12,"4.5%","0.0%","4.5%","33%","-",74,50,73,2.9,"72.1%","22.1%","-","-","-","-","-","-","-","-","-","-","-"
"Udyr","Jungle",2,"0.8%","0.8%","1.5%","50%","-",3,4,30,8.3,"73.3%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Urgot","ADC",11,"4.2%","8.0%","12.1%","45%","-",65,44,88,3.5,"65.9%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",18,"6.8%","0.0%","6.8%","50%","-",93,69,103,2.8,"61.6%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Veigar","Middle",2,"0.8%","14.0%","17.0%","100%","-",12,4,12,6,"60.0%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Veigar","Support",6,"2.3%","14.0%","17.0%","50%","-",6,19,71,4.1,"74.8%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Vel'Koz","Support",1,"0.4%","0.0%","0.4%","0%","-",0,3,4,1.3,"66.7%","17.6%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",30,"11.4%","2.7%","14.0%","40%","-",69,112,225,2.6,"61.3%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",26,"9.8%","5.7%","15.5%","58%","-",114,90,169,3.1,"69.7%","22.4%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Middle",13,"4.9%","2.3%","7.6%","46%","-",54,39,72,3.2,"69.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Top",1,"0.4%","2.3%","7.6%","0%","-",0,3,3,1,"37.5%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Volibear","Jungle",1,"0.4%","0.0%","0.4%","100%","-",2,7,8,1.4,"50.0%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","Middle",63,"23.9%","18.9%","42.8%","56%","-",263,169,412,4,"66.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Yasuo","Middle",6,"2.3%","1.1%","3.4%","50%","-",26,32,44,2.2,"65.4%","30.2%","-","-","-","-","-","-","-","-","-","-","-"
"Yorick","Top",1,"0.4%","0.0%","0.4%","100%","-",4,3,14,6,"60.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Jungle",1,"0.4%","0.0%","0.4%","100%","-",2,1,12,14,"87.5%","10.0%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",19,"7.2%","4.9%","12.1%","42%","-",89,92,91,2,"57.5%","24.7%","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Support",3,"1.1%","0.0%","1.1%","67%","-",4,6,29,5.5,"71.7%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
