"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",5,"1.5%","78.0%","90.2%","100%","20%",18,2,34,26,"70.3%","5.6%","0%",119,527,5.6,10,"30.9%",466,"28.4%","26.1%",0.39,0.24
"Aatrox","Top",35,"10.7%","78.0%","90.2%","54%","20%",80,89,112,2.2,"48.9%","22.0%","6%",-33,-41,1.6,9.2,"28.5%",365,"23.7%","24.4%",0.45,0.13
"Ahri","ADC",5,"1.5%","1.8%","3.4%","40%","80%",17,19,27,2.3,"77.2%","33.9%","60%",-304,40,-10.6,8.1,"24.5%",460,"29.5%","22.0%",0.35,0.23
"Akali","Middle",5,"1.5%","13.1%","15.5%","40%","0%",32,13,14,3.5,"66.7%","20.0%","20%",348,88,2,9.1,"25.6%",503,"26.2%","25.0%",0.49,0.16
"Akali","Top",3,"0.9%","13.1%","15.5%","33%","33%",15,9,5,2.2,"51.3%","25.7%","0%",174,308,6,7.9,"21.6%",489,"25.0%","22.9%",0.34,0.1
"Alistar","Support",121,"36.9%","20.4%","57.3%","43%","52%",93,367,898,2.7,"70.5%","24.3%","28%",-59,-124,2.4,1.8,"5.9%",128,"7.7%","9.7%",1.44,0.29
"Ashe","ADC",46,"14.0%","6.4%","20.4%","48%","70%",124,114,235,3.1,"66.5%","20.4%","24%",11,-18,5,10,"30.3%",556,"31.1%","25.8%",0.33,0.39
"Aurelion Sol","Middle",4,"1.2%","0.9%","2.1%","50%","100%",12,4,14,6.5,"72.2%","12.1%","75%",326,394,6.5,8.7,"24.9%",353,"26.4%","22.9%",0.42,0.22
"Azir","Middle",11,"3.4%","2.1%","5.5%","55%","64%",35,26,36,2.7,"60.2%","17.0%","9%",-240,-24,-1.7,9.2,"28.2%",425,"23.2%","26.0%",0.49,0.29
"Braum","ADC",1,"0.3%","8.2%","26.5%","100%","100%",1,1,12,13,"76.5%","12.5%","0%",-1775,-250,-67,1.7,"7.0%",181,"11.5%","12.9%",1.55,0.11
"Braum","Jungle",4,"1.2%","8.2%","26.5%","25%","100%",0,12,23,1.9,"71.9%","22.6%","0%",-1640,-1002,-45.3,2.1,"5.7%",109,"7.6%","9.6%",1.1,0.38
"Braum","Middle",3,"0.9%","8.2%","26.5%","100%","67%",1,6,27,4.7,"90.3%","30.0%","0%",-1073,-1044,-61.3,2.7,"8.8%",133,"10.7%","11.6%",1.04,0.25
"Braum","Support",52,"15.9%","8.2%","26.5%","48%","83%",21,113,427,4,"71.7%","19.2%","15%",-14,45,1.6,2.1,"6.7%",146,"8.4%","10.1%",1.42,0.24
"Caitlyn","ADC",1,"0.3%","0.6%","0.9%","0%","100%",1,3,1,0.7,"100.0%","17.6%","0%",-523,-668,-3,9.5,"29.4%",301,"24.0%","26.9%",0.33,0.29
"Camille","Jungle",77,"23.5%","49.4%","80.5%","53%","36%",191,230,411,2.6,"61.4%","25.3%","39%",-115,-330,-6.5,5.1,"14.5%",201,"11.5%","17.1%",0.39,0.46
"Camille","Top",25,"7.6%","49.4%","80.5%","52%","28%",87,66,95,2.8,"59.5%","20.7%","12%",-30,98,4.2,9.2,"27.9%",448,"24.2%","24.8%",0.43,0.19
"Cassiopeia","Middle",15,"4.6%","2.4%","7.3%","60%","87%",58,28,64,4.4,"71.8%","21.1%","33%",106,69,8,8.7,"26.3%",424,"26.9%","24.4%",0.49,0.17
"Cassiopeia","Top",1,"0.3%","2.4%","7.3%","0%","100%",4,2,1,2.5,"100.0%","18.2%","100%",388,-46,-1,11.8,"38.4%",368,"33.5%","-",0.46,0.12
"Cho'Gath","Top",37,"11.3%","5.5%","16.8%","49%","57%",121,97,194,3.2,"57.9%","18.6%","19%",-105,-94,-2.1,7.5,"21.8%",362,"18.5%","20.6%",0.48,0.15
"Darius","ADC",4,"1.2%","21.3%","36.3%","25%","25%",20,9,9,3.2,"58.0%","20.5%","0%",-39,1095,-6.3,8.9,"26.0%",313,"20.9%","25.1%",0.56,0.21
"Darius","Middle",4,"1.2%","21.3%","36.3%","75%","100%",17,10,21,3.8,"70.4%","22.7%","50%",-81,-415,-4.3,8.1,"25.6%",359,"20.2%","23.1%",0.5,0.25
"Darius","Top",41,"12.5%","21.3%","36.3%","44%","61%",138,120,150,2.4,"54.6%","21.2%","24%",107,-17,7.2,8.4,"25.8%",344,"19.9%","23.2%",0.46,0.16
"Dr. Mundo","Top",97,"29.6%","19.8%","49.4%","48%","32%",183,192,427,3.2,"56.8%","16.2%","10%",-123,-10,-2.6,8.5,"24.4%",385,"23.4%","22.1%",0.45,0.16
"Draven","ADC",9,"2.7%","6.1%","8.8%","67%","89%",27,24,36,2.6,"55.3%","24.0%","0%",227,-124,9.4,9.1,"27.1%",410,"22.2%","26.6%",0.27,0.26
"Ekko","Middle",2,"0.6%","0.0%","0.6%","50%","100%",8,4,6,3.5,"82.4%","14.3%","0%",-154,-160,-8,8.5,"24.7%",539,"33.2%","26.2%",0.27,0.22
"Elise","Jungle",2,"0.6%","0.0%","0.6%","50%","100%",2,7,15,2.4,"60.7%","20.6%","0%",-890,-938,-9.5,3.9,"10.5%",212,"13.7%","12.8%",0.78,0.32
"Evelynn","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",68,"20.7%","5.8%","26.5%","41%","65%",209,137,327,3.9,"71.8%","14.6%","18%",197,-101,-1.7,9.8,"30.3%",675,"36.1%","27.4%",0.43,0.3
"Fiddlesticks","ADC",1,"0.3%","10.7%","21.0%","0%","100%",1,2,2,1.5,"37.5%","20.0%","0%",-1548,-412,-92,0.1,"1.0%",198,"23.6%","3.6%",0.65,0.06
"Fiddlesticks","Jungle",1,"0.3%","10.7%","21.0%","0%","100%",1,6,10,1.8,"73.3%","25.0%","0%",-1721,-1507,-49,1.3,"8.6%",320,"12.5%","11.5%",1,0.45
"Fiddlesticks","Support",32,"9.8%","10.7%","21.0%","44%","59%",38,107,247,2.7,"67.4%","24.5%","34%",20,-111,-8.7,0.8,"3.1%",251,"15.3%","9.9%",1.3,0.36
"Fiora","ADC",1,"0.3%","1.8%","3.4%","100%","100%",2,0,6,8,"80.0%","0.0%","0%",550,1594,27,9.6,"26.9%",284,"15.4%","22.9%",0.45,0.21
"Fiora","Middle",4,"1.2%","1.8%","3.4%","0%","100%",19,14,12,2.2,"73.8%","19.2%","0%",-102,324,3.3,10.6,"31.6%",578,"28.6%","29.0%",0.48,0.07
"Fizz","Middle",1,"0.3%","0.0%","0.3%","100%","100%",11,3,2,4.3,"54.2%","27.3%","100%",1094,356,-12,7.7,"21.3%",477,"22.0%","22.9%",0.62,0.16
"Galio","ADC",1,"0.3%","8.2%","20.1%","100%","100%",3,1,11,14,"56.0%","14.3%","100%",315,1391,-2,9,"25.3%",442,"16.8%","20.1%",0.34,0.17
"Galio","Middle",37,"11.3%","8.2%","20.1%","35%","59%",72,103,202,2.7,"70.4%","21.5%","22%",-104,159,-5.3,8.3,"23.9%",388,"21.9%","21.5%",0.47,0.12
"Galio","Support",1,"0.3%","8.2%","20.1%","0%","0%",0,2,1,0.5,"25.0%","13.3%","0%",84,348,12,1.8,"9.8%",55,"7.4%","0.2%",0.61,0.05
"Gangplank","Middle",2,"0.6%","22.3%","42.1%","0%","100%",4,5,9,2.6,"54.2%","11.1%","0%",-235,-520,-9.5,8.9,"30.1%",399,"22.0%","27.5%",0.52,0.18
"Gangplank","Top",63,"19.2%","22.3%","42.1%","54%","68%",167,148,408,3.9,"67.8%","18.3%","19%",65,-150,-8,8.9,"28.1%",561,"29.7%","26.6%",0.47,0.13
"Gnar","Top",62,"18.9%","14.0%","32.9%","50%","44%",140,121,266,3.4,"51.3%","16.3%","15%",128,164,7.2,9.1,"26.9%",446,"23.9%","23.6%",0.46,0.16
"Gragas","ADC",1,"0.3%","11.9%","44.2%","0%","100%",0,3,2,0.7,"100.0%","27.3%","0%",-1246,-1361,-80,0.9,"4.4%",134,"13.9%","7.2%",0.72,0.27
"Gragas","Jungle",66,"20.1%","11.9%","44.2%","36%","45%",128,202,459,2.9,"69.5%","20.9%","38%",-104,-42,-3.1,4.9,"11.7%",322,"16.1%","15.5%",0.58,0.33
"Gragas","Middle",2,"0.6%","11.9%","44.2%","50%","50%",4,2,14,9,"72.0%","9.1%","0%",-1390,-2276,-79,1.8,"5.8%",150,"7.3%","10.2%",1.23,0.09
"Gragas","Support",11,"3.4%","11.9%","44.2%","36%","64%",11,35,64,2.1,"54.7%","23.3%","45%",75,68,-8.4,0.9,"3.6%",205,"12.4%","9.3%",1.37,0.35
"Gragas","Top",26,"7.9%","11.9%","44.2%","54%","23%",33,46,145,3.9,"61.2%","14.6%","23%",-178,-102,-6.4,7.7,"23.1%",340,"19.6%","20.0%",0.48,0.15
"Graves","ADC",2,"0.6%","11.9%","20.7%","100%","50%",12,4,11,5.8,"71.9%","22.2%","0%",-59,488,15.5,10.6,"29.8%",438,"22.6%","29.1%",0.26,0.26
"Graves","Jungle",27,"8.2%","11.9%","20.7%","67%","37%",86,61,156,4,"76.8%","20.3%","37%",256,423,19.6,7.9,"23.5%",377,"22.3%","23.0%",0.47,0.51
"Heimerdinger","ADC",3,"0.9%","1.2%","2.1%","33%","67%",4,5,14,3.6,"56.3%","17.9%","67%",448,469,19.7,7.9,"24.0%",397,"27.7%","21.3%",0.26,0.19
"Irelia","Jungle",2,"0.6%","16.8%","38.4%","50%","50%",6,3,8,4.7,"93.3%","23.1%","50%",1465,1253,57.5,12.3,"36.3%",266,"27.0%","33.5%",0.48,0.29
"Irelia","Middle",61,"18.6%","16.8%","38.4%","49%","38%",271,195,276,2.8,"68.1%","22.9%","15%",35,4,3,9.1,"27.1%",390,"22.1%","24.7%",0.4,0.18
"Irelia","Top",8,"2.4%","16.8%","38.4%","38%","25%",27,27,32,2.2,"71.1%","25.0%","0%",-169,-267,-1.8,8.2,"26.8%",324,"21.4%","23.5%",0.42,0.13
"Ivern","Support",1,"0.3%","0.0%","0.3%","100%","0%",1,1,13,14,"93.3%","16.7%","0%",375,197,-1,0.7,"0.9%",157,"7.0%","13.6%",0.96,0.08
"Janna","Support",1,"0.3%","0.0%","0.3%","100%","100%",0,2,15,7.5,"88.2%","15.4%","0%",-265,92,-15,0.5,"1.9%",139,"5.2%","9.3%",1.43,0.35
