"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"0.3%","1.5%","6.9%","0%","0%",1,6,2,0.5,"75.0%","40.0%","100%",1104,988,27,8,"22.0%",403,"21.9%","22.5%",0.46,0.34
"Aatrox","Top",17,"5.1%","1.5%","6.9%","35%","59%",30,57,66,1.7,"45.9%","24.3%","29%",-97,-1,-3.2,7.6,"24.2%",403,"20.1%","21.5%",0.4,0.16
"Akali","Middle",11,"3.3%","1.8%","5.1%","45%","91%",53,24,55,4.5,"68.8%","16.9%","9%",-123,127,-4.3,8.4,"25.0%",406,"22.4%","24.7%",0.35,0.19
"Alistar","Support",2,"0.6%","0.0%","0.6%","50%","100%",2,2,14,8,"66.7%","13.3%","0%",31,11,-0.5,1,"1.9%",92,"6.9%","8.9%",1.66,0.33
"Aphelios","ADC",160,"47.8%","35.2%","83.0%","58%","25%",687,359,777,4.1,"68.6%","18.2%","19%",58,-2,0.3,9.9,"34.5%",563,"29.7%","28.2%",0.38,0.39
"Ashe","ADC",187,"55.8%","8.4%","64.2%","52%","47%",570,433,1208,4.1,"71.0%","18.5%","26%",76,85,3.1,9.4,"32.2%",497,"26.6%","26.2%",0.37,0.38
"Aurelion Sol","Middle",5,"1.5%","0.9%","2.4%","20%","100%",13,24,26,1.6,"69.6%","22.9%","0%",-447,-120,-2.4,7.5,"23.5%",412,"21.5%","21.4%",0.34,0.13
"Azir","Middle",50,"14.9%","15.5%","30.4%","52%","66%",165,152,276,2.9,"65.7%","21.4%","18%",98,192,5.4,8.7,"27.2%",555,"28.4%","24.5%",0.42,0.27
"Bard","Support",82,"24.5%","28.7%","53.1%","61%","40%",78,178,873,5.3,"80.9%","19.1%","32%",-10,122,0.8,1.3,"3.7%",182,"9.1%","9.9%",2.19,0.46
"Blitzcrank","Support",6,"1.8%","2.4%","4.2%","33%","100%",5,14,26,2.2,"57.4%","17.7%","33%",185,24,-2.2,1,"2.7%",158,"11.0%","8.9%",1.55,0.28
"Braum","Support",30,"9.0%","5.7%","14.6%","43%","80%",9,75,266,3.7,"69.4%","19.0%","20%",-54,-5,-0.1,1,"2.3%",130,"7.0%","8.1%",1.49,0.27
"Caitlyn","ADC",18,"5.4%","5.7%","11.0%","67%","22%",69,33,95,5,"61.0%","15.6%","22%",45,-172,0.8,9.6,"32.7%",569,"26.9%","26.7%",0.41,0.36
"Camille","Jungle",1,"0.3%","6.9%","16.1%","100%","100%",6,5,6,2.4,"63.2%","45.5%","100%",-113,-998,-10,4.7,"12.2%",602,"24.8%","19.0%",0.19,0.15
"Camille","Top",30,"9.0%","6.9%","16.1%","47%","63%",103,91,139,2.7,"62.9%","24.5%","40%",83,21,1.1,8.3,"26.3%",416,"24.2%","24.2%",0.38,0.2
"Cassiopeia","Middle",9,"2.7%","5.7%","8.4%","33%","78%",43,27,48,3.4,"71.1%","18.6%","22%",-198,-158,5.6,8.1,"25.7%",502,"26.4%","25.7%",0.45,0.19
"Corki","Middle",12,"3.6%","0.6%","4.2%","42%","75%",36,33,46,2.5,"59.0%","20.8%","8%",102,165,7,9.3,"29.4%",623,"31.0%","26.4%",0.45,0.25
"Diana","Middle",2,"0.6%","1.2%","1.8%","50%","100%",14,7,14,4,"80.0%","18.9%","50%",377,-102,7,8.9,"29.2%",732,"34.9%","25.3%",0.35,0.14
"Ekko","Jungle",10,"3.0%","3.6%","11.6%","60%","70%",41,21,54,4.5,"72.5%","16.2%","30%",-250,-291,-4.1,6.9,"22.0%",436,"22.1%","22.3%",0.69,0.47
"Ekko","Middle",17,"5.1%","3.6%","11.6%","47%","94%",65,44,78,3.3,"64.4%","19.4%","6%",23,96,-4.4,8.9,"27.6%",440,"25.6%","25.8%",0.34,0.24
"Elise","Jungle",2,"0.6%","0.3%","0.9%","0%","100%",5,5,3,1.6,"61.5%","12.5%","50%",180,-492,-10,5.4,"17.6%",348,"18.0%","19.8%",0.87,0.56
"Ezreal","ADC",125,"37.3%","19.1%","56.4%","50%","58%",507,243,586,4.5,"70.3%","15.7%","16%",-137,-82,-2.5,9.2,"31.6%",684,"34.6%","26.9%",0.4,0.31
"Fiddlesticks","Middle",3,"0.9%","1.5%","2.4%","67%","33%",9,11,12,1.9,"65.6%","34.4%","33%",-413,-55,-6,5.7,"12.7%",361,"23.7%","17.6%",0.14,0.15
"Fiora","Top",4,"1.2%","0.3%","1.5%","75%","100%",16,9,17,3.7,"63.5%","15.5%","50%",233,382,15.8,9.7,"31.4%",495,"25.9%","27.7%",0.43,0.16
"Galio","Middle",73,"21.8%","29.6%","51.9%","49%","55%",228,184,517,4,"79.4%","20.2%","36%",-160,-129,-7.8,7.7,"22.9%",413,"22.5%","21.8%",0.4,0.14
"Galio","Support",2,"0.6%","29.6%","51.9%","0%","0%",0,11,9,0.8,"52.9%","26.8%","0%",-55,201,3.5,1.2,"2.6%",163,"10.1%","7.1%",1.71,0.4
"Gangplank","Top",26,"7.8%","5.4%","13.1%","62%","100%",79,53,173,4.8,"69.6%","17.5%","19%",52,22,-2.7,8.7,"28.5%",653,"31.0%","26.8%",0.45,0.15
"Gnar","Top",11,"3.3%","0.0%","3.3%","82%","100%",36,22,60,4.4,"51.6%","16.8%","0%",-23,-185,5,8.8,"26.7%",587,"28.7%","24.0%",0.44,0.12
"Gragas","Jungle",1,"0.3%","0.0%","0.6%","0%","100%",1,2,2,1.5,"75.0%","20.0%","0%",-872,-814,-17,4.9,"15.4%",177,"11.8%","15.5%",0.72,0.14
"Gragas","Support",1,"0.3%","0.0%","0.6%","100%","100%",0,1,3,3,"30.0%","12.5%","0%",-800,-340,-40,1.6,"4.4%",206,"11.3%","8.2%",1.72,0.68
"Graves","Jungle",125,"37.3%","36.1%","73.4%","50%","45%",423,278,719,4.1,"69.7%","17.3%","38%",171,239,5.8,6.9,"22.1%",378,"19.5%","21.3%",0.4,0.57
"Hecarim","Top",6,"1.8%","0.9%","2.7%","50%","100%",16,25,31,1.9,"58.0%","28.7%","17%",-571,-478,-8,7,"22.9%",366,"19.1%","21.0%",0.42,0.18
"Irelia","-",0,"0%","0.9%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",2,"0.6%","0.3%","0.9%","100%","100%",1,1,29,30,"76.9%","12.5%","0%",222,373,-10,0.7,"2.7%",184,"7.5%","10.5%",1.52,0.54
"Jarvan IV","Jungle",25,"7.5%","11.9%","19.4%","52%","68%",39,57,230,4.7,"81.0%","19.9%","32%",0,-80,-1.4,5.1,"14.3%",189,"10.4%","16.7%",0.88,0.54
"Jax","Top",11,"3.3%","2.7%","6.0%","45%","100%",42,33,49,2.8,"57.2%","21.3%","9%",282,296,10.2,8.7,"29.0%",482,"23.3%","26.1%",0.41,0.19
"Jayce","ADC",2,"0.6%","7.5%","20.6%","0%","100%",6,10,5,1.1,"47.8%","22.2%","50%",-184,731,-15,6.9,"23.7%",736,"33.4%","22.4%",0.46,0.23
"Jayce","Middle",7,"2.1%","7.5%","20.6%","57%","29%",25,20,37,3.1,"62.0%","20.4%","14%",-32,-89,-3.6,8.2,"24.7%",589,"28.0%","22.8%",0.43,0.42
"Jayce","Top",35,"10.4%","7.5%","20.6%","46%","51%",95,109,161,2.3,"60.2%","22.5%","20%",109,-80,7.3,8.4,"26.6%",644,"31.9%","24.0%",0.4,0.26
"Jhin","ADC",22,"6.6%","1.5%","8.1%","36%","95%",66,41,123,4.6,"70.3%","12.8%","23%",38,-95,0.8,9.2,"32.9%",489,"27.0%","26.1%",0.41,0.3
"Kai'Sa","ADC",34,"10.1%","1.8%","11.9%","35%","82%",103,102,145,2.4,"66.1%","20.3%","6%",-130,-38,-0.8,9.2,"32.1%",466,"27.2%","26.7%",0.47,0.37
"Kalista","ADC",53,"15.8%","43.0%","59.1%","43%","49%",224,140,267,3.5,"71.4%","18.3%","23%",142,79,6.7,9.7,"34.5%",458,"24.4%","28.1%",0.61,0.44
"Kalista","Top",1,"0.3%","43.0%","59.1%","100%","0%",6,2,4,5,"83.3%","22.2%","0%",941,749,30,8.2,"24.2%",912,"38.0%","28.7%",0.38,0.06
"Karma","Middle",29,"8.7%","34.9%","53.1%","38%","41%",49,54,194,4.5,"79.4%","13.9%","17%",-217,42,-1.1,7,"19.9%",358,"20.5%","20.4%",0.44,0.22
"Karma","Support",27,"8.1%","34.9%","53.1%","37%","52%",14,64,213,3.5,"79.1%","17.6%","22%",65,-211,-6.2,0.9,"2.8%",216,"12.1%","9.7%",1.59,0.41
"Karma","Top",5,"1.5%","34.9%","53.1%","40%","60%",5,11,29,3.1,"70.8%","16.9%","60%",309,-11,7.2,6.9,"20.2%",401,"23.5%","19.8%",0.5,0.25
"Karthus","Jungle",1,"0.3%","0.9%","1.2%","100%","100%",3,2,3,3,"50.0%","100.0%","0%",769,343,1,7.2,"18.8%",408,"27.9%","20.2%",1.21,0.62
"Kassadin","Middle",14,"4.2%","9.3%","13.4%","57%","86%",72,29,64,4.7,"69.4%","18.1%","14%",-341,-14,-6.5,9,"27.7%",596,"28.9%","26.2%",0.37,0.21
"Kayle","Top",18,"5.4%","9.6%","14.9%","72%","100%",62,41,101,4,"67.4%","22.2%","22%",44,3,-1.9,9,"30.4%",565,"27.2%","26.1%",0.47,0.21
