"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",5,"4.5%","0.0%","4.5%","20%","-",20,15,28,3.2,"78.7%","15.3%","-","-","-","-","-","-","-","-","-","-","-"
"Anivia","Middle",2,"1.8%","0.0%","1.8%","0%","-",4,5,7,2.2,"73.3%","10.9%","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Middle",2,"1.8%","0.0%","1.8%","50%","-",10,11,6,1.5,"36.4%","26.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",1,"0.9%","0.0%","0.9%","0%","-",0,4,2,0.5,"40.0%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Caitlyn","ADC",56,"50.0%","0.0%","50.0%","41%","-",273,177,327,3.4,"65.5%","16.3%","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",2,"1.8%","0.0%","1.8%","100%","-",5,8,18,2.9,"60.5%","42.1%","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Jungle",1,"0.9%","0.0%","12.5%","0%","-",1,5,1,0.4,"66.7%","22.7%","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Top",13,"11.6%","0.0%","12.5%","38%","-",39,38,75,3,"57.3%","17.3%","-","-","-","-","-","-","-","-","-","-","-"
"Darius","Top",2,"1.8%","0.0%","1.8%","100%","-",20,8,10,3.8,"47.6%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Middle",32,"28.6%","0.0%","31.3%","66%","-",179,100,227,4.1,"70.4%","20.7%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Top",3,"2.7%","0.0%","31.3%","33%","-",6,14,9,1.1,"46.9%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Jungle",4,"3.6%","0.0%","3.6%","50%","-",10,15,28,2.5,"74.5%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",1,"0.9%","0.0%","0.9%","0%","-",2,5,4,1.2,"42.9%","17.2%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",15,"13.4%","0.0%","48.2%","53%","-",53,50,89,2.8,"60.2%","18.3%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Support",15,"13.4%","0.0%","48.2%","40%","-",26,48,132,3.3,"59.2%","18.6%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Top",24,"21.4%","0.0%","48.2%","50%","-",84,67,148,3.5,"56.3%","17.5%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",1,"0.9%","0.0%","3.6%","100%","-",3,0,10,13,"76.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Middle",3,"2.7%","0.0%","3.6%","67%","-",15,5,14,5.8,"72.5%","16.1%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",12,"10.7%","0.0%","10.7%","67%","-",72,32,86,4.9,"57.2%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Fiddlesticks","Support",4,"3.6%","0.0%","3.6%","50%","-",4,23,26,1.3,"56.6%","26.7%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",3,"2.7%","0.0%","2.7%","67%","-",14,17,23,2.2,"55.2%","42.5%","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Jungle",2,"1.8%","0.0%","2.7%","100%","-",0,4,20,5,"52.6%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Top",1,"0.9%","0.0%","2.7%","0%","-",1,2,3,2,"33.3%","10.5%","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Middle",1,"0.9%","0.0%","0.9%","0%","-",2,3,4,2,"60.0%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",32,"28.6%","0.0%","28.6%","63%","-",164,77,177,4.4,"67.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Jungle",45,"40.2%","0.0%","40.2%","49%","-",111,157,399,3.2,"67.8%","21.3%","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Top",4,"3.6%","0.0%","3.6%","75%","-",18,16,26,2.8,"64.7%","22.5%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",12,"10.7%","0.0%","10.7%","33%","-",2,45,115,2.6,"72.7%","21.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",42,"37.5%","0.0%","41.1%","45%","-",80,157,421,3.2,"75.6%","22.3%","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Top",4,"3.6%","0.0%","41.1%","100%","-",15,8,48,7.9,"64.9%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Jax","Top",1,"0.9%","0.0%","0.9%","0%","-",1,8,1,0.3,"20.0%","28.6%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","ADC",1,"0.9%","0.0%","16.1%","100%","-",5,2,8,6.5,"59.1%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",15,"13.4%","0.0%","16.1%","47%","-",58,58,81,2.4,"69.8%","24.5%","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",2,"1.8%","0.0%","16.1%","50%","-",16,7,22,5.4,"84.4%","15.2%","-","-","-","-","-","-","-","-","-","-","-"
"Karthus","Middle",18,"16.1%","0.0%","16.1%","78%","-",113,71,169,4,"77.3%","30.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",6,"5.4%","0.0%","5.4%","50%","-",38,11,47,7.7,"78.7%","13.4%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","ADC",1,"0.9%","0.0%","12.5%","0%","-",3,5,6,1.8,"90.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Jungle",2,"1.8%","0.0%","12.5%","50%","-",6,3,19,8.3,"78.1%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Middle",7,"6.3%","0.0%","12.5%","29%","-",22,32,41,2,"63.6%","20.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Support",1,"0.9%","0.0%","12.5%","0%","-",0,4,4,1,"40.0%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kayle","Top",3,"2.7%","0.0%","12.5%","0%","-",9,14,16,1.8,"75.8%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",7,"6.3%","0.0%","6.3%","43%","-",30,24,59,3.7,"71.8%","19.8%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","ADC",1,"0.9%","0.0%","20.5%","100%","-",3,2,2,2.5,"62.5%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Jungle",1,"0.9%","0.0%","20.5%","0%","-",4,2,6,5,"58.8%","10.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Middle",16,"14.3%","0.0%","20.5%","38%","-",103,42,72,4.2,"71.7%","16.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kha'Zix","Top",5,"4.5%","0.0%","20.5%","80%","-",34,14,27,4.4,"61.6%","21.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",17,"15.2%","0.0%","15.2%","41%","-",96,64,90,2.9,"75.0%","20.3%","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",22,"19.6%","0.0%","19.6%","45%","-",58,71,177,3.3,"65.8%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Leona","Support",8,"7.1%","0.0%","7.1%","50%","-",9,44,94,2.3,"60.6%","27.0%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Middle",1,"0.9%","0.0%","1.8%","0%","-",3,5,3,1.2,"50.0%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Support",1,"0.9%","0.0%","1.8%","0%","-",1,4,1,0.5,"100.0%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Lulu","Support",43,"38.4%","0.0%","38.4%","44%","-",35,132,435,3.6,"72.2%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Lux","Middle",7,"6.3%","0.0%","6.3%","14%","-",21,27,44,2.4,"63.7%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Middle",5,"4.5%","0.0%","19.6%","40%","-",20,34,47,2,"65.0%","24.3%","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","Top",17,"15.2%","0.0%","19.6%","47%","-",26,58,133,2.7,"59.3%","18.4%","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Jungle",1,"0.9%","0.0%","0.9%","0%","-",2,2,12,7,"93.3%","11.8%","-","-","-","-","-","-","-","-","-","-","-"
"Master Yi","Middle",1,"0.9%","0.0%","0.9%","100%","-",16,1,9,25,"89.3%","11.1%","-","-","-","-","-","-","-","-","-","-","-"
"Miss Fortune","ADC",15,"13.4%","0.0%","13.4%","53%","-",55,40,110,4.1,"64.0%","16.5%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Jungle",3,"2.7%","0.0%","18.8%","67%","-",9,10,34,4.3,"81.1%","16.7%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Middle",4,"3.6%","0.0%","18.8%","25%","-",9,9,28,4.1,"77.1%","12.7%","-","-","-","-","-","-","-","-","-","-","-"
"Nasus","Top",14,"12.5%","0.0%","18.8%","14%","-",24,62,57,1.3,"58.7%","20.3%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Jungle",3,"2.7%","0.0%","2.7%","67%","-",5,10,34,3.9,"55.7%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","ADC",1,"0.9%","0.0%","1.8%","0%","-",6,5,6,2.4,"63.2%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Nidalee","Middle",1,"0.9%","0.0%","1.8%","0%","-",6,4,4,2.5,"83.3%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Nocturne","Jungle",5,"4.5%","0.0%","4.5%","40%","-",13,14,45,4.1,"78.4%","17.1%","-","-","-","-","-","-","-","-","-","-","-"
"Nunu & Willump","Support",1,"0.9%","0.0%","0.9%","0%","-",2,4,3,1.3,"62.5%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Middle",17,"15.2%","0.0%","16.1%","35%","-",80,60,113,3.2,"73.9%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Orianna","Support",1,"0.9%","0.0%","16.1%","100%","-",2,1,8,10,"50.0%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Jungle",1,"0.9%","0.0%","4.5%","0%","-",2,7,5,1,"58.3%","28.0%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Middle",1,"0.9%","0.0%","4.5%","0%","-",3,6,3,1,"66.7%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Support",2,"1.8%","0.0%","4.5%","0%","-",3,10,11,1.4,"77.8%","25.6%","-","-","-","-","-","-","-","-","-","-","-"
"Pantheon","Top",1,"0.9%","0.0%","4.5%","100%","-",7,2,9,8,"43.2%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Quinn","Middle",1,"0.9%","0.0%","0.9%","100%","-",4,2,12,8,"80.0%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Rammus","Jungle",1,"0.9%","0.0%","0.9%","100%","-",4,2,9,6.5,"65.0%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Renekton","Top",33,"29.5%","0.0%","29.5%","67%","-",109,89,231,3.8,"57.3%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Riven","Top",2,"1.8%","0.0%","1.8%","50%","-",14,10,9,2.3,"34.3%","27.0%","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Top",40,"35.7%","0.0%","35.7%","60%","-",153,136,284,3.2,"66.4%","21.7%","-","-","-","-","-","-","-","-","-","-","-"
"Ryze","Middle",24,"21.4%","0.0%","21.4%","46%","-",128,99,177,3.1,"67.3%","22.0%","-","-","-","-","-","-","-","-","-","-","-"
"Sejuani","Jungle",3,"2.7%","0.0%","2.7%","67%","-",2,6,35,6.2,"67.3%","15.0%","-","-","-","-","-","-","-","-","-","-","-"
"Shaco","Jungle",3,"2.7%","0.0%","2.7%","67%","-",7,15,18,1.7,"43.9%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Jungle",9,"8.0%","0.0%","29.5%","22%","-",20,33,69,2.7,"69.5%","17.5%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Top",24,"21.4%","0.0%","29.5%","33%","-",47,93,198,2.6,"66.8%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Shyvana","Jungle",1,"0.9%","0.0%","0.9%","0%","-",0,3,3,1,"50.0%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Singed","Top",2,"1.8%","0.0%","1.8%","50%","-",3,10,16,1.9,"55.9%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
"Sona","Support",59,"52.7%","0.0%","52.7%","54%","-",52,198,663,3.6,"71.1%","21.2%","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Support",1,"0.9%","0.0%","0.9%","0%","-",0,5,14,2.8,"73.7%","20.8%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",2,"1.8%","0.0%","3.6%","0%","-",3,6,4,1.2,"87.5%","13.6%","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Support",2,"1.8%","0.0%","3.6%","100%","-",6,2,21,13.5,"49.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-"
"Taric","Jungle",3,"2.7%","0.0%","5.4%","100%","-",6,8,38,5.5,"63.8%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Taric","Support",3,"2.7%","0.0%","5.4%","0%","-",0,12,17,1.4,"63.0%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Thresh","Support",53,"47.3%","0.0%","47.3%","62%","-",59,210,595,3.1,"66.1%","25.6%","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","ADC",4,"3.6%","0.0%","3.6%","0%","-",7,9,8,1.7,"38.5%","11.5%","-","-","-","-","-","-","-","-","-","-","-"
"Trundle","Jungle",1,"0.9%","0.0%","0.9%","100%","-",1,1,12,13,"61.9%","12.5%","-","-","-","-","-","-","-","-","-","-","-"
"Twisted Fate","Middle",19,"17.0%","0.0%","17.0%","63%","-",81,38,112,5.1,"68.2%","17.0%","-","-","-","-","-","-","-","-","-","-","-"
"Twitch","ADC",6,"5.4%","0.0%","5.4%","33%","-",34,14,23,4.1,"77.0%","15.7%","-","-","-","-","-","-","-","-","-","-","-"
"Udyr","Jungle",1,"0.9%","0.0%","0.9%","100%","-",1,2,11,6,"54.5%","10.5%","-","-","-","-","-","-","-","-","-","-","-"
"Urgot","ADC",2,"1.8%","0.0%","1.8%","100%","-",9,2,21,15,"61.2%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Varus","ADC",65,"58.0%","0.0%","58.9%","51%","-",298,187,433,3.9,"67.4%","18.2%","-","-","-","-","-","-","-","-","-","-","-"
"Varus","Middle",1,"0.9%","0.0%","58.9%","100%","-",8,2,2,5,"47.6%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vayne","ADC",8,"7.1%","0.0%","7.1%","75%","-",57,24,61,4.9,"63.4%","18.8%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Jungle",13,"11.6%","0.0%","14.3%","62%","-",31,49,132,3.3,"67.6%","24.0%","-","-","-","-","-","-","-","-","-","-","-"
"Vi","Top",3,"2.7%","0.0%","14.3%","33%","-",13,14,13,1.9,"66.7%","20.6%","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",2,"1.8%","0.0%","1.8%","0%","-",6,4,8,3.5,"70.0%","9.8%","-","-","-","-","-","-","-","-","-","-","-"
"Vladimir","Top",4,"3.6%","0.0%","3.6%","50%","-",8,11,22,2.7,"57.7%","21.6%","-","-","-","-","-","-","-","-","-","-","-"
"Volibear","Jungle",31,"27.7%","0.0%","27.7%","55%","-",101,108,273,3.5,"68.2%","22.3%","-","-","-","-","-","-","-","-","-","-","-"
"Wukong","Middle",1,"0.9%","0.0%","0.9%","0%","-",8,4,5,3.3,"76.5%","19.0%","-","-","-","-","-","-","-","-","-","-","-"
"Xerath","Middle",3,"2.7%","0.0%","2.7%","67%","-",11,5,16,5.4,"61.4%","11.6%","-","-","-","-","-","-","-","-","-","-","-"
"Xin Zhao","Jungle",7,"6.3%","0.0%","6.3%","14%","-",8,29,46,1.9,"66.7%","22.5%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Jungle",1,"0.9%","0.0%","14.3%","100%","-",10,1,21,31,"83.8%","3.8%","-","-","-","-","-","-","-","-","-","-","-"
"Zac","Top",15,"13.4%","0.0%","14.3%","47%","-",53,37,123,4.8,"61.8%","15.4%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","ADC",1,"0.9%","0.0%","21.4%","100%","-",4,2,5,4.5,"45.0%","66.7%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Jungle",2,"1.8%","0.0%","21.4%","100%","-",11,2,17,14,"49.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",21,"18.8%","0.0%","21.4%","62%","-",144,86,124,3.1,"64.6%","24.4%","-","-","-","-","-","-","-","-","-","-","-"
"Zilean","Middle",1,"0.9%","0.0%","0.9%","0%","-",0,4,5,1.3,"55.6%","21.1%","-","-","-","-","-","-","-","-","-","-","-"
"Zyra","Support",18,"16.1%","0.0%","16.1%","50%","-",20,62,164,3,"66.7%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
