"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",13,"5.8%","0.9%","6.6%","54%","-",39,37,57,2.6,"56.5%","21.0%","-","-","-","-","-","-","-","-","23.7%","-","-"
"Alistar","Support",130,"57.5%","26.1%","83.6%","50%","-",61,325,1137,3.7,"75.0%","19.6%","-","-","-","-","-","-","-","-","11.2%","-","-"
"Anivia","Middle",1,"0.4%","0.0%","0.4%","0%","-",0,2,3,1.5,"75.0%","12.5%","-","-","-","-","-","-","-","-","21.5%","-","-"
"Ashe","ADC",3,"1.3%","0.0%","1.3%","100%","-",16,2,21,18.5,"77.1%","14.3%","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",48,"21.2%","9.7%","31.0%","54%","-",170,118,296,3.9,"73.3%","19.7%","-","-","-","-","-","-","-","-","22.6%","-","-"
"Bard","Support",24,"10.6%","0.9%","11.5%","50%","-",23,68,201,3.3,"69.3%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",2,"0.9%","0.0%","0.9%","50%","-",5,6,18,3.8,"67.6%","25.0%","-","-","-","-","-","-","-","-","10.2%","-","-"
"Braum","Support",125,"55.3%","10.2%","65.5%","54%","-",52,370,1138,3.2,"69.8%","23.1%","-","-","-","-","-","-","-","-","11.3%","-","-"
"Cassiopeia","Middle",3,"1.3%","0.0%","1.3%","33%","-",6,7,9,2.1,"55.6%","25.0%","-","-","-","-","-","-","-","-","24.7%","-","-"
"Corki","ADC",14,"6.2%","24.8%","62.8%","36%","-",44,44,64,2.5,"65.5%","20.2%","-","-","-","-","-","-","-","-","23.4%","-","-"
"Corki","Middle",72,"31.9%","24.8%","62.8%","42%","-",247,182,283,2.9,"69.6%","18.6%","-","-","-","-","-","-","-","-","24.7%","-","-"
"Dr. Mundo","Jungle",7,"3.1%","0.9%","5.3%","43%","-",10,21,29,1.9,"57.4%","20.8%","-","-","-","-","-","-","-","-","17.9%","-","-"
"Dr. Mundo","Top",3,"1.3%","0.9%","5.3%","0%","-",5,16,7,0.8,"70.6%","27.1%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Ekko","Jungle",4,"1.8%","1.3%","14.2%","50%","-",9,7,32,5.9,"68.3%","17.9%","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Middle",3,"1.3%","1.3%","14.2%","67%","-",7,10,22,2.9,"67.4%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Top",22,"9.7%","1.3%","14.2%","45%","-",51,49,110,3.3,"64.9%","17.8%","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",76,"33.6%","3.5%","37.2%","42%","-",186,191,466,3.4,"69.7%","18.8%","-","-","-","-","-","-","-","-","18.0%","-","-"
"Evelynn","Jungle",5,"2.2%","1.8%","4.0%","80%","-",17,10,41,5.8,"69.0%","20.8%","-","-","-","-","-","-","-","-","17.3%","-","-"
"Ezreal","ADC",78,"34.5%","2.2%","41.2%","49%","-",282,170,429,4.2,"73.0%","17.1%","-","-","-","-","-","-","-","-","22.9%","-","-"
"Ezreal","Middle",10,"4.4%","2.2%","41.2%","50%","-",39,26,43,3.2,"71.9%","19.7%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Fiora","Top",31,"13.7%","8.8%","22.6%","39%","-",85,84,86,2,"58.4%","22.2%","-","-","-","-","-","-","-","-","23.5%","-","-"
"Fizz","Middle",3,"1.3%","0.0%","1.3%","33%","-",14,7,7,3,"65.6%","25.9%","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Middle",3,"1.3%","50.0%","57.1%","33%","-",19,6,10,4.8,"76.3%","15.4%","-","-","-","-","-","-","-","-","32.9%","-","-"
"Gangplank","Top",13,"5.8%","50.0%","57.1%","54%","-",54,31,80,4.3,"74.0%","18.1%","-","-","-","-","-","-","-","-","26.7%","-","-"
"Gnar","Top",13,"5.8%","0.9%","6.6%","54%","-",32,36,68,2.8,"54.6%","20.8%","-","-","-","-","-","-","-","-","21.5%","-","-"
"Gragas","Jungle",67,"29.6%","19.5%","51.8%","60%","-",129,159,559,4.3,"73.3%","19.5%","-","-","-","-","-","-","-","-","19.2%","-","-"
"Gragas","Top",6,"2.7%","19.5%","51.8%","50%","-",18,12,33,4.3,"68.0%","16.0%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","Jungle",99,"43.8%","10.6%","58.8%","47%","-",318,230,591,4,"71.9%","18.3%","-","-","-","-","-","-","-","-","20.7%","-","-"
