"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Graves","Top",10,"4.4%","10.6%","58.8%","40%","-",23,29,37,2.1,"57.7%","22.0%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Hecarim","Top",2,"0.9%","0.0%","0.9%","50%","-",6,6,14,3.3,"76.9%","23.1%","-","-","-","-","-","-","-","-","21.5%","-","-"
"Irelia","Top",1,"0.4%","0.0%","0.4%","0%","-",2,4,1,0.8,"50.0%","26.7%","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",5,"2.2%","0.0%","2.2%","20%","-",3,19,28,1.6,"75.6%","20.4%","-","-","-","-","-","-","-","-","11.7%","-","-"
"Jax","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Middle",1,"0.4%","0.0%","0.4%","0%","-",5,5,6,2.2,"61.1%","22.7%","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",12,"5.3%","0.9%","6.2%","33%","-",41,35,68,3.1,"75.2%","19.2%","-","-","-","-","-","-","-","-","-","-","-"
"Jinx","ADC",7,"3.1%","0.0%","3.1%","57%","-",24,13,23,3.6,"73.4%","22.0%","-","-","-","-","-","-","-","-","26.1%","-","-"
"Kalista","ADC",80,"35.4%","46.9%","82.3%","48%","-",312,208,420,3.5,"71.7%","20.8%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Karma","Support",1,"0.4%","0.0%","0.4%","0%","-",0,2,1,0.5,"33.3%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Kassadin","Middle",15,"6.6%","0.4%","7.1%","73%","-",68,43,91,3.7,"64.4%","22.9%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Kayle","Top",2,"0.9%","0.0%","0.9%","0%","-",1,10,8,0.9,"60.0%","22.7%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Support",2,"0.9%","0.0%","2.2%","0%","-",1,8,7,1,"42.1%","23.5%","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",3,"1.3%","0.0%","2.2%","33%","-",10,5,12,4.4,"59.5%","16.7%","-","-","-","-","-","-","-","-","23.0%","-","-"
"Kha'Zix","Jungle",1,"0.4%","0.0%","0.4%","0%","-",0,5,3,0.6,"42.9%","23.8%","-","-","-","-","-","-","-","-","-","-","-"
"Kindred","Jungle",52,"23.0%","27.4%","50.4%","56%","-",162,135,324,3.6,"70.8%","21.0%","-","-","-","-","-","-","-","-","19.3%","-","-"
"Kog'Maw","ADC",20,"8.8%","13.7%","22.6%","35%","-",104,68,106,3.1,"74.2%","21.6%","-","-","-","-","-","-","-","-","25.2%","-","-"
"LeBlanc","Middle",46,"20.4%","26.5%","46.9%","52%","-",186,106,263,4.2,"66.2%","18.6%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Lee Sin","Jungle",26,"11.5%","4.9%","16.4%","46%","-",69,71,173,3.4,"69.3%","21.1%","-","-","-","-","-","-","-","-","17.9%","-","-"
"Lissandra","Middle",39,"17.3%","28.3%","55.3%","59%","-",130,97,267,4.1,"68.8%","21.2%","-","-","-","-","-","-","-","-","22.4%","-","-"
"Lissandra","Support",1,"0.4%","28.3%","55.3%","0%","-",0,3,1,0.3,"33.3%","21.4%","-","-","-","-","-","-","-","-","-","-","-"
"Lissandra","Top",21,"9.3%","28.3%","55.3%","62%","-",38,53,154,3.6,"64.4%","21.0%","-","-","-","-","-","-","-","-","21.8%","-","-"
"Lucian","ADC",116,"51.3%","1.8%","53.1%","55%","-",436,273,584,3.7,"67.5%","19.3%","-","-","-","-","-","-","-","-","24.5%","-","-"
"Lulu","Middle",57,"25.2%","53.1%","81.4%","44%","-",129,130,359,3.8,"72.9%","17.8%","-","-","-","-","-","-","-","-","22.8%","-","-"
"Lulu","Top",7,"3.1%","53.1%","81.4%","43%","-",13,17,41,3.2,"72.0%","18.3%","-","-","-","-","-","-","-","-","20.6%","-","-"
"Lux","Middle",9,"4.0%","0.4%","4.4%","22%","-",23,26,58,3.1,"74.3%","19.5%","-","-","-","-","-","-","-","-","23.9%","-","-"
"Malphite","Top",1,"0.4%","0.0%","0.4%","0%","-",3,3,7,3.3,"83.3%","12.5%","-","-","-","-","-","-","-","-","23.7%","-","-"
"Maokai","Top",40,"17.7%","1.3%","19.0%","38%","-",79,113,227,2.7,"70.3%","20.7%","-","-","-","-","-","-","-","-","19.5%","-","-"
"Master Yi","Jungle",1,"0.4%","0.0%","0.4%","100%","-",7,6,6,2.2,"86.7%","23.1%","-","-","-","-","-","-","-","-","-","-","-"
"Miss Fortune","ADC",17,"7.5%","9.3%","16.8%","53%","-",74,43,122,4.6,"74.8%","19.6%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Morgana","Support",7,"3.1%","0.0%","6.6%","29%","-",6,26,63,2.7,"76.7%","26.3%","-","-","-","-","-","-","-","-","11.4%","-","-"
"Morgana","Top",8,"3.5%","0.0%","6.6%","50%","-",15,24,42,2.4,"62.6%","26.7%","-","-","-","-","-","-","-","-","22.0%","-","-"
"Nautilus","Middle",7,"3.1%","6.6%","41.2%","71%","-",20,18,46,3.7,"72.5%","25.0%","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Support",9,"4.0%","6.6%","41.2%","33%","-",5,41,68,1.8,"66.4%","28.1%","-","-","-","-","-","-","-","-","13.5%","-","-"
"Nautilus","Top",62,"27.4%","6.6%","41.2%","61%","-",123,168,495,3.7,"68.4%","21.2%","-","-","-","-","-","-","-","-","19.9%","-","-"
"Nidalee","Jungle",45,"19.9%","43.4%","63.3%","60%","-",143,96,243,4,"71.5%","18.3%","-","-","-","-","-","-","-","-","21.7%","-","-"
"Nocturne","Jungle",1,"0.4%","0.0%","0.4%","100%","-",2,2,8,5,"66.7%","33.3%","-","-","-","-","-","-","-","-","16.1%","-","-"
"Nunu & Willump","Jungle",1,"0.4%","0.0%","0.4%","100%","-",0,1,6,6,"75.0%","14.3%","-","-","-","-","-","-","-","-","17.4%","-","-"
"Olaf","Top",1,"0.4%","0.0%","0.4%","0%","-",1,5,4,1,"62.5%","31.3%","-","-","-","-","-","-","-","-","21.2%","-","-"
"Orianna","Middle",5,"2.2%","0.0%","2.2%","40%","-",15,6,31,7.7,"79.3%","13.6%","-","-","-","-","-","-","-","-","25.8%","-","-"
"Poppy","Support",6,"2.7%","26.1%","81.4%","50%","-",3,10,49,5.2,"59.8%","15.4%","-","-","-","-","-","-","-","-","11.3%","-","-"
"Poppy","Top",119,"52.7%","26.1%","81.4%","55%","-",332,273,767,4,"65.3%","19.5%","-","-","-","-","-","-","-","-","21.0%","-","-"
"Quinn","Middle",10,"4.4%","11.5%","23.5%","40%","-",30,27,48,2.9,"70.3%","19.7%","-","-","-","-","-","-","-","-","22.0%","-","-"
"Quinn","Top",17,"7.5%","11.5%","23.5%","53%","-",75,53,88,3.1,"68.5%","23.0%","-","-","-","-","-","-","-","-","22.7%","-","-"
"Rammus","Top",10,"4.4%","0.4%","4.9%","30%","-",20,38,53,1.9,"64.6%","22.8%","-","-","-","-","-","-","-","-","20.7%","-","-"
"Rek'Sai","Jungle",57,"25.2%","4.4%","29.6%","44%","-",103,151,408,3.4,"74.1%","19.5%","-","-","-","-","-","-","-","-","18.7%","-","-"
"Renekton","Top",1,"0.4%","0.0%","0.4%","100%","-",5,4,8,3.3,"65.0%","36.4%","-","-","-","-","-","-","-","-","-","-","-"
"Rengar","Jungle",5,"2.2%","0.4%","2.7%","40%","-",18,12,16,2.8,"59.6%","20.3%","-","-","-","-","-","-","-","-","19.8%","-","-"
"Rumble","Jungle",1,"0.4%","0.9%","2.2%","0%","-",1,3,2,1,"37.5%","17.6%","-","-","-","-","-","-","-","-","19.0%","-","-"
"Rumble","Top",2,"0.9%","0.9%","2.2%","0%","-",2,12,3,0.4,"71.4%","29.3%","-","-","-","-","-","-","-","-","20.0%","-","-"
"Ryze","Middle",19,"8.4%","45.6%","56.6%","58%","-",59,36,102,4.5,"63.4%","18.3%","-","-","-","-","-","-","-","-","21.7%","-","-"
"Ryze","Top",6,"2.7%","45.6%","56.6%","50%","-",21,15,32,3.5,"70.7%","18.8%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Sejuani","Jungle",4,"1.8%","0.0%","1.8%","0%","-",2,12,34,3,"67.9%","12.5%","-","-","-","-","-","-","-","-","-","-","-"
"Shen","Support",1,"0.4%","0.4%","1.3%","0%","-",0,2,5,2.5,"83.3%","20.0%","-","-","-","-","-","-","-","-","10.3%","-","-"
"Shen","Top",1,"0.4%","0.4%","1.3%","0%","-",0,2,1,0.5,"100.0%","15.4%","-","-","-","-","-","-","-","-","20.0%","-","-"
"Sivir","ADC",62,"27.4%","4.9%","32.3%","60%","-",235,150,400,4.2,"74.8%","19.2%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Skarner","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soraka","Support",1,"0.4%","0.0%","0.4%","0%","-",0,3,3,1,"37.5%","17.6%","-","-","-","-","-","-","-","-","11.2%","-","-"
"Syndra","Middle",2,"0.9%","0.0%","0.9%","50%","-",6,5,17,4.6,"74.2%","17.9%","-","-","-","-","-","-","-","-","22.0%","-","-"
"Tahm Kench","Support",8,"3.5%","11.9%","23.5%","38%","-",6,24,42,2,"64.0%","22.9%","-","-","-","-","-","-","-","-","11.1%","-","-"
"Tahm Kench","Top",18,"8.0%","11.9%","23.5%","56%","-",54,42,108,3.9,"63.3%","18.6%","-","-","-","-","-","-","-","-","21.0%","-","-"
"Thresh","Support",63,"27.9%","7.1%","35.0%","54%","-",43,187,555,3.2,"69.7%","23.2%","-","-","-","-","-","-","-","-","11.1%","-","-"
"Tristana","ADC",32,"14.2%","0.9%","15.0%","41%","-",98,77,97,2.5,"60.0%","17.9%","-","-","-","-","-","-","-","-","24.4%","-","-"
"Trundle","Support",67,"29.6%","9.3%","53.1%","52%","-",60,151,501,3.7,"68.7%","18.7%","-","-","-","-","-","-","-","-","12.4%","-","-"
"Trundle","Top",32,"14.2%","9.3%","53.1%","50%","-",64,76,177,3.2,"64.3%","17.9%","-","-","-","-","-","-","-","-","22.5%","-","-"
"Twisted Fate","Middle",18,"8.0%","20.8%","28.8%","72%","-",64,56,133,3.5,"68.2%","26.8%","-","-","-","-","-","-","-","-","24.2%","-","-"
"Twitch","ADC",3,"1.3%","1.8%","3.1%","33%","-",18,8,11,3.6,"80.6%","20.5%","-","-","-","-","-","-","-","-","25.5%","-","-"
"Varus","Middle",15,"6.6%","2.2%","8.8%","47%","-",36,41,79,2.8,"64.6%","18.9%","-","-","-","-","-","-","-","-","24.1%","-","-"
"Vayne","ADC",8,"3.5%","0.0%","3.5%","38%","-",28,18,32,3.3,"63.2%","15.0%","-","-","-","-","-","-","-","-","23.6%","-","-"
"Veigar","Middle",1,"0.4%","0.0%","0.4%","0%","-",1,3,2,1,"75.0%","27.3%","-","-","-","-","-","-","-","-","-","-","-"
"Viktor","Middle",39,"17.3%","2.7%","19.9%","44%","-",131,105,184,3,"70.0%","19.6%","-","-","-","-","-","-","-","-","24.0%","-","-"
"Yasuo","Middle",1,"0.4%","0.0%","0.4%","0%","-",0,1,1,1,"100.0%","11.1%","-","-","-","-","-","-","-","-","-","-","-"
"Zed","Middle",11,"4.9%","4.4%","9.3%","73%","-",43,36,63,2.9,"61.3%","23.1%","-","-","-","-","-","-","-","-","21.3%","-","-"
"Zilean","Middle",1,"0.4%","0.0%","0.4%","0%","-",2,5,9,2.2,"78.6%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
