"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",16,"6.9%","5.2%","12.1%","44%","57%",52,44,88,3.2,"67.3%","17.5%","-","-","-","-","-","-",528,"27.3%","22.7%",0.38,0.27
"Akali","Middle",1,"0.4%","0.0%","0.9%","0%","0%",2,6,3,0.8,"83.3%","37.5%","-","-","-","-","-","-",477,"31.4%","26.2%",0.42,0.25
"Akali","Top",1,"0.4%","0.0%","0.9%","0%","100%",0,3,0,0,"0.0%","21.4%","-","-","-","-","-","-",420,"31.4%","20.6%",0.39,0.2
"Anivia","Middle",1,"0.4%","0.0%","0.4%","0%","100%",6,3,2,2.7,"53.3%","15.0%","-","-","-","-","-","-",623,"27.8%","26.6%",0.5,0.14
"Ashe","ADC",98,"42.4%","21.2%","63.6%","48%","37%",284,240,595,3.7,"64.2%","19.0%","-","-","-","-","-","-",420,"22.0%","23.0%",0.38,0.25
"Aurelion Sol","Middle",1,"0.4%","0.0%","0.4%","0%","100%",4,2,3,3.5,"46.7%","14.3%","-","-","-","-","-","-",403,"20.9%","23.0%",0.47,0.36
"Azir","Middle",2,"0.9%","0.0%","0.9%","0%","100%",1,12,7,0.7,"57.1%","27.3%","-","-","-","-","-","-",447,"22.9%","22.7%",0.5,0.26
"Bard","Support",4,"1.7%","0.0%","1.7%","50%","75%",2,8,38,5,"63.5%","17.4%","-","-","-","-","-","-",179,"8.2%","11.2%",1.51,0.42
"Braum","Support",14,"6.1%","0.4%","6.5%","43%","77%",8,40,106,2.9,"69.1%","21.3%","-","-","-","-","-","-",131,"6.9%","11.6%",1.56,0.38
"Caitlyn","ADC",67,"29.0%","24.2%","53.2%","45%","42%",202,192,306,2.6,"63.5%","19.1%","-","-","-","-","-","-",529,"27.2%","24.7%",0.36,0.29
"Camille","Support",1,"0.4%","76.6%","92.2%","0%","0%",1,6,8,1.5,"60.0%","21.4%","-","-","-","-","-","-",185,"7.4%","12.6%",1.42,0.61
"Camille","Top",35,"15.2%","76.6%","92.2%","63%","7%",126,78,159,3.7,"60.9%","22.0%","-","-","-","-","-","-",436,"23.9%","22.7%",0.5,0.12
"Cassiopeia","Middle",21,"9.1%","11.7%","20.8%","43%","67%",70,58,97,2.9,"74.6%","21.2%","-","-","-","-","-","-",499,"26.1%","23.6%",0.46,0.17
"Corki","Middle",26,"11.3%","5.2%","16.5%","38%","55%",90,70,126,3.1,"67.5%","18.0%","-","-","-","-","-","-",645,"32.9%","25.0%",0.5,0.25
"Darius","Top",2,"0.9%","0.9%","1.7%","50%","100%",10,5,11,4.2,"70.0%","13.5%","-","-","-","-","-","-",451,"18.2%","22.2%",0.52,0.13
"Ekko","Middle",20,"8.7%","11.7%","20.3%","70%","87%",91,59,76,2.8,"64.5%","24.2%","-","-","-","-","-","-",479,"25.7%","24.0%",0.38,0.16
"Elise","Jungle",67,"29.0%","26.8%","55.8%","61%","42%",206,164,368,3.5,"62.7%","21.6%","-","-","-","-","-","-",309,"15.9%","18.3%",0.93,0.45
"Ezreal","ADC",62,"26.8%","6.1%","32.9%","52%","69%",235,136,283,3.8,"65.7%","16.5%","-","-","-","-","-","-",596,"29.5%","23.7%",0.37,0.22
"Fiora","Top",12,"5.2%","5.6%","10.8%","17%","100%",23,34,10,1,"41.8%","18.9%","-","-","-","-","-","-",406,"25.7%","23.4%",0.48,0.1
"Fizz","Middle",3,"1.3%","13.4%","18.2%","67%","50%",22,6,10,5.3,"62.7%","15.0%","-","-","-","-","-","-",590,"30.4%","25.7%",0.33,0.15
"Fizz","Top",8,"3.5%","13.4%","18.2%","100%","33%",23,10,43,6.6,"48.5%","14.5%","-","-","-","-","-","-",369,"20.0%","20.5%",0.42,0.16
"Galio","Middle",1,"0.4%","1.3%","3.0%","100%","-",1,0,12,13,"81.3%","-","-","-","-","-","-","-",290,"17.2%","19.1%",0.58,0.29
"Galio","Support",1,"0.4%","1.3%","3.0%","0%","-",0,3,1,0.3,"20.0%","21.4%","-","-","-","-","-","-",183,"14.2%","9.1%",1.29,0.21
"Galio","Top",2,"0.9%","1.3%","3.0%","0%","-",2,4,9,2.8,"73.3%","12.9%","-","-","-","-","-","-",402,"24.3%","21.2%",0.53,0.14
"Gangplank","Top",10,"4.3%","3.0%","7.4%","40%","100%",27,29,63,3.1,"60.0%","17.3%","-","-","-","-","-","-",668,"30.2%","26.6%",0.43,0.11
"Gnar","Top",1,"0.4%","0.0%","0.4%","0%","100%",1,3,4,1.7,"50.0%","18.8%","-","-","-","-","-","-",348,"20.5%","22.5%",0.46,0.25
"Gragas","Jungle",14,"6.1%","14.3%","40.3%","36%","86%",30,46,97,2.8,"62.9%","22.1%","-","-","-","-","-","-",284,"14.9%","17.0%",0.83,0.3
"Gragas","Top",46,"19.9%","14.3%","40.3%","57%","53%",85,73,214,4.1,"55.2%","14.9%","-","-","-","-","-","-",367,"20.0%","21.1%",0.48,0.11
"Graves","Jungle",71,"30.7%","30.7%","61.5%","34%","42%",225,204,330,2.7,"64.3%","20.5%","-","-","-","-","-","-",341,"17.9%","20.3%",0.88,0.49
"Ivern","Jungle",18,"7.8%","19.0%","26.8%","56%","75%",20,28,129,5.3,"78.4%","14.4%","-","-","-","-","-","-",134,"7.5%","17.4%",0.8,0.34
"Jarvan IV","Top",1,"0.4%","0.0%","0.4%","0%","100%",1,4,4,1.3,"62.5%","19.0%","-","-","-","-","-","-",278,"19.3%","20.9%",0.38,0
"Jayce","Middle",27,"11.7%","54.5%","72.7%","70%","23%",131,66,168,4.5,"72.2%","22.6%","-","-","-","-","-","-",665,"31.1%","23.2%",0.43,0.28
"Jayce","Top",15,"6.5%","54.5%","72.7%","67%","0%",45,41,68,2.8,"53.3%","21.9%","-","-","-","-","-","-",497,"24.4%","23.0%",0.51,0.14
"Jhin","ADC",69,"29.9%","16.5%","46.3%","59%","48%",294,127,447,5.8,"68.1%","14.3%","-","-","-","-","-","-",552,"26.6%","23.1%",0.39,0.17
"Jinx","ADC",1,"0.4%","0.0%","0.4%","0%","100%",5,2,6,5.5,"73.3%","10.0%","-","-","-","-","-","-",795,"35.5%","26.7%",0.42,0.25
"Kalista","ADC",1,"0.4%","0.4%","0.9%","100%","100%",8,3,16,8,"88.9%","17.6%","-","-","-","-","-","-",712,"30.5%","22.5%",0.35,0.17
"Karma","Middle",19,"8.2%","17.3%","55.0%","58%","31%",51,45,148,4.4,"77.1%","16.2%","-","-","-","-","-","-",578,"28.3%","22.5%",0.51,0.19
"Karma","Support",68,"29.4%","17.3%","55.0%","46%","45%",44,161,510,3.4,"71.4%","18.6%","-","-","-","-","-","-",183,"10.3%","11.6%",1.47,0.48
"Kassadin","Middle",8,"3.5%","2.2%","5.6%","50%","100%",34,23,35,3,"65.7%","20.0%","-","-","-","-","-","-",540,"29.6%","23.2%",0.45,0.14
"Katarina","Middle",4,"1.7%","0.9%","2.6%","50%","75%",31,20,35,3.3,"78.6%","28.2%","-","-","-","-","-","-",516,"22.7%","22.9%",0.6,0.18
"Kennen","ADC",3,"1.3%","14.7%","21.2%","67%","100%",12,10,15,2.7,"56.3%","23.3%","-","-","-","-","-","-",465,"24.9%","25.3%",0.42,0.2
"Kennen","Top",12,"5.2%","14.7%","21.2%","33%","78%",30,40,51,2,"54.7%","20.4%","-","-","-","-","-","-",452,"25.6%","24.7%",0.52,0.17
"Kha'Zix","Jungle",78,"33.8%","20.8%","54.5%","53%","59%",267,211,431,3.3,"62.3%","20.1%","-","-","-","-","-","-",338,"16.6%","18.4%",0.78,0.35
"Kindred","Jungle",1,"0.4%","0.0%","0.4%","0%","100%",0,3,1,0.3,"100.0%","16.7%","-","-","-","-","-","-",218,"13.1%","19.6%",0.97,0.57
"Kled","Middle",1,"0.4%","14.3%","25.5%","0%","100%",0,2,2,1,"66.7%","22.2%","-","-","-","-","-","-",246,"24.7%","25.7%",0.45,0.28
