"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",14,"4.9%","51.9%","84.0%","57%","43%",61,36,88,4.1,"59.4%","20.7%","36%",85,51,0.5,5.6,"17.1%",320,"15.8%","18.8%",0.48,0.37
"Aatrox","Middle",14,"4.9%","51.9%","84.0%","36%","29%",30,34,56,2.5,"62.8%","16.9%","14%",-235,-148,-6.7,8.3,"25.0%",337,"22.4%","23.1%",0.41,0.22
"Aatrox","Top",64,"22.3%","51.9%","84.0%","58%","38%",165,188,293,2.4,"50.5%","23.5%","19%",-81,16,-1,8.1,"25.3%",385,"20.6%","21.5%",0.48,0.18
"Akali","Middle",22,"7.7%","26.5%","43.2%","55%","50%",83,60,71,2.6,"53.7%","23.3%","5%",-252,-209,-5.9,8.2,"23.1%",359,"21.6%","21.5%",0.42,0.22
"Akali","Top",26,"9.1%","26.5%","43.2%","58%","46%",91,62,122,3.4,"51.8%","18.8%","23%",57,158,2.4,8.2,"24.2%",426,"22.7%","21.7%",0.37,0.19
"Alistar","Support",37,"12.9%","9.8%","22.6%","62%","81%",45,102,353,3.9,"71.3%","22.7%","43%",137,42,5.9,1.7,"5.7%",127,"7.0%","10.1%",1.55,0.29
"Ashe","ADC",16,"5.6%","2.4%","8.0%","44%","50%",39,45,121,3.6,"69.6%","19.8%","31%",-235,-116,-4.9,9.5,"29.8%",534,"27.3%","25.0%",0.36,0.44
"Aurelion Sol","Top",1,"0.3%","0.0%","0.3%","0%","100%",0,5,1,0.2,"14.3%","18.5%","0%",-410,-473,-5,7.2,"23.5%",262,"21.1%","17.6%",0.41,0.15
"Azir","Middle",47,"16.4%","8.7%","25.1%","47%","49%",120,119,202,2.7,"59.4%","18.2%","9%",34,176,4,9.1,"27.3%",508,"28.4%","23.9%",0.43,0.31
"Bard","Support",5,"1.7%","0.0%","1.7%","60%","100%",2,10,52,5.4,"68.4%","18.9%","20%",-34,-152,-10.2,0.5,"2.0%",217,"11.0%","9.3%",1.75,0.44
"Braum","Support",49,"17.1%","4.2%","21.3%","45%","82%",15,144,434,3.1,"70.2%","20.6%","24%",-115,-87,2.8,2.1,"7.3%",136,"6.9%","10.5%",1.57,0.29
"Caitlyn","ADC",25,"8.7%","4.2%","12.9%","44%","72%",78,61,112,3.1,"62.9%","18.9%","20%",281,192,8.1,9.5,"31.0%",536,"28.6%","26.6%",0.33,0.34
"Camille","Jungle",2,"0.7%","10.1%","22.3%","50%","100%",6,7,11,2.4,"73.9%","22.6%","50%",-771,-46,-5,5.8,"21.2%",286,"14.6%","19.9%",0.26,0.32
"Camille","Middle",5,"1.7%","10.1%","22.3%","20%","60%",24,13,18,3.2,"72.4%","13.8%","0%",-549,-334,-2.6,8.5,"26.7%",471,"24.7%","27.1%",0.35,0.19
"Camille","Top",28,"9.8%","10.1%","22.3%","54%","75%",93,75,105,2.6,"56.3%","21.6%","18%",17,39,-0.7,8.2,"25.6%",387,"20.8%","22.3%",0.4,0.21
