"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Cassiopeia","Middle",6,"2.1%","3.1%","5.2%","50%","50%",18,13,28,3.5,"64.8%","20.6%","50%",86,-51,1.2,8.7,"26.8%",316,"23.9%","23.5%",0.5,0.19
"Corki","ADC",1,"0.3%","11.1%","36.6%","0%","0%",1,6,3,0.7,"57.1%","22.2%","0%",-30,310,1,9.5,"35.5%",610,"34.8%","27.8%",0.39,0.21
"Corki","Middle",61,"21.3%","11.1%","36.6%","59%","39%",245,135,292,4,"65.3%","17.5%","16%",154,4,2.7,9.3,"28.0%",603,"30.0%","25.7%",0.45,0.31
"Corki","Top",11,"3.8%","11.1%","36.6%","45%","55%",34,25,36,2.8,"49.6%","16.4%","9%",69,-256,1.2,8.4,"26.1%",538,"29.2%","24.2%",0.44,0.19
"Dr. Mundo","Top",2,"0.7%","0.0%","0.7%","50%","50%",3,8,9,1.5,"66.7%","24.2%","0%",-232,128,-8,7.4,"24.7%",423,"27.6%","20.9%",0.52,0.22
"Draven","ADC",1,"0.3%","2.8%","3.1%","100%","100%",6,4,10,4,"57.1%","19.0%","0%",274,379,8,9.6,"31.3%",478,"20.2%","26.7%",0.45,0.5
"Elise","Jungle",21,"7.3%","3.8%","11.1%","57%","76%",43,71,116,2.2,"54.6%","23.4%","10%",-143,-164,-1.6,4.7,"12.6%",300,"15.7%","15.6%",0.92,0.51
"Ezreal","ADC",77,"26.8%","15.0%","41.8%","39%","49%",270,166,304,3.5,"65.9%","15.5%","16%",57,-111,-2.1,9.5,"31.3%",694,"35.4%","27.7%",0.4,0.33
"Fiddlesticks","Support",5,"1.7%","1.7%","3.5%","40%","100%",3,16,36,2.4,"65.0%","23.5%","40%",26,-12,-4.2,0.6,"2.3%",217,"12.3%","8.7%",1.38,0.36
"Fiora","Top",12,"4.2%","3.1%","7.3%","42%","100%",26,28,34,2.1,"46.2%","19.4%","8%",-321,-218,-3.8,8.8,"28.4%",372,"22.6%","22.8%",0.44,0.15
"Galio","Support",23,"8.0%","4.9%","12.9%","61%","70%",23,72,224,3.4,"69.8%","24.2%","13%",-76,-48,2.6,1.9,"6.8%",155,"8.6%","10.5%",1.59,0.24
"Gangplank","Middle",1,"0.3%","20.2%","34.8%","100%","100%",2,1,5,7,"31.8%","9.1%","0%",-134,189,-7,8.7,"27.9%",471,"19.7%","23.9%",0.54,0.12
"Gangplank","Top",41,"14.3%","20.2%","34.8%","63%","51%",90,84,269,4.3,"63.5%","17.3%","12%",-111,-88,-7.5,8.4,"26.6%",527,"26.5%","24.0%",0.46,0.16
"Gnar","Top",12,"4.2%","0.0%","4.2%","58%","75%",30,30,55,2.8,"57.8%","19.2%","17%",308,369,8.8,8.2,"26.0%",504,"23.9%","23.4%",0.43,0.16
"Gragas","Jungle",68,"23.7%","19.9%","45.3%","57%","37%",192,182,505,3.8,"69.3%","22.2%","44%",-87,-107,-3.7,4.8,"13.1%",363,"18.9%","16.9%",0.88,0.35
"Gragas","Support",5,"1.7%","19.9%","45.3%","60%","60%",3,16,36,2.4,"54.2%","23.9%","40%",-329,-337,-1.3,1.4,"4.4%",203,"9.8%","9.8%",1.41,0.2
"Hecarim","Top",5,"1.7%","0.3%","2.1%","40%","60%",13,13,34,3.6,"70.1%","18.8%","20%",-316,-401,-10,7.8,"25.2%",328,"18.1%","21.5%",0.48,0.2
"Irelia","ADC",1,"0.3%","61.3%","85.0%","100%","100%",9,3,8,5.7,"70.8%","25.0%","0%",394,222,13,9.7,"26.8%",533,"24.3%","25.6%",0.2,0.27
"Irelia","Middle",40,"13.9%","61.3%","85.0%","45%","45%",158,130,199,2.7,"67.9%","23.2%","15%",97,13,5.3,8.6,"25.9%",372,"20.4%","24.6%",0.4,0.16
"Irelia","Top",27,"9.4%","61.3%","85.0%","44%","15%",83,95,113,2.1,"55.1%","25.8%","22%",13,-44,7.9,8.5,"26.3%",323,"18.2%","22.9%",0.45,0.13
"Jarvan IV","Jungle",83,"28.9%","17.8%","46.7%","52%","52%",143,263,787,3.5,"84.5%","23.2%","47%",-48,-174,-2.9,4.6,"12.3%",185,"10.3%","16.1%",0.78,0.49
"Jax","Top",14,"4.9%","4.2%","9.1%","57%","100%",51,31,49,3.2,"58.1%","19.9%","43%",-210,-98,-8.8,8.2,"26.8%",362,"20.3%","24.0%",0.4,0.16
"Jayce","Middle",31,"10.8%","48.4%","65.2%","58%","35%",125,77,180,4,"68.7%","20.0%","29%",56,-30,1.7,8.4,"25.0%",578,"29.2%","23.6%",0.41,0.37
"Jayce","Top",17,"5.9%","48.4%","65.2%","53%","24%",39,56,90,2.3,"57.8%","24.3%","12%",50,-113,4.7,8.3,"26.5%",499,"26.0%","22.1%",0.46,0.28
"Jhin","ADC",3,"1.0%","0.0%","1.0%","100%","67%",17,5,19,7.2,"69.2%","19.2%","33%",989,393,15.3,9.8,"30.4%",750,"38.4%","27.8%",0.37,0.37
"Jinx","ADC",8,"2.8%","0.0%","2.8%","38%","100%",24,16,29,3.3,"67.9%","15.1%","13%",-300,-143,-4.1,9.7,"31.2%",490,"27.6%","26.8%",0.39,0.31
"Kai'Sa","ADC",109,"38.0%","8.7%","46.7%","59%","52%",533,230,554,4.7,"68.4%","16.6%","25%",41,45,1,9.5,"30.8%",498,"27.5%","27.1%",0.36,0.38
"Kalista","ADC",16,"5.6%","8.7%","14.3%","56%","56%",54,30,91,4.8,"70.0%","17.4%","19%",339,212,10.3,9.1,"29.9%",313,"18.0%","25.5%",0.52,0.34
"Karma","ADC",1,"0.3%","50.9%","70.0%","0%","0%",0,2,4,2,"40.0%","13.3%","0%",-557,-312,-20,8.9,"27.2%",309,"20.3%","23.1%",0.29,0.4
"Karma","Middle",28,"9.8%","50.9%","70.0%","57%","46%",56,52,271,6.3,"77.1%","14.4%","11%",26,15,-0.3,7.1,"19.7%",374,"18.9%","19.6%",0.47,0.22
"Karma","Support",11,"3.8%","50.9%","70.0%","27%","64%",3,28,68,2.5,"70.3%","17.0%","9%",-32,-120,-7.1,0.6,"2.2%",191,"11.3%","8.8%",1.37,0.31
"Karma","Top",15,"5.2%","50.9%","70.0%","53%","0%",24,36,104,3.6,"59.5%","18.8%","13%",399,389,6.4,7.4,"20.6%",383,"20.2%","20.2%",0.47,0.23
"Karthus","Jungle",21,"7.3%","13.2%","20.6%","38%","57%",72,67,119,2.9,"73.7%","22.6%","38%",88,136,6.4,6,"16.2%",512,"26.4%","19.8%",0.6,0.31
"Kassadin","Middle",1,"0.3%","0.0%","0.3%","0%","100%",1,4,1,0.5,"40.0%","33.3%","100%",-149,-50,-2,8.1,"26.6%",246,"26.4%","22.4%",0.21,0.14
"Kayn","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",7,7,8,2.1,"83.3%","23.3%","0%",-391,-163,15,4.7,"11.8%",667,"20.0%","20.5%",0.28,0.06
"Kennen","Middle",5,"1.7%","14.3%","34.1%","20%","60%",14,11,18,2.9,"61.5%","17.2%","0%",-242,-115,-8.8,8.1,"22.9%",480,"26.9%","23.3%",0.52,0.19
"Kennen","Top",52,"18.1%","14.3%","34.1%","38%","46%",122,165,233,2.2,"57.4%","23.6%","21%",117,-60,-0.2,7.7,"23.1%",428,"24.1%","22.1%",0.42,0.2
"Kha'Zix","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",5,6,1,1,"75.0%","25.0%","100%",-286,-803,-12,4.2,"14.5%",318,"23.5%","26.2%",0.37,0.2
"Kindred","Jungle",7,"2.4%","2.1%","4.5%","29%","100%",14,23,37,2.2,"64.6%","22.8%","14%",15,322,9.6,5.9,"17.6%",325,"17.6%","19.3%",0.34,0.51
"Kled","Middle",1,"0.3%","1.7%","2.4%","0%","100%",0,3,5,1.7,"83.3%","15.0%","0%",-484,-274,-8,7.6,"22.3%",257,"20.1%","21.8%",0.22,0.07
"Kled","Top",1,"0.3%","1.7%","2.4%","0%","100%",1,7,0,0.1,"33.3%","38.9%","0%",-1007,-1252,-27,6.7,"23.7%",285,"30.4%","17.3%",0.41,0.15
"Kog'Maw","ADC",3,"1.0%","0.0%","1.0%","67%","100%",16,10,15,3.1,"48.4%","31.3%","33%",298,-136,-2.7,9.8,"31.0%",601,"26.0%","26.4%",0.36,0.38
"LeBlanc","Middle",12,"4.2%","14.6%","19.2%","50%","100%",33,21,82,5.5,"67.6%","14.6%","42%",51,56,-3.4,7.4,"21.5%",499,"26.9%","20.9%",0.47,0.27
"LeBlanc","Top",1,"0.3%","14.6%","19.2%","100%","100%",5,1,6,11,"68.8%","16.7%","0%",-1402,-786,-22,6.9,"17.8%",376,"19.1%","21.0%",0.31,0.41
"Lee Sin","Jungle",31,"10.8%","2.4%","13.2%","35%","84%",64,99,168,2.3,"69.0%","22.6%","23%",-196,-121,-2.3,4.7,"13.4%",202,"11.8%","17.1%",0.61,0.33
"Leona","Support",9,"3.1%","0.7%","3.8%","44%","56%",12,31,85,3.1,"73.5%","22.5%","44%",285,49,6.9,1.9,"7.3%",137,"7.6%","11.3%",1.44,0.37
"Lissandra","Middle",5,"1.7%","0.3%","2.1%","40%","80%",14,16,29,2.7,"69.4%","18.4%","20%",20,58,-3.4,8.2,"25.4%",441,"22.5%","22.3%",0.36,0.33
"Lucian","ADC",61,"21.3%","15.7%","38.7%","54%","38%",232,146,304,3.7,"61.5%","17.4%","23%",24,37,5.3,9.6,"32.4%",464,"24.4%","26.7%",0.4,0.37
"Lucian","Middle",4,"1.4%","15.7%","38.7%","25%","50%",10,12,11,1.8,"52.5%","19.7%","25%",535,533,19,9.2,"24.6%",405,"25.1%","23.9%",0.43,0.35
"Lucian","Top",1,"0.3%","15.7%","38.7%","100%","100%",11,2,4,7.5,"71.4%","18.2%","100%",1965,1126,36,8.5,"27.0%",1313,"44.6%","30.2%",0.37,0.37
"Lulu","Middle",7,"2.4%","0.3%","2.8%","57%","86%",13,13,52,5,"76.5%","16.5%","29%",-27,-1,-4.1,7.5,"21.5%",272,"15.2%","20.0%",0.35,0.25
"Lux","Support",69,"24.0%","20.9%","44.9%","59%","32%",69,144,643,4.9,"73.8%","18.8%","25%",-36,-141,-8,0.6,"2.7%",224,"12.1%","10.4%",1.27,0.39
"Malzahar","Middle",1,"0.3%","0.0%","0.3%","0%","100%",1,4,2,0.8,"37.5%","22.2%","0%",-342,-26,-11,7.2,"18.9%",297,"21.0%","19.2%",0.47,0.16
"Mordekaiser","Top",16,"5.6%","6.6%","12.2%","56%","44%",55,44,54,2.5,"47.0%","18.9%","13%",-56,92,-1.2,7.5,"24.3%",347,"19.1%","21.6%",0.46,0.11
"Morgana","Support",15,"5.2%","7.0%","12.2%","60%","67%",16,45,150,3.7,"66.1%","21.2%","13%",-93,-36,-2.6,1,"4.2%",190,"8.9%","10.8%",1.47,0.36
"Nautilus","Middle",7,"2.4%","19.9%","52.3%","57%","86%",21,25,56,3.1,"65.8%","21.9%","43%",374,289,8.4,7.5,"23.3%",416,"20.3%","20.7%",0.28,0.22
"Nautilus","Support",86,"30.0%","19.9%","52.3%","43%","40%",65,294,622,2.3,"63.7%","23.4%","19%",3,-37,5.3,1.9,"6.6%",141,"8.3%","10.3%",1.47,0.27
"Neeko","Middle",40,"13.9%","38.0%","60.6%","45%","33%",98,116,226,2.8,"66.3%","22.0%","38%",116,97,4.6,8.1,"22.7%",401,"22.9%","21.2%",0.42,0.24
"Neeko","Top",25,"8.7%","38.0%","60.6%","44%","36%",51,92,144,2.1,"52.6%","23.4%","12%",178,50,8,7.1,"20.7%",445,"21.7%","19.2%",0.47,0.16
"Nidalee","Jungle",3,"1.0%","5.6%","6.6%","0%","100%",5,12,8,1.1,"72.2%","20.7%","33%",65,217,15.3,5.9,"15.6%",302,"18.1%","19.9%",0.6,0.51
"Nocturne","Jungle",5,"1.7%","0.7%","2.8%","20%","80%",15,19,40,2.9,"73.3%","19.6%","0%",-361,-149,0,5,"14.5%",243,"12.4%","17.9%",0.6,0.36
"Nocturne","Middle",1,"0.3%","0.7%","2.8%","100%","0%",1,3,12,4.3,"44.8%","20.0%","0%",160,45,2,6.5,"18.7%",350,"12.9%","17.3%",0.59,0.32
"Olaf","Jungle",71,"24.7%","63.4%","88.5%","61%","28%",251,181,348,3.3,"60.8%","20.4%","39%",298,358,8.5,5.3,"13.9%",312,"16.5%","18.5%",0.46,0.47
"Olaf","Top",1,"0.3%","63.4%","88.5%","100%","0%",2,0,7,9,"81.8%","0.0%","0%",726,654,2,8.6,"22.6%",279,"24.0%","21.4%",0.55,0.21
"Orianna","ADC",1,"0.3%","0.3%","1.0%","0%","100%",4,2,5,4.5,"60.0%","9.5%","0%",113,-2,-11,8.9,"29.4%",435,"24.0%","24.2%",0.46,0.19
"Orianna","Middle",1,"0.3%","0.3%","1.0%","100%","100%",4,0,10,14,"87.5%","0.0%","0%",-614,-362,-9,8.7,"25.8%",623,"31.8%","25.3%",0.57,0.48
"Ornn","Top",2,"0.7%","0.0%","0.7%","50%","100%",4,3,12,5.3,"55.2%","14.3%","0%",-307,-211,-15.5,5.8,"14.6%",263,"17.0%","17.0%",0.51,0.11
"Pantheon","Middle",3,"1.0%","1.4%","3.5%","67%","67%",12,13,34,3.5,"68.7%","25.5%","33%",103,-348,-3,8.1,"24.8%",532,"20.2%","21.8%",0.14,0.35
"Pantheon","Support",3,"1.0%","1.4%","3.5%","0%","100%",4,18,12,0.9,"66.7%","25.4%","33%",-233,-158,15,2,"7.2%",162,"11.3%","10.7%",1.07,0.38
"Poppy","Jungle",4,"1.4%","1.0%","4.2%","50%","75%",4,10,28,3.2,"65.3%","18.2%","0%",132,27,-2.3,4.6,"11.5%",162,"9.3%","15.2%",0.63,0.35
"Poppy","Middle",1,"0.3%","1.0%","4.2%","100%","100%",4,4,13,4.3,"85.0%","22.2%","0%",564,-160,-14,6.6,"19.3%",452,"18.3%","20.2%",0.6,0.1
"Poppy","Top",4,"1.4%","1.0%","4.2%","25%","50%",3,11,17,1.8,"48.8%","19.6%","25%",-331,-298,-5,8,"22.8%",336,"16.6%","19.8%",0.48,0.16
"Pyke","ADC",1,"0.3%","4.9%","10.8%","100%","100%",5,4,10,3.8,"55.6%","40.0%","0%",-1511,-491,-84,1.8,"8.1%",242,"10.4%","14.6%",1.87,0.6
"Pyke","Support",13,"4.5%","4.9%","10.8%","69%","92%",40,40,97,3.4,"56.6%","21.7%","31%",11,113,5.4,1.9,"6.5%",170,"8.1%","12.8%",1.28,0.4
"Pyke","Top",3,"1.0%","4.9%","10.8%","67%","100%",14,6,11,4.2,"64.1%","19.4%","33%",-630,-590,-16,7.3,"19.9%",300,"19.9%","21.2%",0.34,0.43
"Qiyana","Middle",28,"9.8%","15.3%","25.4%","64%","57%",136,70,136,3.9,"55.7%","20.9%","29%",17,-42,-2.2,7.8,"22.0%",474,"22.2%","21.5%",0.43,0.38
"Qiyana","Top",1,"0.3%","15.3%","25.4%","0%","0%",2,6,3,0.8,"83.3%","28.6%","100%",200,18,3,7.3,"20.5%",402,"27.5%","24.3%",0.32,0.28
"Quinn","Middle",1,"0.3%","0.0%","0.7%","0%","100%",1,3,1,0.7,"33.3%","30.0%","0%",-1187,-769,-16,7.4,"20.9%",184,"15.1%","20.9%",0.43,0
"Quinn","Top",1,"0.3%","0.0%","0.7%","0%","0%",0,2,1,0.5,"25.0%","11.8%","100%",111,559,3,9.3,"29.0%",399,"22.5%","22.8%",0.45,0.24
"Rakan","Support",44,"15.3%","8.4%","23.7%","36%","48%",26,105,367,3.7,"74.4%","17.6%","16%",-155,-66,-11.5,0.6,"2.7%",142,"8.3%","9.5%",1.44,0.47
"Rek'Sai","Jungle",56,"19.5%","15.3%","34.8%","48%","48%",170,169,263,2.6,"64.3%","24.2%","38%",70,76,2.2,5.1,"13.9%",246,"14.1%","18.3%",0.89,0.51
"Renekton","Middle",13,"4.5%","22.6%","46.7%","54%","85%",39,31,55,3,"57.3%","19.5%","15%",-110,-285,-1.2,8.1,"23.7%",315,"18.3%","22.0%",0.44,0.24
"Renekton","Top",56,"19.5%","22.6%","46.7%","36%","52%",135,163,228,2.2,"51.0%","20.2%","36%",170,97,1.7,8,"25.4%",296,"17.0%","22.5%",0.46,0.24
"Riven","Middle",1,"0.3%","0.0%","0.7%","100%","100%",3,0,12,15,"68.2%","0.0%","0%",-232,112,-16,8,"27.6%",458,"21.8%","22.4%",0.44,0
"Riven","Top",1,"0.3%","0.0%","0.7%","100%","100%",5,2,8,6.5,"81.3%","20.0%","0%",-510,-194,1,8.9,"25.7%",429,"23.8%","24.6%",0.59,0.13
"Rumble","Middle",9,"3.1%","4.2%","10.1%","78%","67%",44,24,68,4.7,"70.9%","22.6%","33%",-42,-193,-9,7,"19.8%",534,"26.5%","20.0%",0.47,0.2
"Rumble","Top",8,"2.8%","4.2%","10.1%","25%","100%",22,31,29,1.6,"72.9%","27.0%","13%",-134,-155,-2,7,"20.1%",458,"29.4%","21.4%",0.4,0.09
"Ryze","Middle",30,"10.5%","24.7%","42.9%","47%","40%",91,89,136,2.6,"58.4%","21.5%","17%",-71,2,-0.5,9.2,"28.1%",436,"25.4%","23.9%",0.49,0.14
"Ryze","Top",22,"7.7%","24.7%","42.9%","59%","36%",44,62,102,2.4,"59.6%","22.9%","18%",-14,49,3.1,8.3,"25.9%",466,"26.9%","23.0%",0.52,0.15
"Sejuani","Jungle",67,"23.3%","28.9%","54.4%","49%","36%",147,149,540,4.6,"75.6%","17.1%","28%",-8,28,-0.6,4.9,"13.5%",247,"13.6%","17.0%",0.5,0.45
"Sejuani","Support",3,"1.0%","28.9%","54.4%","100%","67%",4,6,52,9.3,"78.9%","18.2%","67%",96,203,11.3,2,"6.4%",212,"8.7%","12.1%",1.38,0.3
"Sejuani","Top",3,"1.0%","28.9%","54.4%","0%","33%",2,17,19,1.2,"67.7%","32.1%","67%",-151,-267,-5.3,6.5,"19.1%",284,"17.4%","18.0%",0.46,0.19
"Sion","Top",19,"6.6%","1.0%","7.7%","63%","74%",22,54,117,2.6,"52.3%","21.3%","16%",-380,-191,-8.3,6.7,"19.6%",290,"15.2%","17.4%",0.46,0.13
"Sivir","ADC",93,"32.4%","27.2%","59.6%","47%","29%",343,208,522,4.2,"73.9%","16.6%","11%",-47,-16,3.2,10.4,"36.4%",605,"31.1%","28.9%",0.39,0.38
"Skarner","Jungle",8,"2.8%","1.4%","4.5%","50%","100%",7,24,59,2.8,"57.9%","23.8%","38%",-82,50,-3.8,4.5,"11.7%",101,"5.5%","14.6%",0.91,0.37
"Skarner","Middle",1,"0.3%","1.4%","4.5%","100%","0%",2,2,16,9,"75.0%","16.7%","100%",254,-1123,-22,7.9,"24.3%",319,"14.6%","20.4%",0.68,0.41
"Sona","ADC",14,"4.9%","7.7%","12.9%","50%","50%",30,29,84,3.9,"78.6%","16.6%","7%",-457,-318,-52.8,5.4,"21.3%",413,"25.4%","22.8%",0.86,0.33
"Sona","Support",1,"0.3%","7.7%","12.9%","100%","100%",2,1,14,16,"88.9%","20.0%","0%",343,631,-2,0.6,"3.1%",282,"13.9%","13.7%",1.07,0.22
"Swain","ADC",1,"0.3%","0.0%","0.3%","0%","100%",0,2,1,0.5,"25.0%","11.1%","0%",-153,255,0,8.1,"24.7%",345,"26.0%","21.3%",0.35,0.08
"Sylas","Jungle",46,"16.0%","41.8%","87.1%","63%","30%",169,135,251,3.1,"67.6%","24.6%","28%",-25,77,-1.2,5.4,"15.4%",348,"17.9%","18.8%",0.4,0.4
"Sylas","Middle",60,"20.9%","41.8%","87.1%","45%","28%",220,162,301,3.2,"68.0%","19.7%","18%",-79,93,-2.6,8.4,"25.3%",458,"24.9%","23.2%",0.39,0.21
"Sylas","Top",24,"8.4%","41.8%","87.1%","67%","33%",87,66,140,3.4,"57.5%","21.1%","21%",277,215,3.5,7.6,"23.7%",464,"24.0%","21.4%",0.46,0.16
"Syndra","Middle",4,"1.4%","0.7%","2.4%","50%","100%",14,9,27,4.6,"77.4%","17.3%","0%",291,310,8.8,8.2,"24.4%",559,"28.0%","21.5%",0.32,0.18
"Syndra","Top",1,"0.3%","0.7%","2.4%","0%","0%",0,5,3,0.6,"25.0%","33.3%","-","-","-","-",7.8,"-",393,"22.3%","19.3%",0.49,0.34
"Tahm Kench","Support",88,"30.7%","17.8%","48.8%","55%","31%",55,238,691,3.1,"63.2%","19.8%","23%",144,152,10,2.3,"7.7%",133,"6.9%","11.3%",1.5,0.23
"Tahm Kench","Top",1,"0.3%","17.8%","48.8%","100%","100%",1,1,8,9,"36.0%","6.7%","0%",-165,82,3,5.2,"15.2%",275,"15.3%","13.2%",0.43,0.24
"Taliyah","Jungle",3,"1.0%","8.0%","16.4%","0%","67%",8,14,17,1.8,"69.4%","22.2%","67%",-111,-275,-12,5.6,"16.7%",386,"22.6%","19.0%",0.79,0.37
"Taliyah","Middle",21,"7.3%","8.0%","16.4%","38%","48%",69,67,114,2.7,"71.5%","20.3%","24%",-100,-192,-5.1,7.7,"23.7%",480,"27.5%","22.1%",0.39,0.18
"Talon","Top",1,"0.3%","0.0%","0.3%","0%","100%",3,5,1,0.8,"80.0%","21.7%","0%",281,280,23,7.8,"18.0%",429,"35.0%","27.9%",0.47,0.13
"Taric","Support",11,"3.8%","1.0%","4.9%","27%","64%",5,25,59,2.6,"74.4%","17.9%","18%",-4,10,20.5,2.8,"7.4%",59,"3.6%","10.9%",1.21,0.26
"Thresh","Support",5,"1.7%","1.7%","3.5%","80%","100%",8,5,45,10.6,"81.5%","16.1%","20%",74,-271,12.6,1.4,"3.7%",104,"7.2%","10.0%",1.66,0.3
"Tristana","ADC",2,"0.7%","0.7%","4.2%","0%","100%",4,3,4,2.7,"57.1%","12.0%","100%",340,139,-0.5,10.1,"33.5%",363,"30.2%","28.3%",0.39,0.57
"Tristana","Middle",7,"2.4%","0.7%","4.2%","43%","71%",20,14,20,2.9,"46.0%","17.3%","14%",-368,-246,-4.3,8.8,"26.1%",389,"20.4%","23.3%",0.38,0.44
"Tristana","Top",1,"0.3%","0.7%","4.2%","100%","100%",1,0,7,8,"33.3%","0.0%","0%",-571,-1016,-22,8.9,"29.5%",238,"9.7%","22.4%",0.37,0.34
"Trundle","Jungle",26,"9.1%","2.4%","11.5%","42%","96%",46,76,199,3.2,"78.3%","21.5%","31%",-105,-294,-4.9,4.4,"10.9%",168,"9.4%","15.9%",0.71,0.51
"Twisted Fate","Middle",1,"0.3%","2.8%","4.2%","0%","100%",2,3,2,1.3,"44.4%","14.3%","0%",-422,-834,-21,7.5,"22.0%",298,"17.2%","23.1%",0.42,0.11
"Twisted Fate","Top",3,"1.0%","2.8%","4.2%","67%","67%",10,5,19,5.8,"67.4%","15.6%","33%",646,68,5.3,8.2,"23.3%",319,"15.4%","24.4%",0.46,0.26
"Varus","ADC",31,"10.8%","5.2%","16.7%","58%","48%",122,73,155,3.8,"61.6%","17.5%","19%",221,110,4.4,9.9,"29.6%",530,"27.5%","26.5%",0.35,0.48
"Varus","Middle",2,"0.7%","5.2%","16.7%","100%","100%",6,3,14,6.7,"62.5%","17.6%","50%",3,79,2.5,8.4,"23.2%",678,"31.2%","21.0%",0.46,0.25
"Vayne","ADC",13,"4.5%","0.7%","5.2%","54%","92%",61,29,53,3.9,"64.4%","17.9%","8%",-104,282,10.2,8.9,"29.6%",411,"21.5%","25.8%",0.37,0.41
"Vel'Koz","Middle",1,"0.3%","0.0%","0.3%","0%","100%",1,4,2,0.8,"50.0%","20.0%","0%",73,389,12,8.5,"30.1%",357,"26.1%","24.1%",0.44,0.11
"Vi","Jungle",1,"0.3%","0.0%","0.3%","100%","100%",3,5,5,1.6,"36.4%","35.7%","100%",270,315,17,5.2,"15.3%",213,"8.9%","16.4%",0.28,0.28
"Viktor","ADC",1,"0.3%","1.0%","5.2%","100%","100%",4,2,8,6,"66.7%","50.0%","0%",-609,-477,-63,7,"26.2%",642,"29.6%","24.2%",1.01,0.29
"Viktor","Middle",3,"1.0%","1.0%","5.2%","67%","100%",16,8,18,4.3,"68.0%","20.5%","33%",-224,-22,-5,10,"33.4%",791,"35.9%","27.2%",0.32,0.15
"Viktor","Top",8,"2.8%","1.0%","5.2%","25%","88%",22,33,25,1.4,"63.5%","22.4%","0%",-204,-124,-1,7.9,"24.4%",541,"32.2%","22.8%",0.48,0.1
"Vladimir","ADC",2,"0.7%","9.8%","24.7%","0%","100%",3,4,4,1.8,"50.0%","11.1%","0%",-620,-367,-14.5,8.5,"29.0%",328,"20.8%","23.9%",0.3,0.21
