"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",1,"0.4%","0.0%","0.4%","100%","-",17,3,12,9.7,"72.5%","15.0%","-","-","-","-","-","-",1072,"33.2%","25.9%",0.16,0.41
"Alistar","Support",56,"24.1%","7.8%","31.9%","52%","-",28,192,544,3,"70.0%","23.5%","-","-","-","-","-","-",105,"5.4%","11.2%",1.53,0.37
"Anivia","-",0,"0%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Annie","Support",1,"0.4%","0.0%","0.4%","0%","-",1,8,14,1.9,"75.0%","23.5%","-","-","-","-","-","-",203,"10.2%","13.4%",1.18,0.24
"Ashe","ADC",56,"24.1%","5.2%","29.3%","57%","-",212,133,355,4.3,"67.4%","18.8%","-","-","-","-","-","-",512,"25.7%","23.6%",0.39,0.27
"Aurelion Sol","Middle",1,"0.4%","0.0%","0.4%","0%","-",1,9,6,0.8,"77.8%","45.0%","-","-","-","-","-","-",529,"39.4%","20.5%",0.42,0.09
"Azir","Middle",72,"31.0%","19.8%","50.9%","47%","-",233,198,363,3,"67.1%","20.5%","-","-","-","-",8.2,"-",594,"30.3%","24.1%",0.45,0.24
"Bard","Support",60,"25.9%","10.3%","36.2%","50%","-",55,203,537,2.9,"71.7%","23.6%","-","-","-","-","-","-",181,"9.0%","11.5%",1.39,0.42
"Braum","Support",139,"59.9%","9.9%","69.8%","56%","-",80,468,1427,3.2,"70.0%","24.2%","-","-","-","-","-","-",144,"6.9%","11.5%",1.48,0.39
"Caitlyn","ADC",21,"9.1%","11.2%","20.3%","43%","-",69,65,109,2.7,"68.5%","20.6%","-","-","-","-","-","-",559,"26.8%","25.8%",0.35,0.23
"Cassiopeia","Middle",1,"0.4%","0.0%","0.4%","100%","-",2,3,10,4,"92.3%","20.0%","-","-","-","-","-","-",532,"27.2%","21.4%",0.55,0.1
"Corki","Middle",1,"0.4%","0.0%","0.4%","100%","-",9,3,9,6,"85.7%","23.1%","-","-","-","-","-","-",1027,"41.8%","26.3%",0.49,0.27
"Darius","Top",1,"0.4%","0.0%","0.4%","0%","-",2,4,1,0.8,"75.0%","23.5%","-","-","-","-","-","-",149,"12.3%","22.5%",0.48,0.18
"Diana","Middle",1,"0.4%","0.4%","0.9%","100%","-",10,6,7,2.8,"85.0%","27.3%","-","-","-","-","-","-",1089,"45.5%","27.6%",0.32,0.22
"Ekko","Middle",2,"0.9%","6.5%","37.9%","0%","-",7,9,5,1.3,"46.2%","23.7%","-","-","-","-","-","-",432,"24.5%","21.4%",0.42,0.25
"Ekko","Top",71,"30.6%","6.5%","37.9%","39%","-",201,196,408,3.1,"64.8%","18.1%","-","-","-","-",5.1,"-",432,"21.4%","21.5%",0.48,0.13
"Elise","Jungle",47,"20.3%","4.7%","25.0%","40%","-",101,140,284,2.8,"67.9%","20.0%","-","-","-","-",5.3,"-",307,"16.1%","18.6%",0.74,0.47
"Evelynn","Jungle",2,"0.9%","0.0%","0.9%","50%","-",20,4,16,9,"75.0%","12.9%","-","-","-","-","-","-",528,"20.3%","21.7%",0.47,0.18
"Ezreal","ADC",74,"31.9%","3.4%","35.3%","51%","-",304,192,418,3.8,"70.0%","19.0%","-","-","-","-","-","-",627,"30.3%","23.6%",0.38,0.17
"Fiora","Top",6,"2.6%","0.0%","2.6%","50%","-",21,11,17,3.5,"59.4%","12.5%","-","-","-","-","-","-",485,"25.1%","24.9%",0.52,0.11
"Fizz","Middle",4,"1.7%","3.9%","13.8%","50%","-",20,13,27,3.6,"64.4%","25.0%","-","-","-","-","-","-",533,"25.3%","21.4%",0.45,0.13
"Fizz","Top",19,"8.2%","3.9%","13.8%","53%","-",66,55,114,3.3,"65.0%","20.7%","-","-","-","-",5.3,"-",401,"19.2%","20.4%",0.45,0.13
"Gangplank","Middle",1,"0.4%","7.3%","15.1%","0%","-",8,4,5,3.3,"72.2%","16.0%","-","-","-","-","-","-",729,"31.9%","31.4%",0.38,0.02
"Gangplank","Top",17,"7.3%","7.3%","15.1%","65%","-",71,39,120,4.9,"63.9%","17.0%","-","-","-","-","-","-",693,"30.5%","24.6%",0.51,0.1
"Gnar","Top",30,"12.9%","3.9%","16.8%","47%","-",68,96,184,2.6,"58.5%","20.9%","-","-","-","-","-","-",388,"20.2%","21.1%",0.49,0.15
"Gragas","Jungle",67,"28.9%","6.9%","36.2%","49%","-",123,173,507,3.6,"68.4%","18.3%","-","-","-","-","-","-",291,"14.8%","18.4%",0.81,0.43
